{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'max', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [40.9373]
train_epoch: 1002, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [41.0499]
train_epoch: 1003, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [41.1457]
train_epoch: 1004, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [41.2417]
train_epoch: 1005, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [41.3356]
train_epoch: 1006, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [41.4321]
train_epoch: 1007, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [41.5271]
train_epoch: 1008, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [41.6220]
train_epoch: 1009, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [41.7162]
train_epoch: 1010, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [41.8092]
train_epoch: 1011, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [41.9032]
train_epoch: 1012, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [41.9960]
train_epoch: 1013, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [42.0859]
train_epoch: 1014, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [42.1766]
train_epoch: 1015, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [42.2723]
train_epoch: 1016, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [42.3654]
train_epoch: 1017, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [42.4619]
train_epoch: 1018, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [42.5552]
train_epoch: 1019, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [42.6455]
train_epoch: 1020, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [42.7397]
train_epoch: 1021, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [42.8314]
train_epoch: 1022, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [42.9245]
train_epoch: 1023, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [43.0170]
train_epoch: 1024, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [43.1068]
train_epoch: 1025, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [43.2022]
train_epoch: 1026, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [43.2935]
train_epoch: 1027, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [43.3857]
train_epoch: 1028, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [43.4795]
train_epoch: 1029, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [43.5747]
train_epoch: 1030, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [43.6609]
train_epoch: 1031, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [43.7554]
train_epoch: 1032, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [43.8497]
train_epoch: 1033, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [43.9452]
train_epoch: 1034, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [44.0388]
train_epoch: 1035, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [44.1326]
train_epoch: 1036, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [44.2273]
train_epoch: 1037, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [44.3216]
train_epoch: 1038, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [44.4163]
train_epoch: 1039, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [44.5102]
train_epoch: 1040, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [44.6041]
train_epoch: 1041, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [44.6999]
train_epoch: 1042, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [44.7970]
train_epoch: 1043, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [44.8928]
train_epoch: 1044, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [44.9891]
train_epoch: 1045, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [45.0855]
train_epoch: 1046, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [45.1805]
