{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'min', 'pred': 'h'}
train_epoch: 1001, loss: 0.0023, recall20: 0.0000 recall10: 0.0000 [40.3861]
train_epoch: 1002, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [40.4375]
train_epoch: 1003, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [40.4856]
train_epoch: 1004, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [40.5287]
train_epoch: 1005, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [40.5803]
train_epoch: 1006, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [40.6302]
train_epoch: 1007, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [40.6771]
train_epoch: 1008, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [40.7269]
train_epoch: 1009, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [40.7759]
train_epoch: 1010, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [40.8266]
train_epoch: 1011, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [40.8752]
train_epoch: 1012, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [40.9245]
train_epoch: 1013, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [40.9721]
train_epoch: 1014, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [41.0238]
train_epoch: 1015, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [41.0741]
train_epoch: 1016, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [41.1238]
train_epoch: 1017, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [41.1734]
train_epoch: 1018, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [41.2248]
train_epoch: 1019, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [41.2735]
train_epoch: 1020, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [41.3246]
train_epoch: 1021, loss: 0.0022, recall20: 0.0000 recall10: 0.0000 [41.3756]
train_epoch: 1022, loss: 0.0021, recall20: 0.0000 recall10: 0.0000 [41.4207]
train_epoch: 1023, loss: 0.0021, recall20: 0.0000 recall10: 0.0000 [41.4719]
train_epoch: 1024, loss: 0.0021, recall20: 0.0000 recall10: 0.0000 [41.5224]
train_epoch: 1025, loss: 0.0021, recall20: 0.0000 recall10: 0.0000 [41.5731]
train_epoch: 1026, loss: 0.0021, recall20: 0.0000 recall10: 0.0000 [41.6173]
