{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'h'}
train_epoch: 1001, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.9075]
train_epoch: 1002, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.9290]
train_epoch: 1003, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.9429]
train_epoch: 1004, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.9559]
train_epoch: 1005, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.9690]
train_epoch: 1006, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.9820]
train_epoch: 1007, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [10.9948]
train_epoch: 1008, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.0077]
train_epoch: 1009, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.0206]
train_epoch: 1010, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.0335]
train_epoch: 1011, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.0461]
train_epoch: 1012, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.0588]
train_epoch: 1013, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.0721]
train_epoch: 1014, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.0848]
train_epoch: 1015, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.0981]
train_epoch: 1016, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.1113]
train_epoch: 1017, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.1247]
train_epoch: 1018, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.1380]
train_epoch: 1019, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.1516]
train_epoch: 1020, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.1651]
train_epoch: 1021, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.1782]
train_epoch: 1022, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.1909]
train_epoch: 1023, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.2045]
train_epoch: 1024, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.2190]
train_epoch: 1025, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.2326]
train_epoch: 1026, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.2460]
train_epoch: 1027, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.2600]
train_epoch: 1028, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.2739]
train_epoch: 1029, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.2876]
train_epoch: 1030, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.3011]
train_epoch: 1031, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.3144]
train_epoch: 1032, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.3291]
train_epoch: 1033, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.3428]
train_epoch: 1034, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.3565]
train_epoch: 1035, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [11.3703]
