{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'h'}
train_epoch: 1001, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.1957]
train_epoch: 1002, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.2368]
train_epoch: 1003, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.2601]
train_epoch: 1004, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.3013]
train_epoch: 1005, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.3343]
train_epoch: 1006, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.3736]
train_epoch: 1007, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.3897]
train_epoch: 1008, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.4272]
train_epoch: 1009, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.4547]
train_epoch: 1010, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.4959]
train_epoch: 1011, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.5211]
train_epoch: 1012, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.5589]
train_epoch: 1013, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.5980]
train_epoch: 1014, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.6226]
train_epoch: 1015, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.6643]
train_epoch: 1016, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.6872]
train_epoch: 1017, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.7263]
train_epoch: 1018, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.7613]
train_epoch: 1019, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.7939]
train_epoch: 1020, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.8354]
train_epoch: 1021, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.8663]
train_epoch: 1022, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.9009]
train_epoch: 1023, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.9465]
train_epoch: 1024, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [31.9817]
train_epoch: 1025, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.0124]
train_epoch: 1026, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.0551]
train_epoch: 1027, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.0740]
train_epoch: 1028, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.1137]
train_epoch: 1029, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.1424]
train_epoch: 1030, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.1839]
train_epoch: 1031, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.2195]
train_epoch: 1032, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.2461]
train_epoch: 1033, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.2855]
train_epoch: 1034, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.3141]
train_epoch: 1035, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.3548]
train_epoch: 1036, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.3789]
train_epoch: 1037, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.4206]
train_epoch: 1038, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.4457]
train_epoch: 1039, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.4797]
train_epoch: 1040, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.5202]
train_epoch: 1041, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.5441]
train_epoch: 1042, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.5828]
train_epoch: 1043, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.6089]
train_epoch: 1044, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.6488]
train_epoch: 1045, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.6790]
train_epoch: 1046, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.7124]
train_epoch: 1047, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.7458]
train_epoch: 1048, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.7781]
train_epoch: 1049, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.8167]
train_epoch: 1050, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.8497]
train_epoch: 1051, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.8915]
train_epoch: 1052, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.9244]
train_epoch: 1053, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.9531]
train_epoch: 1054, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [32.9947]
train_epoch: 1055, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [33.0201]
train_epoch: 1056, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [33.0656]
train_epoch: 1057, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [33.1013]
train_epoch: 1058, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [33.1259]
train_epoch: 1059, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [33.1668]
train_epoch: 1060, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [33.1922]
train_epoch: 1061, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [33.2386]
train_epoch: 1062, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [33.2682]
train_epoch: 1063, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [33.3035]
train_epoch: 1064, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [33.3420]
train_epoch: 1065, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [33.3676]
train_epoch: 1066, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [33.4121]
train_epoch: 1067, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [33.4342]
train_epoch: 1068, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [33.4774]
train_epoch: 1069, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [33.5062]
train_epoch: 1070, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [33.5422]
train_epoch: 1071, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [33.5755]
train_epoch: 1072, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [33.6140]
train_epoch: 1073, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [33.6543]
train_epoch: 1074, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [33.6940]
train_epoch: 1075, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [33.7227]
train_epoch: 1076, loss: 0.0005, recall20: 0.0000 recall10: 0.0000 [33.7665]
train_epoch: 1077, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [33.7943]
train_epoch: 1078, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [33.8287]
train_epoch: 1079, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [33.8631]
train_epoch: 1080, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [33.8908]
train_epoch: 1081, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [33.9308]
train_epoch: 1082, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [33.9623]
train_epoch: 1083, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [34.0007]
train_epoch: 1084, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [34.0278]
train_epoch: 1085, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [34.0699]
train_epoch: 1086, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [34.1026]
train_epoch: 1087, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [34.1316]
train_epoch: 1088, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [34.1726]
train_epoch: 1089, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [34.1977]
train_epoch: 1090, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [34.2357]
train_epoch: 1091, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [34.2614]
train_epoch: 1092, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [34.3043]
train_epoch: 1093, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [34.3343]
train_epoch: 1094, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [34.3705]
train_epoch: 1095, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [34.4124]
train_epoch: 1096, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [34.4371]
train_epoch: 1097, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [34.4798]
