{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'i'}
train_epoch: 1001, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.5111]
train_epoch: 1002, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.5270]
train_epoch: 1003, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.5370]
train_epoch: 1004, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.5465]
train_epoch: 1005, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.5558]
train_epoch: 1006, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.5663]
train_epoch: 1007, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.5760]
train_epoch: 1008, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.5863]
train_epoch: 1009, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.5967]
train_epoch: 1010, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.6077]
train_epoch: 1011, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.6179]
train_epoch: 1012, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.6277]
train_epoch: 1013, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.6371]
train_epoch: 1014, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.6469]
train_epoch: 1015, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.6564]
train_epoch: 1016, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.6663]
train_epoch: 1017, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.6771]
train_epoch: 1018, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.6870]
train_epoch: 1019, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.6972]
train_epoch: 1020, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.7075]
train_epoch: 1021, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.7174]
train_epoch: 1022, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.7275]
train_epoch: 1023, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.7381]
train_epoch: 1024, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.7488]
train_epoch: 1025, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.7585]
train_epoch: 1026, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.7678]
train_epoch: 1027, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.7775]
train_epoch: 1028, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.7873]
train_epoch: 1029, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.7962]
train_epoch: 1030, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.8057]
train_epoch: 1031, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.8147]
train_epoch: 1032, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.8236]
train_epoch: 1033, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.8324]
train_epoch: 1034, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.8420]
train_epoch: 1035, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.8519]
train_epoch: 1036, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.8612]
train_epoch: 1037, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.8699]
train_epoch: 1038, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.8793]
train_epoch: 1039, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.8882]
train_epoch: 1040, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.8982]
train_epoch: 1041, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.9071]
train_epoch: 1042, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.9156]
train_epoch: 1043, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.9249]
train_epoch: 1044, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.9338]
train_epoch: 1045, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.9431]
train_epoch: 1046, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.9524]
train_epoch: 1047, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.9615]
train_epoch: 1048, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.9707]
train_epoch: 1049, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.9799]
train_epoch: 1050, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.9887]
train_epoch: 1051, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [7.9990]
train_epoch: 1052, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.0086]
train_epoch: 1053, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.0183]
train_epoch: 1054, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.0284]
train_epoch: 1055, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.0375]
train_epoch: 1056, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.0466]
train_epoch: 1057, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.0551]
train_epoch: 1058, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.0646]
train_epoch: 1059, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.0736]
train_epoch: 1060, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.0826]
train_epoch: 1061, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.0917]
train_epoch: 1062, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.1017]
train_epoch: 1063, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.1105]
train_epoch: 1064, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [8.1190]
