{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [11.9967]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.0133]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.0260]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.0405]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.0541]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.0678]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.0813]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.0948]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1093]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1233]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1370]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1499]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1632]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1781]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.1921]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2056]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2190]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2322]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2454]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2589]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2724]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2859]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.2999]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.3129]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.3264]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.3400]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.3541]
train_epoch: 1028, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.3699]
train_epoch: 1029, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.3847]
