{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [132.3093]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [132.3812]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [132.5257]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [132.7066]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [132.8681]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [133.0482]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [133.1753]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [133.3510]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [133.4730]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [133.6444]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [133.8190]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [133.9183]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [134.0508]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [134.1562]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [134.3083]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [134.4274]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [134.6107]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [134.7588]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [134.8950]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [135.0293]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [135.1658]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [135.2778]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [135.4517]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [135.6130]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [135.7226]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [135.9050]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [136.0236]
train_epoch: 1028, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [136.1186]
train_epoch: 1029, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [136.2884]
train_epoch: 1030, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [136.4616]
train_epoch: 1031, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [136.6063]
train_epoch: 1032, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [136.7379]
train_epoch: 1033, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [136.8723]
train_epoch: 1034, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [137.0033]
train_epoch: 1035, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [137.1246]
train_epoch: 1036, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [137.2863]
train_epoch: 1037, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [137.4587]
train_epoch: 1038, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [137.5745]
train_epoch: 1039, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [137.7383]
train_epoch: 1040, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [137.8637]
train_epoch: 1041, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [137.9942]
train_epoch: 1042, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [138.1173]
train_epoch: 1043, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [138.2998]
