{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'h'}
train_epoch: 1001, loss: 0.4303, recall20: 0.0000 recall10: 0.0000 [9.3302]
train_epoch: 1002, loss: 0.4303, recall20: 0.0000 recall10: 0.0000 [9.3455]
train_epoch: 1003, loss: 0.4302, recall20: 0.0000 recall10: 0.0000 [9.3549]
train_epoch: 1004, loss: 0.4302, recall20: 0.0000 recall10: 0.0000 [9.3647]
train_epoch: 1005, loss: 0.4301, recall20: 0.0000 recall10: 0.0000 [9.3742]
train_epoch: 1006, loss: 0.4301, recall20: 0.0000 recall10: 0.0000 [9.3835]
train_epoch: 1007, loss: 0.4300, recall20: 0.0000 recall10: 0.0000 [9.3934]
train_epoch: 1008, loss: 0.4300, recall20: 0.0000 recall10: 0.0000 [9.4039]
train_epoch: 1009, loss: 0.4299, recall20: 0.0000 recall10: 0.0000 [9.4140]
train_epoch: 1010, loss: 0.4299, recall20: 0.0000 recall10: 0.0000 [9.4238]
train_epoch: 1011, loss: 0.4299, recall20: 0.0000 recall10: 0.0000 [9.4347]
train_epoch: 1012, loss: 0.4298, recall20: 0.0000 recall10: 0.0000 [9.4447]
train_epoch: 1013, loss: 0.4298, recall20: 0.0000 recall10: 0.0000 [9.4551]
train_epoch: 1014, loss: 0.4297, recall20: 0.0000 recall10: 0.0000 [9.4657]
train_epoch: 1015, loss: 0.4297, recall20: 0.0000 recall10: 0.0000 [9.4755]
train_epoch: 1016, loss: 0.4296, recall20: 0.0000 recall10: 0.0000 [9.4854]
train_epoch: 1017, loss: 0.4296, recall20: 0.0000 recall10: 0.0000 [9.4954]
train_epoch: 1018, loss: 0.4295, recall20: 0.0000 recall10: 0.0000 [9.5050]
train_epoch: 1019, loss: 0.4295, recall20: 0.0000 recall10: 0.0000 [9.5142]
train_epoch: 1020, loss: 0.4294, recall20: 0.0000 recall10: 0.0000 [9.5238]
train_epoch: 1021, loss: 0.4294, recall20: 0.0000 recall10: 0.0000 [9.5349]
train_epoch: 1022, loss: 0.4294, recall20: 0.0000 recall10: 0.0000 [9.5450]
train_epoch: 1023, loss: 0.4293, recall20: 0.0000 recall10: 0.0000 [9.5544]
train_epoch: 1024, loss: 0.4293, recall20: 0.0000 recall10: 0.0000 [9.5643]
train_epoch: 1025, loss: 0.4292, recall20: 0.0000 recall10: 0.0000 [9.5742]
train_epoch: 1026, loss: 0.4292, recall20: 0.0000 recall10: 0.0000 [9.5832]
train_epoch: 1027, loss: 0.4291, recall20: 0.0000 recall10: 0.0000 [9.5924]
train_epoch: 1028, loss: 0.4291, recall20: 0.0000 recall10: 0.0000 [9.6028]
train_epoch: 1029, loss: 0.4290, recall20: 0.0000 recall10: 0.0000 [9.6130]
train_epoch: 1030, loss: 0.4290, recall20: 0.0000 recall10: 0.0000 [9.6226]
train_epoch: 1031, loss: 0.4290, recall20: 0.0000 recall10: 0.0000 [9.6334]
train_epoch: 1032, loss: 0.4289, recall20: 0.0000 recall10: 0.0000 [9.6438]
train_epoch: 1033, loss: 0.4289, recall20: 0.0000 recall10: 0.0000 [9.6549]
train_epoch: 1034, loss: 0.4288, recall20: 0.0000 recall10: 0.0000 [9.6659]
train_epoch: 1035, loss: 0.4288, recall20: 0.0000 recall10: 0.0000 [9.6760]
train_epoch: 1036, loss: 0.4287, recall20: 0.0000 recall10: 0.0000 [9.6862]
train_epoch: 1037, loss: 0.4287, recall20: 0.0000 recall10: 0.0000 [9.6964]
train_epoch: 1038, loss: 0.4286, recall20: 0.0000 recall10: 0.0000 [9.7070]
train_epoch: 1039, loss: 0.4286, recall20: 0.0000 recall10: 0.0000 [9.7181]
train_epoch: 1040, loss: 0.4286, recall20: 0.0000 recall10: 0.0000 [9.7282]
train_epoch: 1041, loss: 0.4285, recall20: 0.0000 recall10: 0.0000 [9.7382]
train_epoch: 1042, loss: 0.4285, recall20: 0.0000 recall10: 0.0000 [9.7480]
train_epoch: 1043, loss: 0.4284, recall20: 0.0000 recall10: 0.0000 [9.7580]
train_epoch: 1044, loss: 0.4284, recall20: 0.0000 recall10: 0.0000 [9.7681]
train_epoch: 1045, loss: 0.4283, recall20: 0.0000 recall10: 0.0000 [9.7783]
train_epoch: 1046, loss: 0.4283, recall20: 0.0000 recall10: 0.0000 [9.7885]
train_epoch: 1047, loss: 0.4282, recall20: 0.0000 recall10: 0.0000 [9.7985]
train_epoch: 1048, loss: 0.4282, recall20: 0.0000 recall10: 0.0000 [9.8083]
train_epoch: 1049, loss: 0.4282, recall20: 0.0000 recall10: 0.0000 [9.8180]
train_epoch: 1050, loss: 0.4281, recall20: 0.0000 recall10: 0.0000 [9.8284]
train_epoch: 1051, loss: 0.4281, recall20: 0.0000 recall10: 0.0000 [9.8387]
train_epoch: 1052, loss: 0.4280, recall20: 0.0000 recall10: 0.0000 [9.8487]
train_epoch: 1053, loss: 0.4280, recall20: 0.0000 recall10: 0.0000 [9.8585]
train_epoch: 1054, loss: 0.4279, recall20: 0.0000 recall10: 0.0000 [9.8684]
train_epoch: 1055, loss: 0.4279, recall20: 0.0000 recall10: 0.0000 [9.8783]
train_epoch: 1056, loss: 0.4279, recall20: 0.0000 recall10: 0.0000 [9.8886]
train_epoch: 1057, loss: 0.4278, recall20: 0.0000 recall10: 0.0000 [9.8989]
train_epoch: 1058, loss: 0.4278, recall20: 0.0000 recall10: 0.0000 [9.9092]
train_epoch: 1059, loss: 0.4277, recall20: 0.0000 recall10: 0.0000 [9.9190]
train_epoch: 1060, loss: 0.4277, recall20: 0.0000 recall10: 0.0000 [9.9289]
train_epoch: 1061, loss: 0.4276, recall20: 0.0000 recall10: 0.0000 [9.9387]
train_epoch: 1062, loss: 0.4276, recall20: 0.0000 recall10: 0.0000 [9.9479]
train_epoch: 1063, loss: 0.4275, recall20: 0.0000 recall10: 0.0000 [9.9571]
train_epoch: 1064, loss: 0.4275, recall20: 0.0000 recall10: 0.0000 [9.9664]
train_epoch: 1065, loss: 0.4275, recall20: 0.0000 recall10: 0.0000 [9.9762]
train_epoch: 1066, loss: 0.4274, recall20: 0.0000 recall10: 0.0000 [9.9856]
train_epoch: 1067, loss: 0.4274, recall20: 0.0000 recall10: 0.0000 [9.9951]
train_epoch: 1068, loss: 0.4273, recall20: 0.0000 recall10: 0.0000 [10.0049]
train_epoch: 1069, loss: 0.4273, recall20: 0.0000 recall10: 0.0000 [10.0142]
train_epoch: 1070, loss: 0.4272, recall20: 0.0000 recall10: 0.0000 [10.0250]
train_epoch: 1071, loss: 0.4272, recall20: 0.0000 recall10: 0.0000 [10.0348]
train_epoch: 1072, loss: 0.4272, recall20: 0.0000 recall10: 0.0000 [10.0440]
train_epoch: 1073, loss: 0.4271, recall20: 0.0000 recall10: 0.0000 [10.0532]
train_epoch: 1074, loss: 0.4271, recall20: 0.0000 recall10: 0.0000 [10.0624]
train_epoch: 1075, loss: 0.4270, recall20: 0.0000 recall10: 0.0000 [10.0728]
train_epoch: 1076, loss: 0.4270, recall20: 0.0000 recall10: 0.0000 [10.0827]
train_epoch: 1077, loss: 0.4270, recall20: 0.0000 recall10: 0.0000 [10.0920]
train_epoch: 1078, loss: 0.4269, recall20: 0.0000 recall10: 0.0000 [10.1017]
train_epoch: 1079, loss: 0.4269, recall20: 0.0000 recall10: 0.0000 [10.1115]
train_epoch: 1080, loss: 0.4268, recall20: 0.0000 recall10: 0.0000 [10.1211]
train_epoch: 1081, loss: 0.4268, recall20: 0.0000 recall10: 0.0000 [10.1317]
