{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'i'}
train_epoch: 1001, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [7.9246]
train_epoch: 1002, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [7.9354]
train_epoch: 1003, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [7.9442]
train_epoch: 1004, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [7.9536]
train_epoch: 1005, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [7.9630]
train_epoch: 1006, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [7.9728]
train_epoch: 1007, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [7.9835]
train_epoch: 1008, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [7.9929]
train_epoch: 1009, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.0018]
train_epoch: 1010, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.0111]
train_epoch: 1011, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.0202]
train_epoch: 1012, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.0283]
train_epoch: 1013, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.0371]
train_epoch: 1014, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.0457]
train_epoch: 1015, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.0537]
train_epoch: 1016, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.0619]
train_epoch: 1017, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.0706]
train_epoch: 1018, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.0796]
train_epoch: 1019, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.0886]
train_epoch: 1020, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.0976]
train_epoch: 1021, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.1061]
train_epoch: 1022, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.1141]
train_epoch: 1023, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.1227]
train_epoch: 1024, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.1310]
train_epoch: 1025, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.1397]
train_epoch: 1026, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.1477]
train_epoch: 1027, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.1564]
train_epoch: 1028, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.1652]
train_epoch: 1029, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.1743]
train_epoch: 1030, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.1828]
train_epoch: 1031, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.1910]
train_epoch: 1032, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.1993]
train_epoch: 1033, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.2081]
train_epoch: 1034, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.2171]
train_epoch: 1035, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.2251]
train_epoch: 1036, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.2341]
train_epoch: 1037, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.2427]
train_epoch: 1038, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.2510]
train_epoch: 1039, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.2610]
train_epoch: 1040, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.2718]
train_epoch: 1041, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.2812]
train_epoch: 1042, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.2906]
train_epoch: 1043, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.3000]
train_epoch: 1044, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.3093]
train_epoch: 1045, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.3186]
train_epoch: 1046, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.3279]
train_epoch: 1047, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.3374]
train_epoch: 1048, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.3469]
train_epoch: 1049, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.3559]
train_epoch: 1050, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.3653]
train_epoch: 1051, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.3753]
train_epoch: 1052, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.3839]
train_epoch: 1053, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.3927]
train_epoch: 1054, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.4021]
train_epoch: 1055, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.4113]
train_epoch: 1056, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.4200]
train_epoch: 1057, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.4286]
train_epoch: 1058, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.4388]
train_epoch: 1059, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.4485]
train_epoch: 1060, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [8.4582]
train_epoch: 1061, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.4675]
train_epoch: 1062, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.4772]
train_epoch: 1063, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.4870]
train_epoch: 1064, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.4956]
train_epoch: 1065, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.5042]
train_epoch: 1066, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.5130]
train_epoch: 1067, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.5217]
train_epoch: 1068, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.5305]
train_epoch: 1069, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.5397]
train_epoch: 1070, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.5512]
train_epoch: 1071, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.5613]
train_epoch: 1072, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.5707]
train_epoch: 1073, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.5793]
train_epoch: 1074, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.5882]
train_epoch: 1075, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.5983]
train_epoch: 1076, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.6076]
train_epoch: 1077, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.6164]
train_epoch: 1078, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.6251]
train_epoch: 1079, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.6344]
train_epoch: 1080, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.6441]
train_epoch: 1081, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.6538]
train_epoch: 1082, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.6623]
train_epoch: 1083, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.6721]
train_epoch: 1084, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.6814]
train_epoch: 1085, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.6902]
train_epoch: 1086, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.6988]
train_epoch: 1087, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.7068]
train_epoch: 1088, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.7167]
train_epoch: 1089, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.7257]
train_epoch: 1090, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.7349]
train_epoch: 1091, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.7440]
train_epoch: 1092, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.7533]
train_epoch: 1093, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.7631]
train_epoch: 1094, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.7725]
train_epoch: 1095, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.7822]
train_epoch: 1096, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.7915]
train_epoch: 1097, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.8003]
train_epoch: 1098, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.8091]
train_epoch: 1099, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.8185]
train_epoch: 1100, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.8268]
train_epoch: 1101, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.8356]
train_epoch: 1102, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.8448]
train_epoch: 1103, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.8552]
train_epoch: 1104, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.8648]
train_epoch: 1105, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.8738]
train_epoch: 1106, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.8828]
train_epoch: 1107, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.8918]
train_epoch: 1108, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.9031]
train_epoch: 1109, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.9144]
train_epoch: 1110, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.9241]
train_epoch: 1111, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.9336]
train_epoch: 1112, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.9432]
train_epoch: 1113, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.9529]
train_epoch: 1114, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.9622]
train_epoch: 1115, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.9722]
train_epoch: 1116, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.9814]
train_epoch: 1117, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [8.9908]
train_epoch: 1118, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.0004]
train_epoch: 1119, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.0102]
train_epoch: 1120, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.0195]
train_epoch: 1121, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.0291]
train_epoch: 1122, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.0386]
train_epoch: 1123, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.0480]
train_epoch: 1124, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.0575]
train_epoch: 1125, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.0675]
train_epoch: 1126, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.0772]
train_epoch: 1127, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.0870]
train_epoch: 1128, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.0967]
train_epoch: 1129, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.1062]
train_epoch: 1130, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.1159]
train_epoch: 1131, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.1254]
train_epoch: 1132, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.1351]
train_epoch: 1133, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.1447]
train_epoch: 1134, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.1537]
train_epoch: 1135, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.1625]
train_epoch: 1136, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.1743]
train_epoch: 1137, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.1830]
train_epoch: 1138, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.1911]
train_epoch: 1139, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.2002]
train_epoch: 1140, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.2091]
train_epoch: 1141, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.2178]
train_epoch: 1142, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.2264]
train_epoch: 1143, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.2345]
train_epoch: 1144, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.2434]
train_epoch: 1145, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.2527]
train_epoch: 1146, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.2608]
train_epoch: 1147, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.2695]
train_epoch: 1148, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.2780]
train_epoch: 1149, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.2864]
train_epoch: 1150, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.2949]
train_epoch: 1151, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.3035]
train_epoch: 1152, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.3121]
train_epoch: 1153, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.3203]
train_epoch: 1154, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.3298]
train_epoch: 1155, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.3381]
train_epoch: 1156, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.3467]
train_epoch: 1157, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.3549]
train_epoch: 1158, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.3633]
train_epoch: 1159, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.3717]
train_epoch: 1160, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.3809]
train_epoch: 1161, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.3911]
train_epoch: 1162, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.4005]
train_epoch: 1163, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.4093]
train_epoch: 1164, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.4175]
train_epoch: 1165, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.4263]
train_epoch: 1166, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.4347]
train_epoch: 1167, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.4429]
train_epoch: 1168, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.4512]
train_epoch: 1169, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.4595]
train_epoch: 1170, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.4690]
train_epoch: 1171, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.4780]
train_epoch: 1172, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.4869]
train_epoch: 1173, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.4960]
train_epoch: 1174, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.5049]
train_epoch: 1175, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.5129]
train_epoch: 1176, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.5223]
train_epoch: 1177, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.5318]
train_epoch: 1178, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.5412]
train_epoch: 1179, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.5498]
train_epoch: 1180, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.5593]
train_epoch: 1181, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.5680]
train_epoch: 1182, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.5763]
train_epoch: 1183, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.5861]
train_epoch: 1184, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.5951]
train_epoch: 1185, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.6035]
train_epoch: 1186, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.6120]
train_epoch: 1187, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.6201]
train_epoch: 1188, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.6287]
train_epoch: 1189, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.6366]
train_epoch: 1190, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.6453]
train_epoch: 1191, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.6539]
train_epoch: 1192, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.6617]
train_epoch: 1193, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.6704]
train_epoch: 1194, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.6791]
train_epoch: 1195, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.6872]
train_epoch: 1196, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.6952]
train_epoch: 1197, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.7037]
train_epoch: 1198, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.7126]
train_epoch: 1199, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.7205]
train_epoch: 1200, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.7298]
train_epoch: 1201, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.7385]
train_epoch: 1202, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.7467]
train_epoch: 1203, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.7547]
train_epoch: 1204, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.7632]
train_epoch: 1205, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.7720]
train_epoch: 1206, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.7809]
train_epoch: 1207, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.7889]
train_epoch: 1208, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.7976]
train_epoch: 1209, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.8061]
train_epoch: 1210, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.8151]
train_epoch: 1211, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.8238]
train_epoch: 1212, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.8329]
train_epoch: 1213, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.8424]
train_epoch: 1214, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.8514]
train_epoch: 1215, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.8604]
train_epoch: 1216, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.8700]
train_epoch: 1217, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.8791]
train_epoch: 1218, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.8876]
train_epoch: 1219, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.8959]
train_epoch: 1220, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.9046]
train_epoch: 1221, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.9135]
train_epoch: 1222, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.9220]
train_epoch: 1223, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.9304]
train_epoch: 1224, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.9387]
train_epoch: 1225, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.9471]
train_epoch: 1226, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.9553]
train_epoch: 1227, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.9637]
train_epoch: 1228, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.9726]
train_epoch: 1229, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.9813]
train_epoch: 1230, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.9893]
train_epoch: 1231, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [9.9980]
train_epoch: 1232, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.0066]
train_epoch: 1233, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.0148]
train_epoch: 1234, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.0232]
train_epoch: 1235, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.0319]
train_epoch: 1236, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.0435]
train_epoch: 1237, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.0521]
train_epoch: 1238, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.0606]
train_epoch: 1239, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.0688]
train_epoch: 1240, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.0786]
train_epoch: 1241, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.0873]
train_epoch: 1242, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.0956]
train_epoch: 1243, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.1035]
train_epoch: 1244, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.1122]
train_epoch: 1245, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.1209]
train_epoch: 1246, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.1292]
train_epoch: 1247, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.1382]
train_epoch: 1248, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.1468]
train_epoch: 1249, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.1548]
train_epoch: 1250, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.1629]
train_epoch: 1251, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [10.1720]
