{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.7582]
train_epoch: 1002, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.7750]
train_epoch: 1003, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.7877]
train_epoch: 1004, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.8002]
train_epoch: 1005, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.8137]
train_epoch: 1006, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.8275]
train_epoch: 1007, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.8404]
train_epoch: 1008, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.8536]
train_epoch: 1009, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.8674]
train_epoch: 1010, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.8807]
train_epoch: 1011, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.8971]
train_epoch: 1012, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.9111]
train_epoch: 1013, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.9266]
train_epoch: 1014, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.9410]
train_epoch: 1015, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.9551]
train_epoch: 1016, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.9681]
train_epoch: 1017, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.9830]
train_epoch: 1018, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [9.9964]
train_epoch: 1019, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [10.0097]
train_epoch: 1020, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [10.0231]
train_epoch: 1021, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [10.0382]
train_epoch: 1022, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [10.0513]
train_epoch: 1023, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [10.0641]
train_epoch: 1024, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [10.0774]
train_epoch: 1025, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [10.0913]
train_epoch: 1026, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [10.1038]
train_epoch: 1027, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [10.1166]
train_epoch: 1028, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [10.1290]
train_epoch: 1029, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [10.1414]
train_epoch: 1030, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [10.1547]
train_epoch: 1031, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [10.1680]
train_epoch: 1032, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [10.1810]
train_epoch: 1033, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [10.1941]
train_epoch: 1034, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [10.2072]
train_epoch: 1035, loss: 0.0003, recall20: 0.0000 recall10: 0.0000 [10.2197]
