{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.3405, recall20: 0.0000 recall10: 0.0000 [69.7744]
train_epoch: 1002, loss: 0.3405, recall20: 0.0000 recall10: 0.0000 [69.8129]
train_epoch: 1003, loss: 0.3405, recall20: 0.0000 recall10: 0.0000 [69.8452]
train_epoch: 1004, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [69.8775]
train_epoch: 1005, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [69.9100]
train_epoch: 1006, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [69.9423]
train_epoch: 1007, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [69.9751]
train_epoch: 1008, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.0071]
train_epoch: 1009, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.0395]
train_epoch: 1010, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.0714]
train_epoch: 1011, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.1037]
train_epoch: 1012, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.1350]
train_epoch: 1013, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.1673]
train_epoch: 1014, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.1996]
train_epoch: 1015, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.2321]
train_epoch: 1016, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.2646]
train_epoch: 1017, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.2960]
train_epoch: 1018, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.3289]
train_epoch: 1019, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.3604]
train_epoch: 1020, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.3935]
train_epoch: 1021, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.4254]
train_epoch: 1022, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.4578]
train_epoch: 1023, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.4907]
train_epoch: 1024, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.5232]
train_epoch: 1025, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.5557]
train_epoch: 1026, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.5877]
train_epoch: 1027, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.6197]
train_epoch: 1028, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.6515]
train_epoch: 1029, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.6833]
train_epoch: 1030, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.7154]
train_epoch: 1031, loss: 0.3404, recall20: 0.0000 recall10: 0.0000 [70.7474]
train_epoch: 1032, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [70.7791]
train_epoch: 1033, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [70.8114]
train_epoch: 1034, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [70.8440]
train_epoch: 1035, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [70.8758]
train_epoch: 1036, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [70.9086]
train_epoch: 1037, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [70.9411]
train_epoch: 1038, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [70.9751]
train_epoch: 1039, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.0075]
train_epoch: 1040, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.0381]
train_epoch: 1041, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.0690]
train_epoch: 1042, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.0998]
train_epoch: 1043, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.1306]
train_epoch: 1044, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.1733]
train_epoch: 1045, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.2045]
train_epoch: 1046, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.2450]
train_epoch: 1047, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.2780]
train_epoch: 1048, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.3117]
train_epoch: 1049, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.3450]
train_epoch: 1050, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.3788]
train_epoch: 1051, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.4132]
train_epoch: 1052, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.4467]
train_epoch: 1053, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.4804]
train_epoch: 1054, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.5134]
train_epoch: 1055, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.5475]
train_epoch: 1056, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.5831]
train_epoch: 1057, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.6176]
train_epoch: 1058, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.6521]
train_epoch: 1059, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.6861]
train_epoch: 1060, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.7208]
train_epoch: 1061, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.7544]
train_epoch: 1062, loss: 0.3403, recall20: 0.0000 recall10: 0.0000 [71.7870]
train_epoch: 1063, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [71.8204]
train_epoch: 1064, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [71.8527]
train_epoch: 1065, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [71.8868]
train_epoch: 1066, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [71.9210]
train_epoch: 1067, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [71.9553]
train_epoch: 1068, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [71.9887]
train_epoch: 1069, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.0241]
train_epoch: 1070, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.0573]
train_epoch: 1071, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.0912]
train_epoch: 1072, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.1252]
train_epoch: 1073, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.1607]
train_epoch: 1074, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.1937]
train_epoch: 1075, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.2259]
train_epoch: 1076, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.2584]
train_epoch: 1077, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.2910]
train_epoch: 1078, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.3229]
train_epoch: 1079, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.3583]
train_epoch: 1080, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.3921]
train_epoch: 1081, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.4249]
train_epoch: 1082, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.4599]
train_epoch: 1083, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.4929]
train_epoch: 1084, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.5260]
train_epoch: 1085, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.5588]
train_epoch: 1086, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.5918]
train_epoch: 1087, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.6246]
train_epoch: 1088, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.6584]
train_epoch: 1089, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.6923]
train_epoch: 1090, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.7232]
train_epoch: 1091, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.7558]
train_epoch: 1092, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.7876]
train_epoch: 1093, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.8205]
train_epoch: 1094, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.8521]
train_epoch: 1095, loss: 0.3402, recall20: 0.0000 recall10: 0.0000 [72.8848]
train_epoch: 1096, loss: 0.3401, recall20: 0.0000 recall10: 0.0000 [72.9179]
train_epoch: 1097, loss: 0.3401, recall20: 0.0000 recall10: 0.0000 [72.9510]
train_epoch: 1098, loss: 0.3401, recall20: 0.0000 recall10: 0.0000 [72.9834]
train_epoch: 1099, loss: 0.3401, recall20: 0.0000 recall10: 0.0000 [73.0160]
train_epoch: 1100, loss: 0.3401, recall20: 0.0000 recall10: 0.0000 [73.0499]
train_epoch: 1101, loss: 0.3401, recall20: 0.0000 recall10: 0.0000 [73.0842]
train_epoch: 1102, loss: 0.3401, recall20: 0.0000 recall10: 0.0000 [73.1174]
train_epoch: 1103, loss: 0.3401, recall20: 0.0000 recall10: 0.0000 [73.1525]
