{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.3635, recall20: 0.0000 recall10: 0.0000 [33.0733]
train_epoch: 1002, loss: 0.3635, recall20: 0.0000 recall10: 0.0000 [33.1117]
train_epoch: 1003, loss: 0.3635, recall20: 0.0000 recall10: 0.0000 [33.1473]
train_epoch: 1004, loss: 0.3635, recall20: 0.0000 recall10: 0.0000 [33.1821]
train_epoch: 1005, loss: 0.3634, recall20: 0.0000 recall10: 0.0000 [33.2168]
train_epoch: 1006, loss: 0.3634, recall20: 0.0000 recall10: 0.0000 [33.2524]
train_epoch: 1007, loss: 0.3634, recall20: 0.0000 recall10: 0.0000 [33.2867]
train_epoch: 1008, loss: 0.3634, recall20: 0.0000 recall10: 0.0000 [33.3236]
train_epoch: 1009, loss: 0.3633, recall20: 0.0000 recall10: 0.0000 [33.3573]
train_epoch: 1010, loss: 0.3633, recall20: 0.0000 recall10: 0.0000 [33.3924]
train_epoch: 1011, loss: 0.3633, recall20: 0.0000 recall10: 0.0000 [33.4297]
train_epoch: 1012, loss: 0.3633, recall20: 0.0000 recall10: 0.0000 [33.4663]
train_epoch: 1013, loss: 0.3632, recall20: 0.0000 recall10: 0.0000 [33.5036]
train_epoch: 1014, loss: 0.3632, recall20: 0.0000 recall10: 0.0000 [33.5380]
train_epoch: 1015, loss: 0.3632, recall20: 0.0000 recall10: 0.0000 [33.5734]
train_epoch: 1016, loss: 0.3632, recall20: 0.0000 recall10: 0.0000 [33.6081]
train_epoch: 1017, loss: 0.3632, recall20: 0.0000 recall10: 0.0000 [33.6425]
train_epoch: 1018, loss: 0.3631, recall20: 0.0000 recall10: 0.0000 [33.6778]
train_epoch: 1019, loss: 0.3631, recall20: 0.0000 recall10: 0.0000 [33.7128]
train_epoch: 1020, loss: 0.3631, recall20: 0.0000 recall10: 0.0000 [33.7489]
train_epoch: 1021, loss: 0.3631, recall20: 0.0000 recall10: 0.0000 [33.7858]
train_epoch: 1022, loss: 0.3630, recall20: 0.0000 recall10: 0.0000 [33.8227]
train_epoch: 1023, loss: 0.3630, recall20: 0.0000 recall10: 0.0000 [33.8602]
train_epoch: 1024, loss: 0.3630, recall20: 0.0000 recall10: 0.0000 [33.8959]
train_epoch: 1025, loss: 0.3630, recall20: 0.0000 recall10: 0.0000 [33.9326]
train_epoch: 1026, loss: 0.3630, recall20: 0.0000 recall10: 0.0000 [33.9687]
train_epoch: 1027, loss: 0.3629, recall20: 0.0000 recall10: 0.0000 [34.0045]
train_epoch: 1028, loss: 0.3629, recall20: 0.0000 recall10: 0.0000 [34.0402]
train_epoch: 1029, loss: 0.3629, recall20: 0.0000 recall10: 0.0000 [34.0767]
train_epoch: 1030, loss: 0.3629, recall20: 0.0000 recall10: 0.0000 [34.1121]
train_epoch: 1031, loss: 0.3628, recall20: 0.0000 recall10: 0.0000 [34.1476]
train_epoch: 1032, loss: 0.3628, recall20: 0.0000 recall10: 0.0000 [34.1840]
train_epoch: 1033, loss: 0.3628, recall20: 0.0000 recall10: 0.0000 [34.2214]
