{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'concat', 'pred': 'i'}
train_epoch: 1001, loss: 0.3885, recall20: 0.0000 recall10: 0.0000 [93.6336]
train_epoch: 1002, loss: 0.3885, recall20: 0.0000 recall10: 0.0000 [93.7421]
train_epoch: 1003, loss: 0.3885, recall20: 0.0000 recall10: 0.0000 [93.8493]
train_epoch: 1004, loss: 0.3884, recall20: 0.0000 recall10: 0.0000 [93.9558]
train_epoch: 1005, loss: 0.3884, recall20: 0.0000 recall10: 0.0000 [94.0627]
train_epoch: 1006, loss: 0.3884, recall20: 0.0000 recall10: 0.0000 [94.1699]
train_epoch: 1007, loss: 0.3883, recall20: 0.0000 recall10: 0.0000 [94.2772]
train_epoch: 1008, loss: 0.3883, recall20: 0.0000 recall10: 0.0000 [94.3844]
train_epoch: 1009, loss: 0.3883, recall20: 0.0000 recall10: 0.0000 [94.4917]
train_epoch: 1010, loss: 0.3882, recall20: 0.0000 recall10: 0.0000 [94.5984]
train_epoch: 1011, loss: 0.3882, recall20: 0.0000 recall10: 0.0000 [94.7054]
train_epoch: 1012, loss: 0.3882, recall20: 0.0000 recall10: 0.0000 [94.8126]
train_epoch: 1013, loss: 0.3882, recall20: 0.0000 recall10: 0.0000 [94.9195]
train_epoch: 1014, loss: 0.3881, recall20: 0.0000 recall10: 0.0000 [95.0276]
train_epoch: 1015, loss: 0.3881, recall20: 0.0000 recall10: 0.0000 [95.1353]
train_epoch: 1016, loss: 0.3881, recall20: 0.0000 recall10: 0.0000 [95.2423]
train_epoch: 1017, loss: 0.3880, recall20: 0.0000 recall10: 0.0000 [95.3489]
train_epoch: 1018, loss: 0.3880, recall20: 0.0000 recall10: 0.0000 [95.4562]
train_epoch: 1019, loss: 0.3880, recall20: 0.0000 recall10: 0.0000 [95.5627]
train_epoch: 1020, loss: 0.3879, recall20: 0.0000 recall10: 0.0000 [95.6703]
train_epoch: 1021, loss: 0.3879, recall20: 0.0000 recall10: 0.0000 [95.7768]
train_epoch: 1022, loss: 0.3879, recall20: 0.0000 recall10: 0.0000 [95.8833]
train_epoch: 1023, loss: 0.3878, recall20: 0.0000 recall10: 0.0000 [95.9906]
train_epoch: 1024, loss: 0.3878, recall20: 0.0000 recall10: 0.0000 [96.0984]
train_epoch: 1025, loss: 0.3878, recall20: 0.0000 recall10: 0.0000 [96.2059]
