{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'concat', 'pred': 'i'}
train_epoch: 1001, loss: 0.3582, recall20: 0.0000 recall10: 0.0000 [55.9591]
train_epoch: 1002, loss: 0.3582, recall20: 0.0000 recall10: 0.0000 [55.9751]
train_epoch: 1003, loss: 0.3582, recall20: 0.0000 recall10: 0.0000 [55.9861]
train_epoch: 1004, loss: 0.3582, recall20: 0.0000 recall10: 0.0000 [55.9968]
train_epoch: 1005, loss: 0.3582, recall20: 0.0000 recall10: 0.0000 [56.0088]
train_epoch: 1006, loss: 0.3582, recall20: 0.0000 recall10: 0.0000 [56.0218]
train_epoch: 1007, loss: 0.3582, recall20: 0.0000 recall10: 0.0000 [56.0328]
train_epoch: 1008, loss: 0.3582, recall20: 0.0000 recall10: 0.0000 [56.0433]
train_epoch: 1009, loss: 0.3582, recall20: 0.0000 recall10: 0.0000 [56.0537]
train_epoch: 1010, loss: 0.3582, recall20: 0.0000 recall10: 0.0000 [56.0640]
train_epoch: 1011, loss: 0.3582, recall20: 0.0000 recall10: 0.0000 [56.0738]
train_epoch: 1012, loss: 0.3582, recall20: 0.0000 recall10: 0.0000 [56.0836]
train_epoch: 1013, loss: 0.3582, recall20: 0.0000 recall10: 0.0000 [56.0936]
train_epoch: 1014, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.1165]
train_epoch: 1015, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.1277]
train_epoch: 1016, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.1381]
train_epoch: 1017, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.1504]
train_epoch: 1018, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.1609]
train_epoch: 1019, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.1713]
train_epoch: 1020, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.1824]
train_epoch: 1021, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.1938]
train_epoch: 1022, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.2051]
train_epoch: 1023, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.2177]
train_epoch: 1024, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.2289]
train_epoch: 1025, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.2404]
train_epoch: 1026, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.2512]
train_epoch: 1027, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.2635]
train_epoch: 1028, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.2765]
train_epoch: 1029, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.2880]
train_epoch: 1030, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.3015]
train_epoch: 1031, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.3117]
train_epoch: 1032, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.3229]
train_epoch: 1033, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.3367]
train_epoch: 1034, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.3504]
train_epoch: 1035, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.3611]
train_epoch: 1036, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.3732]
train_epoch: 1037, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.3849]
train_epoch: 1038, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.3972]
train_epoch: 1039, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.4092]
train_epoch: 1040, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.4203]
train_epoch: 1041, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.4305]
train_epoch: 1042, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.4428]
train_epoch: 1043, loss: 0.3581, recall20: 0.0000 recall10: 0.0000 [56.4555]
train_epoch: 1044, loss: 0.3581, recall20: 0.1456 recall10: 0.0807 [56.5235]
