{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'max', 'pred': 'h'}
train_epoch: 1001, loss: 0.0174, recall20: 0.0000 recall10: 0.0000 [10.1387]
train_epoch: 1002, loss: 0.0173, recall20: 0.0000 recall10: 0.0000 [10.1543]
train_epoch: 1003, loss: 0.0173, recall20: 0.0000 recall10: 0.0000 [10.1673]
train_epoch: 1004, loss: 0.0172, recall20: 0.0000 recall10: 0.0000 [10.1810]
train_epoch: 1005, loss: 0.0172, recall20: 0.0000 recall10: 0.0000 [10.1944]
train_epoch: 1006, loss: 0.0171, recall20: 0.0000 recall10: 0.0000 [10.2075]
train_epoch: 1007, loss: 0.0171, recall20: 0.0000 recall10: 0.0000 [10.2201]
train_epoch: 1008, loss: 0.0170, recall20: 0.0000 recall10: 0.0000 [10.2343]
train_epoch: 1009, loss: 0.0170, recall20: 0.0000 recall10: 0.0000 [10.2474]
train_epoch: 1010, loss: 0.0169, recall20: 0.0000 recall10: 0.0000 [10.2601]
train_epoch: 1011, loss: 0.0169, recall20: 0.0000 recall10: 0.0000 [10.2725]
train_epoch: 1012, loss: 0.0168, recall20: 0.0000 recall10: 0.0000 [10.2873]
train_epoch: 1013, loss: 0.0168, recall20: 0.0000 recall10: 0.0000 [10.2999]
train_epoch: 1014, loss: 0.0167, recall20: 0.0000 recall10: 0.0000 [10.3118]
train_epoch: 1015, loss: 0.0167, recall20: 0.0000 recall10: 0.0000 [10.3238]
train_epoch: 1016, loss: 0.0167, recall20: 0.0000 recall10: 0.0000 [10.3377]
train_epoch: 1017, loss: 0.0166, recall20: 0.0000 recall10: 0.0000 [10.3502]
train_epoch: 1018, loss: 0.0165, recall20: 0.0000 recall10: 0.0000 [10.3630]
train_epoch: 1019, loss: 0.0165, recall20: 0.0000 recall10: 0.0000 [10.3745]
train_epoch: 1020, loss: 0.0165, recall20: 0.0000 recall10: 0.0000 [10.3878]
train_epoch: 1021, loss: 0.0164, recall20: 0.0000 recall10: 0.0000 [10.3991]
train_epoch: 1022, loss: 0.0164, recall20: 0.0000 recall10: 0.0000 [10.4098]
train_epoch: 1023, loss: 0.0163, recall20: 0.0000 recall10: 0.0000 [10.4203]
train_epoch: 1024, loss: 0.0163, recall20: 0.0000 recall10: 0.0000 [10.4309]
train_epoch: 1025, loss: 0.0163, recall20: 0.0000 recall10: 0.0000 [10.4419]
train_epoch: 1026, loss: 0.0162, recall20: 0.0000 recall10: 0.0000 [10.4533]
train_epoch: 1027, loss: 0.0161, recall20: 0.0000 recall10: 0.0000 [10.4651]
train_epoch: 1028, loss: 0.0161, recall20: 0.0000 recall10: 0.0000 [10.4764]
train_epoch: 1029, loss: 0.0161, recall20: 0.0000 recall10: 0.0000 [10.4893]
train_epoch: 1030, loss: 0.0160, recall20: 0.0000 recall10: 0.0000 [10.5025]
train_epoch: 1031, loss: 0.0160, recall20: 0.0000 recall10: 0.0000 [10.5166]
train_epoch: 1032, loss: 0.0159, recall20: 0.0000 recall10: 0.0000 [10.5282]
train_epoch: 1033, loss: 0.0159, recall20: 0.0000 recall10: 0.0000 [10.5403]
train_epoch: 1034, loss: 0.0158, recall20: 0.0000 recall10: 0.0000 [10.5524]
train_epoch: 1035, loss: 0.0158, recall20: 0.0000 recall10: 0.0000 [10.5634]
train_epoch: 1036, loss: 0.0157, recall20: 0.0000 recall10: 0.0000 [10.5748]
train_epoch: 1037, loss: 0.0157, recall20: 0.0000 recall10: 0.0000 [10.5858]
train_epoch: 1038, loss: 0.0157, recall20: 0.0000 recall10: 0.0000 [10.5973]
train_epoch: 1039, loss: 0.0156, recall20: 0.0000 recall10: 0.0000 [10.6089]
train_epoch: 1040, loss: 0.0156, recall20: 0.0000 recall10: 0.0000 [10.6205]
train_epoch: 1041, loss: 0.0155, recall20: 0.0000 recall10: 0.0000 [10.6322]
train_epoch: 1042, loss: 0.0155, recall20: 0.0000 recall10: 0.0000 [10.6437]
train_epoch: 1043, loss: 0.0155, recall20: 0.0000 recall10: 0.0000 [10.6558]
train_epoch: 1044, loss: 0.0154, recall20: 0.0000 recall10: 0.0000 [10.6688]
train_epoch: 1045, loss: 0.0154, recall20: 0.0000 recall10: 0.0000 [10.6815]
train_epoch: 1046, loss: 0.0153, recall20: 0.0000 recall10: 0.0000 [10.6926]
train_epoch: 1047, loss: 0.0153, recall20: 0.0000 recall10: 0.0000 [10.7038]
train_epoch: 1048, loss: 0.0152, recall20: 0.0000 recall10: 0.0000 [10.7151]
train_epoch: 1049, loss: 0.0152, recall20: 0.0000 recall10: 0.0000 [10.7259]
train_epoch: 1050, loss: 0.0151, recall20: 0.0000 recall10: 0.0000 [10.7383]
train_epoch: 1051, loss: 0.0151, recall20: 0.0000 recall10: 0.0000 [10.7496]
train_epoch: 1052, loss: 0.0151, recall20: 0.0000 recall10: 0.0000 [10.7604]
train_epoch: 1053, loss: 0.0151, recall20: 0.0000 recall10: 0.0000 [10.7714]
train_epoch: 1054, loss: 0.0150, recall20: 0.0000 recall10: 0.0000 [10.7822]
train_epoch: 1055, loss: 0.0150, recall20: 0.0000 recall10: 0.0000 [10.7929]
train_epoch: 1056, loss: 0.0149, recall20: 0.0000 recall10: 0.0000 [10.8038]
train_epoch: 1057, loss: 0.0149, recall20: 0.0000 recall10: 0.0000 [10.8153]
train_epoch: 1058, loss: 0.0148, recall20: 0.0000 recall10: 0.0000 [10.8286]
train_epoch: 1059, loss: 0.0148, recall20: 0.0000 recall10: 0.0000 [10.8395]
train_epoch: 1060, loss: 0.0148, recall20: 0.0000 recall10: 0.0000 [10.8504]
train_epoch: 1061, loss: 0.0147, recall20: 0.0000 recall10: 0.0000 [10.8615]
train_epoch: 1062, loss: 0.0147, recall20: 0.0000 recall10: 0.0000 [10.8747]
train_epoch: 1063, loss: 0.0147, recall20: 0.0000 recall10: 0.0000 [10.8868]
train_epoch: 1064, loss: 0.0146, recall20: 0.0000 recall10: 0.0000 [10.8973]
train_epoch: 1065, loss: 0.0146, recall20: 0.0000 recall10: 0.0000 [10.9100]
train_epoch: 1066, loss: 0.0145, recall20: 0.0000 recall10: 0.0000 [10.9242]
train_epoch: 1067, loss: 0.0145, recall20: 0.0000 recall10: 0.0000 [10.9383]
train_epoch: 1068, loss: 0.0144, recall20: 0.0000 recall10: 0.0000 [10.9501]
train_epoch: 1069, loss: 0.0144, recall20: 0.0000 recall10: 0.0000 [10.9632]
train_epoch: 1070, loss: 0.0143, recall20: 0.0000 recall10: 0.0000 [10.9764]
train_epoch: 1071, loss: 0.0143, recall20: 0.0000 recall10: 0.0000 [10.9902]
train_epoch: 1072, loss: 0.0143, recall20: 0.0000 recall10: 0.0000 [11.0016]
train_epoch: 1073, loss: 0.0143, recall20: 0.0000 recall10: 0.0000 [11.0137]
