{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'max', 'pred': 'h'}
train_epoch: 1001, loss: 0.4196, recall20: 0.0000 recall10: 0.0000 [48.9694]
train_epoch: 1002, loss: 0.4195, recall20: 0.0000 recall10: 0.0000 [48.9817]
train_epoch: 1003, loss: 0.4195, recall20: 0.0000 recall10: 0.0000 [48.9914]
train_epoch: 1004, loss: 0.4195, recall20: 0.0000 recall10: 0.0000 [49.0008]
train_epoch: 1005, loss: 0.4194, recall20: 0.0000 recall10: 0.0000 [49.0098]
train_epoch: 1006, loss: 0.4194, recall20: 0.0000 recall10: 0.0000 [49.0200]
train_epoch: 1007, loss: 0.4193, recall20: 0.0000 recall10: 0.0000 [49.0299]
train_epoch: 1008, loss: 0.4193, recall20: 0.0000 recall10: 0.0000 [49.0447]
train_epoch: 1009, loss: 0.4192, recall20: 0.0000 recall10: 0.0000 [49.0554]
train_epoch: 1010, loss: 0.4192, recall20: 0.0000 recall10: 0.0000 [49.0660]
train_epoch: 1011, loss: 0.4192, recall20: 0.0000 recall10: 0.0000 [49.0772]
train_epoch: 1012, loss: 0.4191, recall20: 0.0000 recall10: 0.0000 [49.0872]
train_epoch: 1013, loss: 0.4191, recall20: 0.0000 recall10: 0.0000 [49.0975]
train_epoch: 1014, loss: 0.4190, recall20: 0.0000 recall10: 0.0000 [49.1079]
train_epoch: 1015, loss: 0.4190, recall20: 0.0000 recall10: 0.0000 [49.1188]
train_epoch: 1016, loss: 0.4190, recall20: 0.0000 recall10: 0.0000 [49.1306]
train_epoch: 1017, loss: 0.4189, recall20: 0.0000 recall10: 0.0000 [49.1419]
train_epoch: 1018, loss: 0.4189, recall20: 0.0000 recall10: 0.0000 [49.1533]
train_epoch: 1019, loss: 0.4188, recall20: 0.0000 recall10: 0.0000 [49.1647]
train_epoch: 1020, loss: 0.4188, recall20: 0.0000 recall10: 0.0000 [49.1759]
train_epoch: 1021, loss: 0.4188, recall20: 0.0000 recall10: 0.0000 [49.1870]
train_epoch: 1022, loss: 0.4187, recall20: 0.0000 recall10: 0.0000 [49.1982]
train_epoch: 1023, loss: 0.4187, recall20: 0.0000 recall10: 0.0000 [49.2097]
train_epoch: 1024, loss: 0.4186, recall20: 0.0000 recall10: 0.0000 [49.2211]
train_epoch: 1025, loss: 0.4186, recall20: 0.0000 recall10: 0.0000 [49.2323]
train_epoch: 1026, loss: 0.4186, recall20: 0.0000 recall10: 0.0000 [49.2431]
train_epoch: 1027, loss: 0.4185, recall20: 0.0000 recall10: 0.0000 [49.2545]
train_epoch: 1028, loss: 0.4185, recall20: 0.0000 recall10: 0.0000 [49.2655]
train_epoch: 1029, loss: 0.4184, recall20: 0.0000 recall10: 0.0000 [49.2755]
train_epoch: 1030, loss: 0.4184, recall20: 0.0000 recall10: 0.0000 [49.2880]
train_epoch: 1031, loss: 0.4183, recall20: 0.0000 recall10: 0.0000 [49.2989]
train_epoch: 1032, loss: 0.4183, recall20: 0.0000 recall10: 0.0000 [49.3106]
train_epoch: 1033, loss: 0.4183, recall20: 0.0000 recall10: 0.0000 [49.3224]
train_epoch: 1034, loss: 0.4182, recall20: 0.0000 recall10: 0.0000 [49.3340]
train_epoch: 1035, loss: 0.4182, recall20: 0.0000 recall10: 0.0000 [49.3462]
train_epoch: 1036, loss: 0.4181, recall20: 0.0000 recall10: 0.0000 [49.3575]
train_epoch: 1037, loss: 0.4181, recall20: 0.0000 recall10: 0.0000 [49.3704]
train_epoch: 1038, loss: 0.4181, recall20: 0.0000 recall10: 0.0000 [49.3850]
train_epoch: 1039, loss: 0.4180, recall20: 0.0000 recall10: 0.0000 [49.3962]
train_epoch: 1040, loss: 0.4180, recall20: 0.0000 recall10: 0.0000 [49.4062]
train_epoch: 1041, loss: 0.4179, recall20: 0.0000 recall10: 0.0000 [49.4168]
train_epoch: 1042, loss: 0.4179, recall20: 0.0000 recall10: 0.0000 [49.4272]
train_epoch: 1043, loss: 0.4179, recall20: 0.0000 recall10: 0.0000 [49.4390]
train_epoch: 1044, loss: 0.4178, recall20: 0.0000 recall10: 0.0000 [49.4508]
train_epoch: 1045, loss: 0.4178, recall20: 0.0000 recall10: 0.0000 [49.4617]
train_epoch: 1046, loss: 0.4177, recall20: 0.0000 recall10: 0.0000 [49.4749]
train_epoch: 1047, loss: 0.4177, recall20: 0.0000 recall10: 0.0000 [49.4863]
train_epoch: 1048, loss: 0.4177, recall20: 0.0000 recall10: 0.0000 [49.4971]
train_epoch: 1049, loss: 0.4176, recall20: 0.0000 recall10: 0.0000 [49.5082]
train_epoch: 1050, loss: 0.4176, recall20: 0.0000 recall10: 0.0000 [49.5184]
train_epoch: 1051, loss: 0.4175, recall20: 0.0000 recall10: 0.0000 [49.5304]
train_epoch: 1052, loss: 0.4175, recall20: 0.0000 recall10: 0.0000 [49.5413]
train_epoch: 1053, loss: 0.4174, recall20: 0.0000 recall10: 0.0000 [49.5517]
train_epoch: 1054, loss: 0.4174, recall20: 0.0000 recall10: 0.0000 [49.5624]
train_epoch: 1055, loss: 0.4174, recall20: 0.0000 recall10: 0.0000 [49.5727]
train_epoch: 1056, loss: 0.4173, recall20: 0.0000 recall10: 0.0000 [49.5840]
train_epoch: 1057, loss: 0.4173, recall20: 0.0000 recall10: 0.0000 [49.5949]
train_epoch: 1058, loss: 0.4172, recall20: 0.0000 recall10: 0.0000 [49.6055]
train_epoch: 1059, loss: 0.4172, recall20: 0.0000 recall10: 0.0000 [49.6161]
train_epoch: 1060, loss: 0.4172, recall20: 0.0000 recall10: 0.0000 [49.6262]
train_epoch: 1061, loss: 0.4171, recall20: 0.0000 recall10: 0.0000 [49.6372]
train_epoch: 1062, loss: 0.4171, recall20: 0.0000 recall10: 0.0000 [49.6475]
train_epoch: 1063, loss: 0.4170, recall20: 0.0000 recall10: 0.0000 [49.6573]
train_epoch: 1064, loss: 0.4170, recall20: 0.0000 recall10: 0.0000 [49.6675]
train_epoch: 1065, loss: 0.4169, recall20: 0.0000 recall10: 0.0000 [49.6780]
train_epoch: 1066, loss: 0.4169, recall20: 0.0000 recall10: 0.0000 [49.6891]
train_epoch: 1067, loss: 0.4169, recall20: 0.0000 recall10: 0.0000 [49.6996]
train_epoch: 1068, loss: 0.4168, recall20: 0.0000 recall10: 0.0000 [49.7098]
train_epoch: 1069, loss: 0.4168, recall20: 0.0000 recall10: 0.0000 [49.7199]
train_epoch: 1070, loss: 0.4167, recall20: 0.0000 recall10: 0.0000 [49.7300]
train_epoch: 1071, loss: 0.4167, recall20: 0.0000 recall10: 0.0000 [49.7401]
train_epoch: 1072, loss: 0.4167, recall20: 0.0000 recall10: 0.0000 [49.7506]
train_epoch: 1073, loss: 0.4166, recall20: 0.0000 recall10: 0.0000 [49.7606]
train_epoch: 1074, loss: 0.4166, recall20: 0.0000 recall10: 0.0000 [49.7707]
train_epoch: 1075, loss: 0.4165, recall20: 0.0000 recall10: 0.0000 [49.7813]
train_epoch: 1076, loss: 0.4165, recall20: 0.0000 recall10: 0.0000 [49.7917]
train_epoch: 1077, loss: 0.4164, recall20: 0.0000 recall10: 0.0000 [49.8024]
train_epoch: 1078, loss: 0.4164, recall20: 0.0000 recall10: 0.0000 [49.8145]
train_epoch: 1079, loss: 0.4164, recall20: 0.0000 recall10: 0.0000 [49.8252]
train_epoch: 1080, loss: 0.4163, recall20: 0.0000 recall10: 0.0000 [49.8365]
train_epoch: 1081, loss: 0.4163, recall20: 0.0000 recall10: 0.0000 [49.8484]
train_epoch: 1082, loss: 0.4162, recall20: 0.0000 recall10: 0.0000 [49.8597]
train_epoch: 1083, loss: 0.4162, recall20: 0.0000 recall10: 0.0000 [49.8713]
train_epoch: 1084, loss: 0.4162, recall20: 0.0000 recall10: 0.0000 [49.8815]
train_epoch: 1085, loss: 0.4161, recall20: 0.0000 recall10: 0.0000 [49.8940]
train_epoch: 1086, loss: 0.4161, recall20: 0.0000 recall10: 0.0000 [49.9073]
train_epoch: 1087, loss: 0.4160, recall20: 0.0000 recall10: 0.0000 [49.9184]
train_epoch: 1088, loss: 0.4160, recall20: 0.0000 recall10: 0.0000 [49.9296]
train_epoch: 1089, loss: 0.4160, recall20: 0.0000 recall10: 0.0000 [49.9408]
