{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'max', 'pred': 'i'}
train_epoch: 1001, loss: 0.0127, recall20: 0.0000 recall10: 0.0000 [36.5386]
train_epoch: 1002, loss: 0.0127, recall20: 0.0000 recall10: 0.0000 [36.5972]
train_epoch: 1003, loss: 0.0127, recall20: 0.0000 recall10: 0.0000 [36.6522]
train_epoch: 1004, loss: 0.0126, recall20: 0.0000 recall10: 0.0000 [36.7064]
train_epoch: 1005, loss: 0.0126, recall20: 0.0000 recall10: 0.0000 [36.7620]
train_epoch: 1006, loss: 0.0126, recall20: 0.0000 recall10: 0.0000 [36.8162]
train_epoch: 1007, loss: 0.0126, recall20: 0.0000 recall10: 0.0000 [36.8725]
train_epoch: 1008, loss: 0.0125, recall20: 0.0000 recall10: 0.0000 [36.9271]
train_epoch: 1009, loss: 0.0125, recall20: 0.0000 recall10: 0.0000 [36.9828]
train_epoch: 1010, loss: 0.0125, recall20: 0.0000 recall10: 0.0000 [37.0385]
train_epoch: 1011, loss: 0.0125, recall20: 0.0000 recall10: 0.0000 [37.0928]
train_epoch: 1012, loss: 0.0124, recall20: 0.0000 recall10: 0.0000 [37.1475]
train_epoch: 1013, loss: 0.0124, recall20: 0.0000 recall10: 0.0000 [37.2012]
train_epoch: 1014, loss: 0.0124, recall20: 0.0000 recall10: 0.0000 [37.2571]
train_epoch: 1015, loss: 0.0124, recall20: 0.0000 recall10: 0.0000 [37.3127]
train_epoch: 1016, loss: 0.0123, recall20: 0.0000 recall10: 0.0000 [37.3651]
train_epoch: 1017, loss: 0.0123, recall20: 0.0000 recall10: 0.0000 [37.4194]
train_epoch: 1018, loss: 0.0123, recall20: 0.0000 recall10: 0.0000 [37.4764]
train_epoch: 1019, loss: 0.0123, recall20: 0.0000 recall10: 0.0000 [37.5293]
train_epoch: 1020, loss: 0.0122, recall20: 0.0000 recall10: 0.0000 [37.5858]
train_epoch: 1021, loss: 0.0122, recall20: 0.0000 recall10: 0.0000 [37.6398]
train_epoch: 1022, loss: 0.0122, recall20: 0.0000 recall10: 0.0000 [37.6920]
train_epoch: 1023, loss: 0.0122, recall20: 0.0000 recall10: 0.0000 [37.7477]
train_epoch: 1024, loss: 0.0122, recall20: 0.0000 recall10: 0.0000 [37.8026]
train_epoch: 1025, loss: 0.0121, recall20: 0.0000 recall10: 0.0000 [37.8571]
train_epoch: 1026, loss: 0.0121, recall20: 0.0000 recall10: 0.0000 [37.9123]
train_epoch: 1027, loss: 0.0121, recall20: 0.0000 recall10: 0.0000 [37.9651]
train_epoch: 1028, loss: 0.0121, recall20: 0.0000 recall10: 0.0000 [38.0206]
train_epoch: 1029, loss: 0.0120, recall20: 0.0000 recall10: 0.0000 [38.0764]
train_epoch: 1030, loss: 0.0120, recall20: 0.0000 recall10: 0.0000 [38.1289]
train_epoch: 1031, loss: 0.0120, recall20: 0.0000 recall10: 0.0000 [38.1843]
train_epoch: 1032, loss: 0.0120, recall20: 0.0000 recall10: 0.0000 [38.2368]
train_epoch: 1033, loss: 0.0119, recall20: 0.0000 recall10: 0.0000 [38.2915]
train_epoch: 1034, loss: 0.0119, recall20: 0.0000 recall10: 0.0000 [38.3427]
train_epoch: 1035, loss: 0.0119, recall20: 0.0000 recall10: 0.0000 [38.3984]
train_epoch: 1036, loss: 0.0119, recall20: 0.0000 recall10: 0.0000 [38.4525]
train_epoch: 1037, loss: 0.0119, recall20: 0.0000 recall10: 0.0000 [38.5054]
train_epoch: 1038, loss: 0.0118, recall20: 0.0000 recall10: 0.0000 [38.5583]
train_epoch: 1039, loss: 0.0118, recall20: 0.0000 recall10: 0.0000 [38.6115]
