{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'max', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.4048, recall20: 0.0000 recall10: 0.0000 [112.3824]
train_epoch: 1002, loss: 0.4048, recall20: 0.0000 recall10: 0.0000 [112.5292]
train_epoch: 1003, loss: 0.4047, recall20: 0.0000 recall10: 0.0000 [112.6274]
train_epoch: 1004, loss: 0.4047, recall20: 0.0000 recall10: 0.0000 [112.7255]
train_epoch: 1005, loss: 0.4046, recall20: 0.0000 recall10: 0.0000 [112.8155]
train_epoch: 1006, loss: 0.4046, recall20: 0.0000 recall10: 0.0000 [112.8777]
train_epoch: 1007, loss: 0.4045, recall20: 0.0000 recall10: 0.0000 [112.9432]
train_epoch: 1008, loss: 0.4045, recall20: 0.0000 recall10: 0.0000 [113.0040]
train_epoch: 1009, loss: 0.4044, recall20: 0.0000 recall10: 0.0000 [113.0695]
train_epoch: 1010, loss: 0.4044, recall20: 0.0000 recall10: 0.0000 [113.1364]
train_epoch: 1011, loss: 0.4043, recall20: 0.0000 recall10: 0.0000 [113.2343]
train_epoch: 1012, loss: 0.4043, recall20: 0.0000 recall10: 0.0000 [113.3333]
train_epoch: 1013, loss: 0.4042, recall20: 0.0000 recall10: 0.0000 [113.4321]
train_epoch: 1014, loss: 0.4042, recall20: 0.0000 recall10: 0.0000 [113.4945]
train_epoch: 1015, loss: 0.4041, recall20: 0.0000 recall10: 0.0000 [113.5784]
train_epoch: 1016, loss: 0.4041, recall20: 0.0000 recall10: 0.0000 [113.6573]
train_epoch: 1017, loss: 0.4040, recall20: 0.0000 recall10: 0.0000 [113.7591]
train_epoch: 1018, loss: 0.4040, recall20: 0.0000 recall10: 0.0000 [113.8902]
train_epoch: 1019, loss: 0.4039, recall20: 0.0000 recall10: 0.0000 [113.9887]
train_epoch: 1020, loss: 0.4039, recall20: 0.0000 recall10: 0.0000 [114.1035]
train_epoch: 1021, loss: 0.4038, recall20: 0.0000 recall10: 0.0000 [114.2041]
train_epoch: 1022, loss: 0.4038, recall20: 0.0000 recall10: 0.0000 [114.3035]
train_epoch: 1023, loss: 0.4037, recall20: 0.0000 recall10: 0.0000 [114.4028]
train_epoch: 1024, loss: 0.4037, recall20: 0.0000 recall10: 0.0000 [114.5020]
train_epoch: 1025, loss: 0.4036, recall20: 0.0000 recall10: 0.0000 [114.6013]
train_epoch: 1026, loss: 0.4036, recall20: 0.0000 recall10: 0.0000 [114.7001]
train_epoch: 1027, loss: 0.4035, recall20: 0.0000 recall10: 0.0000 [114.7992]
train_epoch: 1028, loss: 0.4035, recall20: 0.0000 recall10: 0.0000 [114.8979]
train_epoch: 1029, loss: 0.4034, recall20: 0.0000 recall10: 0.0000 [114.9984]
train_epoch: 1030, loss: 0.4034, recall20: 0.0000 recall10: 0.0000 [115.0963]
train_epoch: 1031, loss: 0.4033, recall20: 0.0000 recall10: 0.0000 [115.1931]
train_epoch: 1032, loss: 0.4033, recall20: 0.0000 recall10: 0.0000 [115.2884]
train_epoch: 1033, loss: 0.4032, recall20: 0.0000 recall10: 0.0000 [115.4163]
train_epoch: 1034, loss: 0.4032, recall20: 0.0000 recall10: 0.0000 [115.5155]
train_epoch: 1035, loss: 0.4031, recall20: 0.0000 recall10: 0.0000 [116.2578]
train_epoch: 1036, loss: 0.4031, recall20: 0.0000 recall10: 0.0000 [116.2699]
train_epoch: 1037, loss: 0.4030, recall20: 0.0000 recall10: 0.0000 [116.2815]
train_epoch: 1038, loss: 0.4030, recall20: 0.0000 recall10: 0.0000 [116.3214]
train_epoch: 1039, loss: 0.4029, recall20: 0.0000 recall10: 0.0000 [116.3700]
train_epoch: 1040, loss: 0.4029, recall20: 0.0000 recall10: 0.0000 [116.4258]
train_epoch: 1041, loss: 0.4028, recall20: 0.0000 recall10: 0.0000 [116.4831]
train_epoch: 1042, loss: 0.4028, recall20: 0.0000 recall10: 0.0000 [116.5340]
train_epoch: 1043, loss: 0.4027, recall20: 0.0000 recall10: 0.0000 [116.6263]
train_epoch: 1044, loss: 0.4027, recall20: 0.0000 recall10: 0.0000 [116.7033]
train_epoch: 1045, loss: 0.4026, recall20: 0.0000 recall10: 0.0000 [116.8242]
train_epoch: 1046, loss: 0.4026, recall20: 0.0000 recall10: 0.0000 [116.9236]
train_epoch: 1047, loss: 0.4025, recall20: 0.0000 recall10: 0.0000 [117.0075]
train_epoch: 1048, loss: 0.4025, recall20: 0.0000 recall10: 0.0000 [117.0905]
train_epoch: 1049, loss: 0.4025, recall20: 0.0000 recall10: 0.0000 [117.1774]
train_epoch: 1050, loss: 0.4024, recall20: 0.0000 recall10: 0.0000 [117.2771]
train_epoch: 1051, loss: 0.4024, recall20: 0.0000 recall10: 0.0000 [117.3754]
train_epoch: 1052, loss: 0.4023, recall20: 0.0000 recall10: 0.0000 [117.4734]
train_epoch: 1053, loss: 0.4023, recall20: 0.0000 recall10: 0.0000 [117.5717]
train_epoch: 1054, loss: 0.4022, recall20: 0.0000 recall10: 0.0000 [117.6719]
train_epoch: 1055, loss: 0.4022, recall20: 0.0000 recall10: 0.0000 [117.7706]
train_epoch: 1056, loss: 0.4021, recall20: 0.0000 recall10: 0.0000 [117.8694]
train_epoch: 1057, loss: 0.4021, recall20: 0.0000 recall10: 0.0000 [117.9674]
train_epoch: 1058, loss: 0.4020, recall20: 0.0000 recall10: 0.0000 [118.0617]
train_epoch: 1059, loss: 0.4020, recall20: 0.0000 recall10: 0.0000 [118.1287]
train_epoch: 1060, loss: 0.4019, recall20: 0.0000 recall10: 0.0000 [118.2271]
train_epoch: 1061, loss: 0.4019, recall20: 0.0000 recall10: 0.0000 [118.3259]
train_epoch: 1062, loss: 0.4018, recall20: 0.0000 recall10: 0.0000 [118.4237]
train_epoch: 1063, loss: 0.4018, recall20: 0.0000 recall10: 0.0000 [118.5611]
train_epoch: 1064, loss: 0.4017, recall20: 0.0000 recall10: 0.0000 [118.6603]
train_epoch: 1065, loss: 0.4017, recall20: 0.0000 recall10: 0.0000 [118.7579]
train_epoch: 1066, loss: 0.4016, recall20: 0.0000 recall10: 0.0000 [118.8549]
train_epoch: 1067, loss: 0.4016, recall20: 0.0000 recall10: 0.0000 [118.9510]
