{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'max', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [12.9824]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.0023]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.0195]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.0353]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.0507]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.0677]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.0829]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.0979]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.1155]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.1311]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.1476]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.1631]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.1793]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.1948]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.2113]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.2274]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.2440]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.2603]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.2760]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.2926]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.3068]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.3225]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.3373]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.3522]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.3665]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.3809]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.3970]
train_epoch: 1028, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [13.4118]
