{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'max', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.3915, recall20: 0.0000 recall10: 0.0000 [34.1889]
train_epoch: 1002, loss: 0.3914, recall20: 0.0000 recall10: 0.0000 [34.2100]
train_epoch: 1003, loss: 0.3914, recall20: 0.0000 recall10: 0.0000 [34.2283]
train_epoch: 1004, loss: 0.3913, recall20: 0.0000 recall10: 0.0000 [34.2449]
train_epoch: 1005, loss: 0.3913, recall20: 0.0000 recall10: 0.0000 [34.2652]
train_epoch: 1006, loss: 0.3913, recall20: 0.0000 recall10: 0.0000 [34.2824]
train_epoch: 1007, loss: 0.3912, recall20: 0.0000 recall10: 0.0000 [34.2996]
train_epoch: 1008, loss: 0.3912, recall20: 0.0000 recall10: 0.0000 [34.3173]
train_epoch: 1009, loss: 0.3911, recall20: 0.0000 recall10: 0.0000 [34.3339]
train_epoch: 1010, loss: 0.3911, recall20: 0.0000 recall10: 0.0000 [34.3498]
train_epoch: 1011, loss: 0.3911, recall20: 0.0000 recall10: 0.0000 [34.3689]
train_epoch: 1012, loss: 0.3911, recall20: 0.0000 recall10: 0.0000 [34.3849]
train_epoch: 1013, loss: 0.3910, recall20: 0.0000 recall10: 0.0000 [34.4031]
train_epoch: 1014, loss: 0.3910, recall20: 0.0000 recall10: 0.0000 [34.4210]
train_epoch: 1015, loss: 0.3909, recall20: 0.0000 recall10: 0.0000 [34.4387]
train_epoch: 1016, loss: 0.3909, recall20: 0.0000 recall10: 0.0000 [34.4557]
train_epoch: 1017, loss: 0.3909, recall20: 0.0000 recall10: 0.0000 [34.4733]
train_epoch: 1018, loss: 0.3908, recall20: 0.0000 recall10: 0.0000 [34.4927]
train_epoch: 1019, loss: 0.3908, recall20: 0.0000 recall10: 0.0000 [34.5104]
train_epoch: 1020, loss: 0.3908, recall20: 0.0000 recall10: 0.0000 [34.5283]
train_epoch: 1021, loss: 0.3907, recall20: 0.0000 recall10: 0.0000 [34.5468]
train_epoch: 1022, loss: 0.3907, recall20: 0.0000 recall10: 0.0000 [34.5659]
train_epoch: 1023, loss: 0.3907, recall20: 0.0000 recall10: 0.0000 [34.5856]
train_epoch: 1024, loss: 0.3906, recall20: 0.0000 recall10: 0.0000 [34.6043]
train_epoch: 1025, loss: 0.3906, recall20: 0.0000 recall10: 0.0000 [34.6244]
train_epoch: 1026, loss: 0.3906, recall20: 0.0000 recall10: 0.0000 [34.6443]
train_epoch: 1027, loss: 0.3905, recall20: 0.0000 recall10: 0.0000 [34.6642]
train_epoch: 1028, loss: 0.3905, recall20: 0.0000 recall10: 0.0000 [34.6832]
train_epoch: 1029, loss: 0.3905, recall20: 0.0000 recall10: 0.0000 [34.7024]
train_epoch: 1030, loss: 0.3904, recall20: 0.0000 recall10: 0.0000 [34.7218]
train_epoch: 1031, loss: 0.3904, recall20: 0.0000 recall10: 0.0000 [34.7409]
train_epoch: 1032, loss: 0.3904, recall20: 0.0000 recall10: 0.0000 [34.7602]
train_epoch: 1033, loss: 0.3904, recall20: 0.0000 recall10: 0.0000 [34.7795]
train_epoch: 1034, loss: 0.3903, recall20: 0.0000 recall10: 0.0000 [34.8000]
train_epoch: 1035, loss: 0.3903, recall20: 0.0000 recall10: 0.0000 [34.8188]
train_epoch: 1036, loss: 0.3902, recall20: 0.0000 recall10: 0.0000 [34.8383]
train_epoch: 1037, loss: 0.3902, recall20: 0.0000 recall10: 0.0000 [34.8566]
train_epoch: 1038, loss: 0.3902, recall20: 0.0000 recall10: 0.0000 [34.8746]
train_epoch: 1039, loss: 0.3902, recall20: 0.0000 recall10: 0.0000 [34.8937]
train_epoch: 1040, loss: 0.3901, recall20: 0.0000 recall10: 0.0000 [34.9127]
train_epoch: 1041, loss: 0.3901, recall20: 0.0000 recall10: 0.0000 [34.9313]
train_epoch: 1042, loss: 0.3900, recall20: 0.0000 recall10: 0.0000 [34.9497]
train_epoch: 1043, loss: 0.3900, recall20: 0.0000 recall10: 0.0000 [34.9683]
train_epoch: 1044, loss: 0.3900, recall20: 0.0000 recall10: 0.0000 [34.9863]
train_epoch: 1045, loss: 0.3900, recall20: 0.0000 recall10: 0.0000 [35.0060]
train_epoch: 1046, loss: 0.3899, recall20: 0.0000 recall10: 0.0000 [35.0254]
train_epoch: 1047, loss: 0.3899, recall20: 0.0000 recall10: 0.0000 [35.0442]
train_epoch: 1048, loss: 0.3898, recall20: 0.0000 recall10: 0.0000 [35.0631]
train_epoch: 1049, loss: 0.3898, recall20: 0.0000 recall10: 0.0000 [35.0820]
train_epoch: 1050, loss: 0.3898, recall20: 0.0000 recall10: 0.0000 [35.1015]
train_epoch: 1051, loss: 0.3898, recall20: 0.0000 recall10: 0.0000 [35.1210]
train_epoch: 1052, loss: 0.3897, recall20: 0.0000 recall10: 0.0000 [35.1401]
train_epoch: 1053, loss: 0.3897, recall20: 0.0000 recall10: 0.0000 [35.1597]
train_epoch: 1054, loss: 0.3896, recall20: 0.0000 recall10: 0.0000 [35.1794]
train_epoch: 1055, loss: 0.3896, recall20: 0.0000 recall10: 0.0000 [35.1989]
train_epoch: 1056, loss: 0.3896, recall20: 0.0000 recall10: 0.0000 [35.2181]
train_epoch: 1057, loss: 0.3896, recall20: 0.0000 recall10: 0.0000 [35.2375]
train_epoch: 1058, loss: 0.3895, recall20: 0.0000 recall10: 0.0000 [35.2566]
train_epoch: 1059, loss: 0.3895, recall20: 0.0000 recall10: 0.0000 [35.2749]
train_epoch: 1060, loss: 0.3894, recall20: 0.0000 recall10: 0.0000 [35.2937]
train_epoch: 1061, loss: 0.3894, recall20: 0.0000 recall10: 0.0000 [35.3131]
train_epoch: 1062, loss: 0.3894, recall20: 0.0000 recall10: 0.0000 [35.3317]
train_epoch: 1063, loss: 0.3894, recall20: 0.0000 recall10: 0.0000 [35.3504]
train_epoch: 1064, loss: 0.3893, recall20: 0.0000 recall10: 0.0000 [35.3697]
train_epoch: 1065, loss: 0.3893, recall20: 0.0000 recall10: 0.0000 [35.3890]
train_epoch: 1066, loss: 0.3892, recall20: 0.0000 recall10: 0.0000 [35.4081]
train_epoch: 1067, loss: 0.3892, recall20: 0.0000 recall10: 0.0000 [35.4267]
train_epoch: 1068, loss: 0.3892, recall20: 0.0000 recall10: 0.0000 [35.4458]
train_epoch: 1069, loss: 0.3892, recall20: 0.0000 recall10: 0.0000 [35.4655]
train_epoch: 1070, loss: 0.3891, recall20: 0.0000 recall10: 0.0000 [35.4843]
train_epoch: 1071, loss: 0.3891, recall20: 0.0000 recall10: 0.0000 [35.5035]
train_epoch: 1072, loss: 0.3890, recall20: 0.0000 recall10: 0.0000 [35.5225]
train_epoch: 1073, loss: 0.3890, recall20: 0.0000 recall10: 0.0000 [35.5416]
train_epoch: 1074, loss: 0.3890, recall20: 0.0000 recall10: 0.0000 [35.5616]
train_epoch: 1075, loss: 0.3890, recall20: 0.0000 recall10: 0.0000 [35.5815]
train_epoch: 1076, loss: 0.3889, recall20: 0.0000 recall10: 0.0000 [35.6009]
train_epoch: 1077, loss: 0.3889, recall20: 0.0000 recall10: 0.0000 [35.6199]
train_epoch: 1078, loss: 0.3889, recall20: 0.0000 recall10: 0.0000 [35.6392]
train_epoch: 1079, loss: 0.3888, recall20: 0.0000 recall10: 0.0000 [35.6586]
train_epoch: 1080, loss: 0.3888, recall20: 0.0000 recall10: 0.0000 [35.6779]
train_epoch: 1081, loss: 0.3888, recall20: 0.0000 recall10: 0.0000 [35.6975]
