{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'min', 'pred': 'h'}
train_epoch: 1001, loss: 0.3868, recall20: 0.0000 recall10: 0.0000 [65.3868]
train_epoch: 1002, loss: 0.3867, recall20: 0.0000 recall10: 0.0000 [65.4108]
train_epoch: 1003, loss: 0.3867, recall20: 0.0000 recall10: 0.0000 [65.4366]
train_epoch: 1004, loss: 0.3867, recall20: 0.0000 recall10: 0.0000 [65.4619]
train_epoch: 1005, loss: 0.3866, recall20: 0.0000 recall10: 0.0000 [65.4847]
train_epoch: 1006, loss: 0.3866, recall20: 0.0000 recall10: 0.0000 [65.5060]
train_epoch: 1007, loss: 0.3865, recall20: 0.0000 recall10: 0.0000 [65.5275]
train_epoch: 1008, loss: 0.3865, recall20: 0.0000 recall10: 0.0000 [65.5500]
train_epoch: 1009, loss: 0.3865, recall20: 0.0000 recall10: 0.0000 [65.5732]
train_epoch: 1010, loss: 0.3864, recall20: 0.0000 recall10: 0.0000 [65.5957]
train_epoch: 1011, loss: 0.3864, recall20: 0.0000 recall10: 0.0000 [65.6172]
train_epoch: 1012, loss: 0.3864, recall20: 0.0000 recall10: 0.0000 [65.6387]
train_epoch: 1013, loss: 0.3863, recall20: 0.0000 recall10: 0.0000 [65.6602]
train_epoch: 1014, loss: 0.3863, recall20: 0.0000 recall10: 0.0000 [65.6828]
train_epoch: 1015, loss: 0.3862, recall20: 0.0000 recall10: 0.0000 [65.7062]
train_epoch: 1016, loss: 0.3862, recall20: 0.0000 recall10: 0.0000 [65.7297]
train_epoch: 1017, loss: 0.3862, recall20: 0.0000 recall10: 0.0000 [65.7508]
train_epoch: 1018, loss: 0.3861, recall20: 0.0000 recall10: 0.0000 [65.7733]
train_epoch: 1019, loss: 0.3861, recall20: 0.0000 recall10: 0.0000 [65.7946]
train_epoch: 1020, loss: 0.3860, recall20: 0.0000 recall10: 0.0000 [65.8170]
train_epoch: 1021, loss: 0.3860, recall20: 0.0000 recall10: 0.0000 [65.8390]
train_epoch: 1022, loss: 0.3860, recall20: 0.0000 recall10: 0.0000 [65.8629]
train_epoch: 1023, loss: 0.3859, recall20: 0.0000 recall10: 0.0000 [65.8848]
train_epoch: 1024, loss: 0.3859, recall20: 0.0000 recall10: 0.0000 [65.9061]
train_epoch: 1025, loss: 0.3859, recall20: 0.0000 recall10: 0.0000 [65.9310]
train_epoch: 1026, loss: 0.3858, recall20: 0.0000 recall10: 0.0000 [65.9550]
train_epoch: 1027, loss: 0.3858, recall20: 0.0000 recall10: 0.0000 [65.9801]
train_epoch: 1028, loss: 0.3857, recall20: 0.0000 recall10: 0.0000 [66.0026]
train_epoch: 1029, loss: 0.3857, recall20: 0.0000 recall10: 0.0000 [66.0250]
train_epoch: 1030, loss: 0.3857, recall20: 0.0000 recall10: 0.0000 [66.0485]
train_epoch: 1031, loss: 0.3856, recall20: 0.0000 recall10: 0.0000 [66.0703]
train_epoch: 1032, loss: 0.3856, recall20: 0.0000 recall10: 0.0000 [66.0911]
train_epoch: 1033, loss: 0.3856, recall20: 0.0000 recall10: 0.0000 [66.1142]
train_epoch: 1034, loss: 0.3855, recall20: 0.0000 recall10: 0.0000 [66.1357]
train_epoch: 1035, loss: 0.3855, recall20: 0.0000 recall10: 0.0000 [66.1579]
train_epoch: 1036, loss: 0.3854, recall20: 0.0000 recall10: 0.0000 [66.1837]
train_epoch: 1037, loss: 0.3854, recall20: 0.0000 recall10: 0.0000 [66.2082]
train_epoch: 1038, loss: 0.3854, recall20: 0.0000 recall10: 0.0000 [66.2297]
train_epoch: 1039, loss: 0.3853, recall20: 0.0000 recall10: 0.0000 [66.2505]
train_epoch: 1040, loss: 0.3853, recall20: 0.0000 recall10: 0.0000 [66.2708]
train_epoch: 1041, loss: 0.3853, recall20: 0.0000 recall10: 0.0000 [66.2921]
train_epoch: 1042, loss: 0.3852, recall20: 0.0000 recall10: 0.0000 [66.3123]
train_epoch: 1043, loss: 0.3852, recall20: 0.0000 recall10: 0.0000 [66.3322]
train_epoch: 1044, loss: 0.3851, recall20: 0.0000 recall10: 0.0000 [66.3581]
train_epoch: 1045, loss: 0.3851, recall20: 0.0000 recall10: 0.0000 [66.3862]
train_epoch: 1046, loss: 0.3851, recall20: 0.0000 recall10: 0.0000 [66.4141]
train_epoch: 1047, loss: 0.3850, recall20: 0.0000 recall10: 0.0000 [66.4373]
train_epoch: 1048, loss: 0.3850, recall20: 0.0000 recall10: 0.0000 [66.4664]
train_epoch: 1049, loss: 0.3850, recall20: 0.0000 recall10: 0.0000 [66.4864]
train_epoch: 1050, loss: 0.3849, recall20: 0.0000 recall10: 0.0000 [66.5069]
train_epoch: 1051, loss: 0.3849, recall20: 0.0000 recall10: 0.0000 [66.5273]
train_epoch: 1052, loss: 0.3849, recall20: 0.0000 recall10: 0.0000 [66.5572]
