{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'min', 'pred': 'i'}
train_epoch: 1001, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [9.6218]
train_epoch: 1002, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [9.6424]
train_epoch: 1003, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [9.6539]
train_epoch: 1004, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [9.6645]
train_epoch: 1005, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [9.6755]
train_epoch: 1006, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [9.6861]
train_epoch: 1007, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [9.6966]
train_epoch: 1008, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [9.7073]
train_epoch: 1009, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [9.7180]
train_epoch: 1010, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [9.7289]
train_epoch: 1011, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [9.7395]
train_epoch: 1012, loss: 0.0046, recall20: 0.0000 recall10: 0.0000 [9.7501]
train_epoch: 1013, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [9.7606]
train_epoch: 1014, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [9.7710]
train_epoch: 1015, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [9.7815]
train_epoch: 1016, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [9.7925]
train_epoch: 1017, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [9.8035]
train_epoch: 1018, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [9.8141]
train_epoch: 1019, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [9.8255]
train_epoch: 1020, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [9.8366]
train_epoch: 1021, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [9.8472]
train_epoch: 1022, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [9.8581]
train_epoch: 1023, loss: 0.0045, recall20: 0.0000 recall10: 0.0000 [9.8687]
