{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'min', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.6667, recall20: 0.0000 recall10: 0.0000 [11.7737]
train_epoch: 1002, loss: 0.6666, recall20: 0.0000 recall10: 0.0000 [11.7898]
train_epoch: 1003, loss: 0.6666, recall20: 0.0000 recall10: 0.0000 [11.8035]
train_epoch: 1004, loss: 0.6666, recall20: 0.0000 recall10: 0.0000 [11.8159]
train_epoch: 1005, loss: 0.6666, recall20: 0.0000 recall10: 0.0000 [11.8286]
train_epoch: 1006, loss: 0.6665, recall20: 0.0000 recall10: 0.0000 [11.8413]
train_epoch: 1007, loss: 0.6665, recall20: 0.0000 recall10: 0.0000 [11.8539]
train_epoch: 1008, loss: 0.6665, recall20: 0.0000 recall10: 0.0000 [11.8666]
train_epoch: 1009, loss: 0.6664, recall20: 0.0000 recall10: 0.0000 [11.8796]
train_epoch: 1010, loss: 0.6664, recall20: 0.0000 recall10: 0.0000 [11.8928]
train_epoch: 1011, loss: 0.6664, recall20: 0.0000 recall10: 0.0000 [11.9053]
train_epoch: 1012, loss: 0.6663, recall20: 0.0000 recall10: 0.0000 [11.9178]
train_epoch: 1013, loss: 0.6663, recall20: 0.0000 recall10: 0.0000 [11.9306]
train_epoch: 1014, loss: 0.6663, recall20: 0.0000 recall10: 0.0000 [11.9438]
train_epoch: 1015, loss: 0.6662, recall20: 0.0000 recall10: 0.0000 [11.9566]
train_epoch: 1016, loss: 0.6662, recall20: 0.0000 recall10: 0.0000 [11.9700]
train_epoch: 1017, loss: 0.6662, recall20: 0.0000 recall10: 0.0000 [11.9836]
train_epoch: 1018, loss: 0.6661, recall20: 0.0000 recall10: 0.0000 [11.9965]
train_epoch: 1019, loss: 0.6661, recall20: 0.0000 recall10: 0.0000 [12.0099]
train_epoch: 1020, loss: 0.6661, recall20: 0.0000 recall10: 0.0000 [12.0231]
train_epoch: 1021, loss: 0.6660, recall20: 0.0000 recall10: 0.0000 [12.0363]
train_epoch: 1022, loss: 0.6660, recall20: 0.0000 recall10: 0.0000 [12.0493]
train_epoch: 1023, loss: 0.6660, recall20: 0.0000 recall10: 0.0000 [12.0620]
train_epoch: 1024, loss: 0.6659, recall20: 0.0000 recall10: 0.0000 [12.0748]
train_epoch: 1025, loss: 0.6659, recall20: 0.0000 recall10: 0.0000 [12.0877]
train_epoch: 1026, loss: 0.6659, recall20: 0.0000 recall10: 0.0000 [12.1007]
train_epoch: 1027, loss: 0.6658, recall20: 0.0000 recall10: 0.0000 [12.1133]
train_epoch: 1028, loss: 0.6658, recall20: 0.0000 recall10: 0.0000 [12.1264]
train_epoch: 1029, loss: 0.6658, recall20: 0.0000 recall10: 0.0000 [12.1392]
train_epoch: 1030, loss: 0.6657, recall20: 0.0000 recall10: 0.0000 [12.1523]
train_epoch: 1031, loss: 0.6657, recall20: 0.0000 recall10: 0.0000 [12.1684]
train_epoch: 1032, loss: 0.6657, recall20: 0.0000 recall10: 0.0000 [12.1814]
train_epoch: 1033, loss: 0.6656, recall20: 0.0000 recall10: 0.0000 [12.1962]
train_epoch: 1034, loss: 0.6656, recall20: 0.0000 recall10: 0.0000 [12.2100]
train_epoch: 1035, loss: 0.6656, recall20: 0.0000 recall10: 0.0000 [12.2227]
train_epoch: 1036, loss: 0.6655, recall20: 0.0000 recall10: 0.0000 [12.2356]
train_epoch: 1037, loss: 0.6655, recall20: 0.0000 recall10: 0.0000 [12.2491]
train_epoch: 1038, loss: 0.6655, recall20: 0.0000 recall10: 0.0000 [12.2627]
train_epoch: 1039, loss: 0.6654, recall20: 0.0000 recall10: 0.0000 [12.2760]
train_epoch: 1040, loss: 0.6654, recall20: 0.0000 recall10: 0.0000 [12.2888]
train_epoch: 1041, loss: 0.6654, recall20: 0.0000 recall10: 0.0000 [12.3029]
train_epoch: 1042, loss: 0.6653, recall20: 0.0000 recall10: 0.0000 [12.3166]
train_epoch: 1043, loss: 0.6653, recall20: 0.0000 recall10: 0.0000 [12.3302]
train_epoch: 1044, loss: 0.6653, recall20: 0.0000 recall10: 0.0000 [12.3428]
train_epoch: 1045, loss: 0.6652, recall20: 0.0000 recall10: 0.0000 [12.3563]
train_epoch: 1046, loss: 0.6652, recall20: 0.0000 recall10: 0.0000 [12.3701]
train_epoch: 1047, loss: 0.6652, recall20: 0.0000 recall10: 0.0000 [12.3834]
train_epoch: 1048, loss: 0.6651, recall20: 0.0000 recall10: 0.0000 [12.3954]
train_epoch: 1049, loss: 0.6651, recall20: 0.0000 recall10: 0.0000 [12.4087]
train_epoch: 1050, loss: 0.6651, recall20: 0.0000 recall10: 0.0000 [12.4215]
train_epoch: 1051, loss: 0.6650, recall20: 0.0000 recall10: 0.0000 [12.4352]
train_epoch: 1052, loss: 0.6650, recall20: 0.0000 recall10: 0.0000 [12.4480]
train_epoch: 1053, loss: 0.6650, recall20: 0.0000 recall10: 0.0000 [12.4602]
train_epoch: 1054, loss: 0.6649, recall20: 0.0000 recall10: 0.0000 [12.4730]
train_epoch: 1055, loss: 0.6649, recall20: 0.0000 recall10: 0.0000 [12.4861]
