{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'mul', 'pred': 'h'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [55.2867]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [55.3372]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [55.3869]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [55.4385]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [55.4916]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [55.5405]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [55.5981]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [55.6517]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [55.7084]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [55.7607]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [55.8146]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [55.8748]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [55.9333]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [55.9917]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.0497]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.1027]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.1579]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.2144]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.2732]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.3275]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.3820]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.4386]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.4968]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.5555]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.6149]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.6737]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.7272]
train_epoch: 1028, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.7863]
train_epoch: 1029, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.8457]
train_epoch: 1030, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.9053]
train_epoch: 1031, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.9635]
train_epoch: 1032, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.0171]
train_epoch: 1033, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.0764]
train_epoch: 1034, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.1356]
train_epoch: 1035, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.1946]
train_epoch: 1036, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.2539]
train_epoch: 1037, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.3121]
train_epoch: 1038, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.3707]
train_epoch: 1039, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.4283]
train_epoch: 1040, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.4863]
train_epoch: 1041, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.5451]
train_epoch: 1042, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.5992]
train_epoch: 1043, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.6535]
train_epoch: 1044, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.7106]
train_epoch: 1045, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.7695]
train_epoch: 1046, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.8232]
train_epoch: 1047, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.8821]
train_epoch: 1048, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.9408]
train_epoch: 1049, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.9978]
train_epoch: 1050, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.0561]
train_epoch: 1051, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.1101]
train_epoch: 1052, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.1629]
train_epoch: 1053, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.2145]
train_epoch: 1054, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.2722]
train_epoch: 1055, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.3316]
train_epoch: 1056, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.3888]
train_epoch: 1057, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.4454]
train_epoch: 1058, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.5062]
train_epoch: 1059, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.5651]
train_epoch: 1060, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.6238]
train_epoch: 1061, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.6831]
train_epoch: 1062, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.7424]
train_epoch: 1063, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.8015]
train_epoch: 1064, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.8600]
train_epoch: 1065, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.9176]
train_epoch: 1066, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.9755]
train_epoch: 1067, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.0334]
train_epoch: 1068, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.0920]
train_epoch: 1069, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.1517]
train_epoch: 1070, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.2114]
train_epoch: 1071, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.2696]
train_epoch: 1072, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.3272]
train_epoch: 1073, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.3854]
train_epoch: 1074, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.4457]
train_epoch: 1075, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.5049]
train_epoch: 1076, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.5642]
train_epoch: 1077, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.6225]
train_epoch: 1078, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.6822]
train_epoch: 1079, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.7424]
train_epoch: 1080, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.7998]
train_epoch: 1081, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.8593]
train_epoch: 1082, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.9182]
train_epoch: 1083, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.9758]
train_epoch: 1084, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.0351]
train_epoch: 1085, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.0939]
train_epoch: 1086, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.1526]
train_epoch: 1087, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.2120]
train_epoch: 1088, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.2717]
train_epoch: 1089, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.3311]
train_epoch: 1090, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.3901]
train_epoch: 1091, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.4482]
train_epoch: 1092, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.5074]
train_epoch: 1093, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.5655]
train_epoch: 1094, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.6254]
train_epoch: 1095, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.6851]
train_epoch: 1096, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.7429]
train_epoch: 1097, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.8026]
train_epoch: 1098, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.8618]
train_epoch: 1099, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.9218]
train_epoch: 1100, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.9768]
train_epoch: 1101, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.0356]
train_epoch: 1102, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.0950]
train_epoch: 1103, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.1548]
train_epoch: 1104, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.2142]
train_epoch: 1105, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.2722]
train_epoch: 1106, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.3308]
train_epoch: 1107, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.3887]
train_epoch: 1108, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.4464]
train_epoch: 1109, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.5014]
train_epoch: 1110, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.5615]
train_epoch: 1111, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.6204]
train_epoch: 1112, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.6790]
train_epoch: 1113, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.7384]
train_epoch: 1114, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.7963]
train_epoch: 1115, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.8558]
train_epoch: 1116, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.9141]
train_epoch: 1117, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.9731]
train_epoch: 1118, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.0295]
train_epoch: 1119, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.0842]
train_epoch: 1120, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.1401]
train_epoch: 1121, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.1965]
train_epoch: 1122, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.2519]
train_epoch: 1123, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.3093]
train_epoch: 1124, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.3686]
train_epoch: 1125, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.4282]
train_epoch: 1126, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.4843]
train_epoch: 1127, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.5437]
train_epoch: 1128, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.6011]
train_epoch: 1129, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.6598]
train_epoch: 1130, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.7186]
train_epoch: 1131, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.7769]
train_epoch: 1132, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.8363]
train_epoch: 1133, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.8950]
train_epoch: 1134, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.9546]
train_epoch: 1135, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.0136]
train_epoch: 1136, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.0734]
train_epoch: 1137, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.1320]
train_epoch: 1138, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.1896]
train_epoch: 1139, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.2491]
train_epoch: 1140, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.3062]
train_epoch: 1141, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.3641]
train_epoch: 1142, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.4211]
train_epoch: 1143, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.4801]
train_epoch: 1144, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.5368]
train_epoch: 1145, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.5969]
train_epoch: 1146, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.6568]
train_epoch: 1147, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.7277]
train_epoch: 1148, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.7816]
train_epoch: 1149, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.8269]
train_epoch: 1150, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.8772]
train_epoch: 1151, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.9354]
train_epoch: 1152, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.9908]
train_epoch: 1153, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.0449]
train_epoch: 1154, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.1035]
train_epoch: 1155, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.1607]
train_epoch: 1156, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.2167]
train_epoch: 1157, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.2718]
train_epoch: 1158, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.3273]
train_epoch: 1159, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.3765]
train_epoch: 1160, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.4333]
train_epoch: 1161, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.4904]
train_epoch: 1162, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.5448]
train_epoch: 1163, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.6000]
train_epoch: 1164, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.6610]
train_epoch: 1165, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.7179]
train_epoch: 1166, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.7773]
train_epoch: 1167, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.8368]
train_epoch: 1168, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.8960]
train_epoch: 1169, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.9544]
train_epoch: 1170, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.0133]
train_epoch: 1171, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.0732]
train_epoch: 1172, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.1324]
train_epoch: 1173, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.1922]
train_epoch: 1174, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.2514]
train_epoch: 1175, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.3108]
train_epoch: 1176, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.3702]
train_epoch: 1177, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.4296]
train_epoch: 1178, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.4889]
train_epoch: 1179, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.5484]
train_epoch: 1180, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.6081]
train_epoch: 1181, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.6669]
train_epoch: 1182, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.7252]
train_epoch: 1183, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.7834]
train_epoch: 1184, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.8413]
train_epoch: 1185, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.9008]
train_epoch: 1186, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.9587]
train_epoch: 1187, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.0117]
train_epoch: 1188, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.0700]
train_epoch: 1189, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.1287]
train_epoch: 1190, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.1880]
train_epoch: 1191, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.2468]
train_epoch: 1192, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.3034]
train_epoch: 1193, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.3630]
train_epoch: 1194, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.4218]
train_epoch: 1195, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.4775]
train_epoch: 1196, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.5369]
train_epoch: 1197, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.5949]
train_epoch: 1198, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.6522]
train_epoch: 1199, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.7079]
train_epoch: 1200, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.7642]
train_epoch: 1201, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.8202]
train_epoch: 1202, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.8784]
train_epoch: 1203, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.9351]
train_epoch: 1204, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.9918]
train_epoch: 1205, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.0505]
train_epoch: 1206, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.1066]
train_epoch: 1207, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.1625]
train_epoch: 1208, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.2194]
train_epoch: 1209, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.2781]
train_epoch: 1210, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.3365]
train_epoch: 1211, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.3916]
train_epoch: 1212, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.4504]
train_epoch: 1213, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.5073]
train_epoch: 1214, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.5651]
train_epoch: 1215, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.6231]
train_epoch: 1216, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.6832]
train_epoch: 1217, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.7350]
train_epoch: 1218, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.7909]
train_epoch: 1219, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.8495]
train_epoch: 1220, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.9025]
train_epoch: 1221, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.9585]
train_epoch: 1222, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.0170]
train_epoch: 1223, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.0763]
train_epoch: 1224, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.1357]
train_epoch: 1225, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.1946]
train_epoch: 1226, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.2537]
train_epoch: 1227, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.3126]
train_epoch: 1228, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.3713]
train_epoch: 1229, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.4306]
train_epoch: 1230, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.4896]
train_epoch: 1231, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.5153]
train_epoch: 1232, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.5512]
train_epoch: 1233, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.5893]
train_epoch: 1234, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.6003]
train_epoch: 1235, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.6115]
train_epoch: 1236, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.6288]
train_epoch: 1237, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.6396]
train_epoch: 1238, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.6505]
train_epoch: 1239, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.6622]
train_epoch: 1240, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.6755]
train_epoch: 1241, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.6871]
train_epoch: 1242, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.6989]
train_epoch: 1243, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.7106]
train_epoch: 1244, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.7229]
train_epoch: 1245, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.7356]
train_epoch: 1246, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.7474]
train_epoch: 1247, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.7598]
train_epoch: 1248, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.7711]
train_epoch: 1249, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.7856]
train_epoch: 1250, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.7979]
train_epoch: 1251, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.8109]
train_epoch: 1252, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.8229]
train_epoch: 1253, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.8343]
train_epoch: 1254, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.8466]
train_epoch: 1255, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.8584]
train_epoch: 1256, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.8704]
train_epoch: 1257, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.8820]
train_epoch: 1258, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.8953]
train_epoch: 1259, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.9074]
train_epoch: 1260, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.9183]
train_epoch: 1261, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.9303]
train_epoch: 1262, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.9458]
train_epoch: 1263, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.9565]
