{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'mul', 'pred': 'h'}
train_epoch: 1001, loss: 0.0054, recall20: 0.0000 recall10: 0.0000 [11.0706]
train_epoch: 1002, loss: 0.0053, recall20: 0.0000 recall10: 0.0000 [11.0882]
train_epoch: 1003, loss: 0.0053, recall20: 0.0000 recall10: 0.0000 [11.0999]
train_epoch: 1004, loss: 0.0053, recall20: 0.0000 recall10: 0.0000 [11.1139]
train_epoch: 1005, loss: 0.0053, recall20: 0.0000 recall10: 0.0000 [11.1257]
train_epoch: 1006, loss: 0.0053, recall20: 0.0000 recall10: 0.0000 [11.1384]
train_epoch: 1007, loss: 0.0052, recall20: 0.0000 recall10: 0.0000 [11.1511]
train_epoch: 1008, loss: 0.0052, recall20: 0.0000 recall10: 0.0000 [11.1633]
train_epoch: 1009, loss: 0.0052, recall20: 0.0000 recall10: 0.0000 [11.1767]
train_epoch: 1010, loss: 0.0052, recall20: 0.0000 recall10: 0.0000 [11.1891]
train_epoch: 1011, loss: 0.0052, recall20: 0.0000 recall10: 0.0000 [11.2009]
train_epoch: 1012, loss: 0.0052, recall20: 0.0000 recall10: 0.0000 [11.2127]
train_epoch: 1013, loss: 0.0051, recall20: 0.0000 recall10: 0.0000 [11.2248]
train_epoch: 1014, loss: 0.0051, recall20: 0.0000 recall10: 0.0000 [11.2368]
train_epoch: 1015, loss: 0.0051, recall20: 0.0000 recall10: 0.0000 [11.2491]
train_epoch: 1016, loss: 0.0051, recall20: 0.0000 recall10: 0.0000 [11.2607]
train_epoch: 1017, loss: 0.0051, recall20: 0.0000 recall10: 0.0000 [11.2727]
train_epoch: 1018, loss: 0.0051, recall20: 0.0000 recall10: 0.0000 [11.2841]
train_epoch: 1019, loss: 0.0050, recall20: 0.0000 recall10: 0.0000 [11.2993]
train_epoch: 1020, loss: 0.0050, recall20: 0.0000 recall10: 0.0000 [11.3120]
train_epoch: 1021, loss: 0.0050, recall20: 0.0000 recall10: 0.0000 [11.3241]
train_epoch: 1022, loss: 0.0050, recall20: 0.0000 recall10: 0.0000 [11.3362]
train_epoch: 1023, loss: 0.0050, recall20: 0.0000 recall10: 0.0000 [11.3484]
train_epoch: 1024, loss: 0.0050, recall20: 0.0000 recall10: 0.0000 [11.3605]
train_epoch: 1025, loss: 0.0049, recall20: 0.0000 recall10: 0.0000 [11.3726]
train_epoch: 1026, loss: 0.0049, recall20: 0.0000 recall10: 0.0000 [11.3848]
train_epoch: 1027, loss: 0.0049, recall20: 0.0000 recall10: 0.0000 [11.3972]
train_epoch: 1028, loss: 0.0049, recall20: 0.0000 recall10: 0.0000 [11.4097]
train_epoch: 1029, loss: 0.0049, recall20: 0.0000 recall10: 0.0000 [11.4224]
train_epoch: 1030, loss: 0.0049, recall20: 0.0000 recall10: 0.0000 [11.4347]
train_epoch: 1031, loss: 0.0048, recall20: 0.0000 recall10: 0.0000 [11.4468]
train_epoch: 1032, loss: 0.0048, recall20: 0.0000 recall10: 0.0000 [11.4592]
train_epoch: 1033, loss: 0.0048, recall20: 0.0000 recall10: 0.0000 [11.4717]
train_epoch: 1034, loss: 0.0048, recall20: 0.0000 recall10: 0.0000 [11.4848]
train_epoch: 1035, loss: 0.0048, recall20: 0.0000 recall10: 0.0000 [11.4988]
train_epoch: 1036, loss: 0.0048, recall20: 0.0000 recall10: 0.0000 [11.5113]
