{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'mul', 'pred': 'i'}
train_epoch: 1001, loss: 0.0034, recall20: 0.0000 recall10: 0.0000 [9.9706]
train_epoch: 1002, loss: 0.0034, recall20: 0.0000 recall10: 0.0000 [9.9837]
train_epoch: 1003, loss: 0.0034, recall20: 0.0000 recall10: 0.0000 [9.9942]
train_epoch: 1004, loss: 0.0034, recall20: 0.0000 recall10: 0.0000 [10.0039]
train_epoch: 1005, loss: 0.0034, recall20: 0.0000 recall10: 0.0000 [10.0146]
train_epoch: 1006, loss: 0.0034, recall20: 0.0000 recall10: 0.0000 [10.0252]
train_epoch: 1007, loss: 0.0034, recall20: 0.0000 recall10: 0.0000 [10.0355]
train_epoch: 1008, loss: 0.0034, recall20: 0.0000 recall10: 0.0000 [10.0463]
train_epoch: 1009, loss: 0.0034, recall20: 0.0000 recall10: 0.0000 [10.0577]
train_epoch: 1010, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [10.0692]
train_epoch: 1011, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [10.0800]
train_epoch: 1012, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [10.0904]
train_epoch: 1013, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [10.1014]
train_epoch: 1014, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [10.1114]
train_epoch: 1015, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [10.1209]
train_epoch: 1016, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [10.1310]
train_epoch: 1017, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [10.1419]
train_epoch: 1018, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [10.1526]
train_epoch: 1019, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [10.1628]
train_epoch: 1020, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [10.1747]
train_epoch: 1021, loss: 0.0033, recall20: 0.0000 recall10: 0.0000 [10.1856]
train_epoch: 1022, loss: 0.0032, recall20: 0.0000 recall10: 0.0000 [10.1959]
train_epoch: 1023, loss: 0.0032, recall20: 0.0000 recall10: 0.0000 [10.2059]
train_epoch: 1024, loss: 0.0032, recall20: 0.0000 recall10: 0.0000 [10.2179]
train_epoch: 1025, loss: 0.0032, recall20: 0.0000 recall10: 0.0000 [10.2332]
train_epoch: 1026, loss: 0.0032, recall20: 0.0000 recall10: 0.0000 [10.2445]
train_epoch: 1027, loss: 0.0032, recall20: 0.0000 recall10: 0.0000 [10.2554]
train_epoch: 1028, loss: 0.0032, recall20: 0.0000 recall10: 0.0000 [10.2668]
train_epoch: 1029, loss: 0.0032, recall20: 0.0000 recall10: 0.0000 [10.2779]
train_epoch: 1030, loss: 0.0032, recall20: 0.0000 recall10: 0.0000 [10.2894]
train_epoch: 1031, loss: 0.0032, recall20: 0.0000 recall10: 0.0000 [10.3006]
