{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'mul', 'pred': 'i'}
train_epoch: 1001, loss: 0.0141, recall20: 0.0000 recall10: 0.0000 [112.7222]
train_epoch: 1002, loss: 0.0140, recall20: 0.0000 recall10: 0.0000 [112.8405]
train_epoch: 1003, loss: 0.0140, recall20: 0.0000 recall10: 0.0000 [112.9559]
train_epoch: 1004, loss: 0.0139, recall20: 0.0000 recall10: 0.0000 [113.0664]
train_epoch: 1005, loss: 0.0139, recall20: 0.0000 recall10: 0.0000 [113.1801]
train_epoch: 1006, loss: 0.0138, recall20: 0.0000 recall10: 0.0000 [113.2932]
train_epoch: 1007, loss: 0.0138, recall20: 0.0000 recall10: 0.0000 [113.4104]
train_epoch: 1008, loss: 0.0137, recall20: 0.0000 recall10: 0.0000 [113.5211]
train_epoch: 1009, loss: 0.0137, recall20: 0.0000 recall10: 0.0000 [113.6340]
train_epoch: 1010, loss: 0.0136, recall20: 0.0000 recall10: 0.0000 [113.7509]
train_epoch: 1011, loss: 0.0136, recall20: 0.0000 recall10: 0.0000 [113.8654]
train_epoch: 1012, loss: 0.0135, recall20: 0.0000 recall10: 0.0000 [113.9811]
train_epoch: 1013, loss: 0.0135, recall20: 0.0000 recall10: 0.0000 [114.0945]
train_epoch: 1014, loss: 0.0134, recall20: 0.0000 recall10: 0.0000 [114.2072]
train_epoch: 1015, loss: 0.0134, recall20: 0.0000 recall10: 0.0000 [114.3243]
train_epoch: 1016, loss: 0.0133, recall20: 0.0000 recall10: 0.0000 [114.4439]
train_epoch: 1017, loss: 0.0133, recall20: 0.0000 recall10: 0.0000 [114.5602]
train_epoch: 1018, loss: 0.0132, recall20: 0.0000 recall10: 0.0000 [114.6740]
train_epoch: 1019, loss: 0.0132, recall20: 0.0000 recall10: 0.0000 [114.7904]
train_epoch: 1020, loss: 0.0131, recall20: 0.0000 recall10: 0.0000 [114.9040]
train_epoch: 1021, loss: 0.0131, recall20: 0.0000 recall10: 0.0000 [115.0179]
train_epoch: 1022, loss: 0.0130, recall20: 0.0000 recall10: 0.0000 [115.1336]
train_epoch: 1023, loss: 0.0130, recall20: 0.0000 recall10: 0.0000 [115.2468]
train_epoch: 1024, loss: 0.0130, recall20: 0.0000 recall10: 0.0000 [115.3648]
train_epoch: 1025, loss: 0.0129, recall20: 0.0000 recall10: 0.0000 [115.4819]
train_epoch: 1026, loss: 0.0129, recall20: 0.0000 recall10: 0.0000 [115.5957]
train_epoch: 1027, loss: 0.0128, recall20: 0.0000 recall10: 0.0000 [115.7115]
train_epoch: 1028, loss: 0.0128, recall20: 0.0000 recall10: 0.0000 [115.8285]
train_epoch: 1029, loss: 0.0127, recall20: 0.0000 recall10: 0.0000 [115.9417]
train_epoch: 1030, loss: 0.0127, recall20: 0.0000 recall10: 0.0000 [116.0590]
train_epoch: 1031, loss: 0.0126, recall20: 0.0000 recall10: 0.0000 [116.1739]
train_epoch: 1032, loss: 0.0126, recall20: 0.0000 recall10: 0.0000 [116.2886]
train_epoch: 1033, loss: 0.0125, recall20: 0.0000 recall10: 0.0000 [116.4017]
train_epoch: 1034, loss: 0.0125, recall20: 0.0000 recall10: 0.0000 [116.5149]
train_epoch: 1035, loss: 0.0125, recall20: 0.0000 recall10: 0.0000 [116.6279]
train_epoch: 1036, loss: 0.0124, recall20: 0.0000 recall10: 0.0000 [116.7416]
