{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'mul', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.5366]
train_epoch: 1002, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.5782]
train_epoch: 1003, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.6149]
train_epoch: 1004, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.6501]
train_epoch: 1005, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.6871]
train_epoch: 1006, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.7227]
train_epoch: 1007, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.7583]
train_epoch: 1008, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.7957]
train_epoch: 1009, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.8314]
train_epoch: 1010, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.8673]
train_epoch: 1011, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.9031]
train_epoch: 1012, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.9384]
train_epoch: 1013, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [35.9740]
train_epoch: 1014, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.0099]
train_epoch: 1015, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.0453]
train_epoch: 1016, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.0811]
train_epoch: 1017, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.1187]
train_epoch: 1018, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.1551]
train_epoch: 1019, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.1920]
train_epoch: 1020, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.2282]
train_epoch: 1021, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.2643]
train_epoch: 1022, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.3007]
train_epoch: 1023, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.3365]
train_epoch: 1024, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.3725]
train_epoch: 1025, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.4097]
train_epoch: 1026, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.4475]
train_epoch: 1027, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.4831]
train_epoch: 1028, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.5186]
train_epoch: 1029, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.5541]
train_epoch: 1030, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.5900]
train_epoch: 1031, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.6259]
train_epoch: 1032, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.6614]
train_epoch: 1033, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.6969]
train_epoch: 1034, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.7324]
train_epoch: 1035, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.7682]
train_epoch: 1036, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.8035]
train_epoch: 1037, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.8391]
train_epoch: 1038, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.8746]
train_epoch: 1039, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.9100]
train_epoch: 1040, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.9456]
train_epoch: 1041, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [36.9812]
train_epoch: 1042, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.0177]
train_epoch: 1043, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.0553]
train_epoch: 1044, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.0921]
train_epoch: 1045, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.1294]
train_epoch: 1046, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.1647]
train_epoch: 1047, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.2003]
train_epoch: 1048, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.2362]
train_epoch: 1049, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.2716]
train_epoch: 1050, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.3070]
train_epoch: 1051, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.3425]
train_epoch: 1052, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.3780]
train_epoch: 1053, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.4135]
train_epoch: 1054, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.4492]
train_epoch: 1055, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.4848]
train_epoch: 1056, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.5204]
train_epoch: 1057, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.5561]
train_epoch: 1058, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.5917]
train_epoch: 1059, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.6271]
train_epoch: 1060, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.6627]
train_epoch: 1061, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.6991]
train_epoch: 1062, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.7352]
train_epoch: 1063, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.7706]
train_epoch: 1064, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.8058]
train_epoch: 1065, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.8431]
train_epoch: 1066, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.8786]
train_epoch: 1067, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.9139]
train_epoch: 1068, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.9513]
train_epoch: 1069, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [37.9867]
train_epoch: 1070, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [38.0222]
train_epoch: 1071, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [38.0582]
train_epoch: 1072, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [38.0937]
train_epoch: 1073, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [38.1294]
train_epoch: 1074, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [38.1649]
train_epoch: 1075, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [38.2037]
train_epoch: 1076, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [38.2393]
train_epoch: 1077, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [38.2749]
train_epoch: 1078, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [38.3104]
train_epoch: 1079, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [38.3465]
train_epoch: 1080, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [38.3819]
train_epoch: 1081, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [38.4193]
train_epoch: 1082, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [38.4550]
train_epoch: 1083, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [38.4924]
train_epoch: 1084, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [38.5291]
train_epoch: 1085, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [38.5642]
train_epoch: 1086, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [38.6015]
train_epoch: 1087, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [38.6368]
train_epoch: 1088, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [38.6782]
