{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'plus', 'pred': 'i'}
train_epoch: 1001, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [28.9883]
train_epoch: 1002, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [29.0068]
train_epoch: 1003, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [29.0193]
train_epoch: 1004, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [29.0310]
train_epoch: 1005, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [29.0451]
train_epoch: 1006, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [29.0578]
train_epoch: 1007, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [29.0705]
train_epoch: 1008, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [29.0830]
train_epoch: 1009, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [29.0975]
train_epoch: 1010, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [29.1105]
train_epoch: 1011, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [29.1219]
train_epoch: 1012, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [29.1335]
train_epoch: 1013, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [29.1462]
train_epoch: 1014, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [29.1606]
train_epoch: 1015, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [29.1731]
train_epoch: 1016, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [29.1850]
train_epoch: 1017, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [29.1965]
train_epoch: 1018, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [29.2084]
train_epoch: 1019, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [29.2207]
train_epoch: 1020, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [29.2325]
train_epoch: 1021, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [29.2439]
train_epoch: 1022, loss: 0.3588, recall20: 0.0000 recall10: 0.0000 [29.2561]
train_epoch: 1023, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [29.2708]
train_epoch: 1024, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [29.2837]
train_epoch: 1025, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [29.2988]
train_epoch: 1026, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [29.3126]
train_epoch: 1027, loss: 0.3587, recall20: 0.0000 recall10: 0.0000 [29.3262]
