{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'plus', 'pred': 'i'}
train_epoch: 1001, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [100.8574]
train_epoch: 1002, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [100.9704]
train_epoch: 1003, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [101.0811]
train_epoch: 1004, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [101.1904]
train_epoch: 1005, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [101.3002]
train_epoch: 1006, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [101.4101]
train_epoch: 1007, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [101.5195]
train_epoch: 1008, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [101.6294]
train_epoch: 1009, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [101.7389]
train_epoch: 1010, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [101.8488]
train_epoch: 1011, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [101.9586]
train_epoch: 1012, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [102.0685]
train_epoch: 1013, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [102.1788]
train_epoch: 1014, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [102.2884]
train_epoch: 1015, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [102.3979]
train_epoch: 1016, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [102.5073]
train_epoch: 1017, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [102.6171]
train_epoch: 1018, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [102.7271]
train_epoch: 1019, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [102.8360]
train_epoch: 1020, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [102.9454]
train_epoch: 1021, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [103.0546]
train_epoch: 1022, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [103.1646]
train_epoch: 1023, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [103.2738]
train_epoch: 1024, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [103.3837]
train_epoch: 1025, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [103.4926]
train_epoch: 1026, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [103.6017]
train_epoch: 1027, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [103.7111]
train_epoch: 1028, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [103.8202]
train_epoch: 1029, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [103.9302]
train_epoch: 1030, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [104.0403]
train_epoch: 1031, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [104.1496]
train_epoch: 1032, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [104.2598]
train_epoch: 1033, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [104.3691]
train_epoch: 1034, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [104.4793]
train_epoch: 1035, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [104.5892]
train_epoch: 1036, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [104.6987]
train_epoch: 1037, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [104.8084]
train_epoch: 1038, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [104.9179]
train_epoch: 1039, loss: 0.3700, recall20: 0.0000 recall10: 0.0000 [105.0272]
train_epoch: 1040, loss: 0.3700, recall20: 0.0000 recall10: 0.0000 [105.1362]
train_epoch: 1041, loss: 0.3700, recall20: 0.0000 recall10: 0.0000 [105.2454]
train_epoch: 1042, loss: 0.3700, recall20: 0.0000 recall10: 0.0000 [105.3551]
train_epoch: 1043, loss: 0.3700, recall20: 0.0000 recall10: 0.0000 [105.4654]
train_epoch: 1044, loss: 0.3700, recall20: 0.0000 recall10: 0.0000 [105.5751]
train_epoch: 1045, loss: 0.3700, recall20: 0.0000 recall10: 0.0000 [105.6842]
train_epoch: 1046, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [105.7935]
train_epoch: 1047, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [105.9027]
train_epoch: 1048, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [106.0121]
train_epoch: 1049, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [106.1211]
train_epoch: 1050, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [106.2312]
train_epoch: 1051, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [106.3402]
train_epoch: 1052, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [106.4490]
train_epoch: 1053, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [106.5588]
train_epoch: 1054, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [106.6683]
train_epoch: 1055, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [106.7787]
train_epoch: 1056, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [106.8890]
train_epoch: 1057, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [106.9984]
train_epoch: 1058, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [107.1085]
train_epoch: 1059, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [107.2188]
train_epoch: 1060, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [107.3279]
train_epoch: 1061, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [107.4370]
train_epoch: 1062, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [107.5462]
train_epoch: 1063, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [107.6551]
train_epoch: 1064, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [107.7662]
train_epoch: 1065, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [107.8761]
train_epoch: 1066, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [107.9859]
train_epoch: 1067, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [108.0949]
train_epoch: 1068, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [108.2040]
train_epoch: 1069, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [108.3132]
train_epoch: 1070, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [108.4230]
train_epoch: 1071, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [108.5330]
train_epoch: 1072, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [108.6424]
train_epoch: 1073, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [108.7528]
train_epoch: 1074, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [108.8624]
train_epoch: 1075, loss: 0.3695, recall20: 0.0000 recall10: 0.0000 [108.9714]
train_epoch: 1076, loss: 0.3695, recall20: 0.0000 recall10: 0.0000 [109.0808]
train_epoch: 1077, loss: 0.3695, recall20: 0.0000 recall10: 0.0000 [109.1898]
train_epoch: 1078, loss: 0.3695, recall20: 0.0000 recall10: 0.0000 [109.2997]
train_epoch: 1079, loss: 0.3695, recall20: 0.0000 recall10: 0.0000 [109.4092]
train_epoch: 1080, loss: 0.3695, recall20: 0.0000 recall10: 0.0000 [109.5189]
