{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'plus', 'pred': 'i'}
train_epoch: 1001, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.4836]
train_epoch: 1002, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.4956]
train_epoch: 1003, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.5063]
train_epoch: 1004, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.5158]
train_epoch: 1005, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.5263]
train_epoch: 1006, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.5369]
train_epoch: 1007, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.5464]
train_epoch: 1008, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.5569]
train_epoch: 1009, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.5673]
train_epoch: 1010, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.5780]
train_epoch: 1011, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.5889]
train_epoch: 1012, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.5996]
train_epoch: 1013, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.6106]
train_epoch: 1014, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.6203]
train_epoch: 1015, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.6309]
train_epoch: 1016, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.6417]
train_epoch: 1017, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.6520]
train_epoch: 1018, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.6628]
train_epoch: 1019, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.6731]
train_epoch: 1020, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.6842]
train_epoch: 1021, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.6946]
train_epoch: 1022, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.7050]
train_epoch: 1023, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.7153]
train_epoch: 1024, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.7254]
train_epoch: 1025, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.7370]
train_epoch: 1026, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.7481]
train_epoch: 1027, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.7598]
train_epoch: 1028, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.7703]
train_epoch: 1029, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.7821]
train_epoch: 1030, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.7929]
train_epoch: 1031, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.8038]
train_epoch: 1032, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.8145]
train_epoch: 1033, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.8246]
train_epoch: 1034, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.8354]
train_epoch: 1035, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.8460]
train_epoch: 1036, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.8567]
train_epoch: 1037, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.8675]
train_epoch: 1038, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.8782]
train_epoch: 1039, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.8893]
train_epoch: 1040, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.8996]
train_epoch: 1041, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.9105]
train_epoch: 1042, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.9210]
train_epoch: 1043, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.9318]
train_epoch: 1044, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.9425]
train_epoch: 1045, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.9561]
train_epoch: 1046, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.9693]
train_epoch: 1047, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.9807]
train_epoch: 1048, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [36.9924]
train_epoch: 1049, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [37.0033]
train_epoch: 1050, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [37.0151]
train_epoch: 1051, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [37.0258]
train_epoch: 1052, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [37.0367]
train_epoch: 1053, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [37.0476]
train_epoch: 1054, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [37.0590]
train_epoch: 1055, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [37.0706]
train_epoch: 1056, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [37.0819]
train_epoch: 1057, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [37.0926]
train_epoch: 1058, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [37.1031]
train_epoch: 1059, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [37.1136]
train_epoch: 1060, loss: 0.3577, recall20: 0.0000 recall10: 0.0000 [37.1238]
