{'cf': 'rr', 'emb': {'u': 'mat', 'i': 'mlp'}, 'ifc': 'plus', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.4205, recall20: 0.0000 recall10: 0.0000 [50.8050]
train_epoch: 1002, loss: 0.4205, recall20: 0.0000 recall10: 0.0000 [50.8200]
train_epoch: 1003, loss: 0.4204, recall20: 0.0000 recall10: 0.0000 [50.8322]
train_epoch: 1004, loss: 0.4204, recall20: 0.0000 recall10: 0.0000 [50.8438]
train_epoch: 1005, loss: 0.4203, recall20: 0.0000 recall10: 0.0000 [50.8551]
train_epoch: 1006, loss: 0.4203, recall20: 0.0000 recall10: 0.0000 [50.8667]
train_epoch: 1007, loss: 0.4203, recall20: 0.0000 recall10: 0.0000 [50.8776]
train_epoch: 1008, loss: 0.4202, recall20: 0.0000 recall10: 0.0000 [50.8881]
train_epoch: 1009, loss: 0.4202, recall20: 0.0000 recall10: 0.0000 [50.8987]
train_epoch: 1010, loss: 0.4201, recall20: 0.0000 recall10: 0.0000 [50.9092]
train_epoch: 1011, loss: 0.4201, recall20: 0.0000 recall10: 0.0000 [50.9224]
train_epoch: 1012, loss: 0.4201, recall20: 0.0000 recall10: 0.0000 [50.9354]
train_epoch: 1013, loss: 0.4200, recall20: 0.0000 recall10: 0.0000 [50.9476]
train_epoch: 1014, loss: 0.4200, recall20: 0.0000 recall10: 0.0000 [50.9583]
train_epoch: 1015, loss: 0.4199, recall20: 0.0000 recall10: 0.0000 [50.9691]
train_epoch: 1016, loss: 0.4199, recall20: 0.0000 recall10: 0.0000 [50.9798]
train_epoch: 1017, loss: 0.4198, recall20: 0.0000 recall10: 0.0000 [50.9909]
train_epoch: 1018, loss: 0.4198, recall20: 0.0000 recall10: 0.0000 [51.0042]
train_epoch: 1019, loss: 0.4198, recall20: 0.0000 recall10: 0.0000 [51.0175]
train_epoch: 1020, loss: 0.4197, recall20: 0.0000 recall10: 0.0000 [51.0296]
train_epoch: 1021, loss: 0.4197, recall20: 0.0000 recall10: 0.0000 [51.0417]
train_epoch: 1022, loss: 0.4196, recall20: 0.0000 recall10: 0.0000 [51.0538]
train_epoch: 1023, loss: 0.4196, recall20: 0.0000 recall10: 0.0000 [51.0652]
train_epoch: 1024, loss: 0.4196, recall20: 0.0000 recall10: 0.0000 [51.0768]
train_epoch: 1025, loss: 0.4195, recall20: 0.0000 recall10: 0.0000 [51.0877]
train_epoch: 1026, loss: 0.4195, recall20: 0.0000 recall10: 0.0000 [51.0990]
train_epoch: 1027, loss: 0.4194, recall20: 0.0000 recall10: 0.0000 [51.1106]
train_epoch: 1028, loss: 0.4194, recall20: 0.0000 recall10: 0.0000 [51.1215]
train_epoch: 1029, loss: 0.4194, recall20: 0.0000 recall10: 0.0000 [51.1324]
train_epoch: 1030, loss: 0.4193, recall20: 0.0000 recall10: 0.0000 [51.1428]
train_epoch: 1031, loss: 0.4193, recall20: 0.0000 recall10: 0.0000 [51.1539]
train_epoch: 1032, loss: 0.4192, recall20: 0.0000 recall10: 0.0000 [51.1645]
train_epoch: 1033, loss: 0.4192, recall20: 0.0000 recall10: 0.0000 [51.1758]
train_epoch: 1034, loss: 0.4192, recall20: 0.0000 recall10: 0.0000 [51.1869]
train_epoch: 1035, loss: 0.4191, recall20: 0.0000 recall10: 0.0000 [51.1986]
train_epoch: 1036, loss: 0.4191, recall20: 0.0000 recall10: 0.0000 [51.2101]
train_epoch: 1037, loss: 0.4190, recall20: 0.0000 recall10: 0.0000 [51.2224]
train_epoch: 1038, loss: 0.4190, recall20: 0.0000 recall10: 0.0000 [51.2347]
train_epoch: 1039, loss: 0.4190, recall20: 0.0000 recall10: 0.0000 [51.2471]
train_epoch: 1040, loss: 0.4189, recall20: 0.0000 recall10: 0.0000 [51.2594]
train_epoch: 1041, loss: 0.4189, recall20: 0.0000 recall10: 0.0000 [51.2712]
train_epoch: 1042, loss: 0.4188, recall20: 0.0000 recall10: 0.0000 [51.2831]
train_epoch: 1043, loss: 0.4188, recall20: 0.0000 recall10: 0.0000 [51.2939]
train_epoch: 1044, loss: 0.4187, recall20: 0.0000 recall10: 0.0000 [51.3045]
train_epoch: 1045, loss: 0.4187, recall20: 0.0000 recall10: 0.0000 [51.3153]
train_epoch: 1046, loss: 0.4187, recall20: 0.0000 recall10: 0.0000 [51.3267]
train_epoch: 1047, loss: 0.4186, recall20: 0.0000 recall10: 0.0000 [51.3381]
train_epoch: 1048, loss: 0.4186, recall20: 0.0000 recall10: 0.0000 [51.3494]
train_epoch: 1049, loss: 0.4185, recall20: 0.0000 recall10: 0.0000 [51.3611]
train_epoch: 1050, loss: 0.4185, recall20: 0.0000 recall10: 0.0000 [51.3721]
train_epoch: 1051, loss: 0.4185, recall20: 0.0000 recall10: 0.0000 [51.3835]
train_epoch: 1052, loss: 0.4184, recall20: 0.0000 recall10: 0.0000 [51.3948]
train_epoch: 1053, loss: 0.4184, recall20: 0.0000 recall10: 0.0000 [51.4065]
train_epoch: 1054, loss: 0.4183, recall20: 0.0000 recall10: 0.0000 [51.4182]
train_epoch: 1055, loss: 0.4183, recall20: 0.0000 recall10: 0.0000 [51.4300]
train_epoch: 1056, loss: 0.4183, recall20: 0.0000 recall10: 0.0000 [51.4420]
train_epoch: 1057, loss: 0.4182, recall20: 0.0000 recall10: 0.0000 [51.4545]
train_epoch: 1058, loss: 0.4182, recall20: 0.0000 recall10: 0.0000 [51.4685]
train_epoch: 1059, loss: 0.4181, recall20: 0.0000 recall10: 0.0000 [51.4797]
