{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.4123, recall20: 0.0000 recall10: 0.0000 [11.5114]
train_epoch: 1002, loss: 0.4122, recall20: 0.0000 recall10: 0.0000 [11.5760]
train_epoch: 1003, loss: 0.4122, recall20: 0.0000 recall10: 0.0000 [11.6303]
train_epoch: 1004, loss: 0.4122, recall20: 0.0000 recall10: 0.0000 [11.6706]
train_epoch: 1005, loss: 0.4121, recall20: 0.0000 recall10: 0.0000 [11.7304]
train_epoch: 1006, loss: 0.4121, recall20: 0.0000 recall10: 0.0000 [11.7875]
train_epoch: 1007, loss: 0.4121, recall20: 0.0000 recall10: 0.0000 [11.8417]
train_epoch: 1008, loss: 0.4120, recall20: 0.0000 recall10: 0.0000 [11.8871]
train_epoch: 1009, loss: 0.4120, recall20: 0.0000 recall10: 0.0000 [11.9395]
train_epoch: 1010, loss: 0.4119, recall20: 0.0000 recall10: 0.0000 [11.9960]
train_epoch: 1011, loss: 0.4119, recall20: 0.0000 recall10: 0.0000 [12.0488]
train_epoch: 1012, loss: 0.4119, recall20: 0.0000 recall10: 0.0000 [12.0919]
train_epoch: 1013, loss: 0.4118, recall20: 0.0000 recall10: 0.0000 [12.1471]
train_epoch: 1014, loss: 0.4118, recall20: 0.0000 recall10: 0.0000 [12.1985]
train_epoch: 1015, loss: 0.4118, recall20: 0.0000 recall10: 0.0000 [12.2525]
train_epoch: 1016, loss: 0.4117, recall20: 0.0000 recall10: 0.0000 [12.3049]
train_epoch: 1017, loss: 0.4117, recall20: 0.0000 recall10: 0.0000 [12.3585]
train_epoch: 1018, loss: 0.4117, recall20: 0.0000 recall10: 0.0000 [12.4145]
train_epoch: 1019, loss: 0.4116, recall20: 0.0000 recall10: 0.0000 [12.4596]
train_epoch: 1020, loss: 0.4116, recall20: 0.0000 recall10: 0.0000 [12.5148]
train_epoch: 1021, loss: 0.4116, recall20: 0.0000 recall10: 0.0000 [12.5701]
train_epoch: 1022, loss: 0.4115, recall20: 0.0000 recall10: 0.0000 [12.6234]
train_epoch: 1023, loss: 0.4115, recall20: 0.0000 recall10: 0.0000 [12.6747]
train_epoch: 1024, loss: 0.4115, recall20: 0.0000 recall10: 0.0000 [12.7289]
train_epoch: 1025, loss: 0.4114, recall20: 0.0000 recall10: 0.0000 [12.7826]
train_epoch: 1026, loss: 0.4114, recall20: 0.0000 recall10: 0.0000 [12.8107]
train_epoch: 1027, loss: 0.4114, recall20: 0.0000 recall10: 0.0000 [12.8766]
train_epoch: 1028, loss: 0.4113, recall20: 0.0000 recall10: 0.0000 [12.9291]
train_epoch: 1029, loss: 0.4113, recall20: 0.0000 recall10: 0.0000 [12.9827]
train_epoch: 1030, loss: 0.4113, recall20: 0.0000 recall10: 0.0000 [13.0376]
train_epoch: 1031, loss: 0.4112, recall20: 0.0000 recall10: 0.0000 [13.0876]
train_epoch: 1032, loss: 0.4112, recall20: 0.0000 recall10: 0.0000 [13.1412]
train_epoch: 1033, loss: 0.4112, recall20: 0.0000 recall10: 0.0000 [13.1961]
train_epoch: 1034, loss: 0.4111, recall20: 0.0000 recall10: 0.0000 [13.2519]
train_epoch: 1035, loss: 0.4111, recall20: 0.0000 recall10: 0.0000 [13.3063]
