{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.4300, recall20: 0.0000 recall10: 0.0000 [38.4402]
train_epoch: 1002, loss: 0.4299, recall20: 0.0000 recall10: 0.0000 [38.4590]
train_epoch: 1003, loss: 0.4299, recall20: 0.0000 recall10: 0.0000 [38.4753]
train_epoch: 1004, loss: 0.4299, recall20: 0.0000 recall10: 0.0000 [38.4940]
train_epoch: 1005, loss: 0.4298, recall20: 0.0000 recall10: 0.0000 [38.5079]
train_epoch: 1006, loss: 0.4298, recall20: 0.0000 recall10: 0.0000 [38.5218]
train_epoch: 1007, loss: 0.4298, recall20: 0.0000 recall10: 0.0000 [38.5339]
train_epoch: 1008, loss: 0.4297, recall20: 0.0000 recall10: 0.0000 [38.5467]
train_epoch: 1009, loss: 0.4297, recall20: 0.0000 recall10: 0.0000 [38.5593]
train_epoch: 1010, loss: 0.4297, recall20: 0.0000 recall10: 0.0000 [38.5723]
train_epoch: 1011, loss: 0.4297, recall20: 0.0000 recall10: 0.0000 [38.5855]
train_epoch: 1012, loss: 0.4296, recall20: 0.0000 recall10: 0.0000 [38.5980]
train_epoch: 1013, loss: 0.4296, recall20: 0.0000 recall10: 0.0000 [38.6106]
train_epoch: 1014, loss: 0.4296, recall20: 0.0000 recall10: 0.0000 [38.6231]
train_epoch: 1015, loss: 0.4295, recall20: 0.0000 recall10: 0.0000 [38.6385]
train_epoch: 1016, loss: 0.4295, recall20: 0.0000 recall10: 0.0000 [38.6515]
train_epoch: 1017, loss: 0.4295, recall20: 0.0000 recall10: 0.0000 [38.6665]
train_epoch: 1018, loss: 0.4294, recall20: 0.0000 recall10: 0.0000 [38.6794]
train_epoch: 1019, loss: 0.4294, recall20: 0.0000 recall10: 0.0000 [38.6915]
train_epoch: 1020, loss: 0.4294, recall20: 0.0000 recall10: 0.0000 [38.7044]
train_epoch: 1021, loss: 0.4294, recall20: 0.0000 recall10: 0.0000 [38.7170]
train_epoch: 1022, loss: 0.4293, recall20: 0.0000 recall10: 0.0000 [38.7288]
train_epoch: 1023, loss: 0.4293, recall20: 0.0000 recall10: 0.0000 [38.7412]
train_epoch: 1024, loss: 0.4293, recall20: 0.0000 recall10: 0.0000 [38.7536]
train_epoch: 1025, loss: 0.4292, recall20: 0.0000 recall10: 0.0000 [38.7659]
train_epoch: 1026, loss: 0.4292, recall20: 0.0000 recall10: 0.0000 [38.7804]
train_epoch: 1027, loss: 0.4292, recall20: 0.0000 recall10: 0.0000 [38.7944]
train_epoch: 1028, loss: 0.4291, recall20: 0.0000 recall10: 0.0000 [38.8068]
train_epoch: 1029, loss: 0.4291, recall20: 0.0000 recall10: 0.0000 [38.8205]
train_epoch: 1030, loss: 0.4291, recall20: 0.0000 recall10: 0.0000 [38.8342]
train_epoch: 1031, loss: 0.4291, recall20: 0.0000 recall10: 0.0000 [38.8474]
train_epoch: 1032, loss: 0.4290, recall20: 0.0000 recall10: 0.0000 [38.8623]
train_epoch: 1033, loss: 0.4290, recall20: 0.0000 recall10: 0.0000 [38.8762]
train_epoch: 1034, loss: 0.4290, recall20: 0.0000 recall10: 0.0000 [38.8891]
train_epoch: 1035, loss: 0.4289, recall20: 0.0000 recall10: 0.0000 [38.9073]
train_epoch: 1036, loss: 0.4289, recall20: 0.0000 recall10: 0.0000 [38.9257]
train_epoch: 1037, loss: 0.4289, recall20: 0.0000 recall10: 0.0000 [38.9490]
train_epoch: 1038, loss: 0.4288, recall20: 0.0000 recall10: 0.0000 [38.9758]
train_epoch: 1039, loss: 0.4288, recall20: 0.0000 recall10: 0.0000 [38.9976]
train_epoch: 1040, loss: 0.4288, recall20: 0.0000 recall10: 0.0000 [39.0162]
train_epoch: 1041, loss: 0.4288, recall20: 0.0000 recall10: 0.0000 [39.0355]
train_epoch: 1042, loss: 0.4287, recall20: 0.0000 recall10: 0.0000 [39.0522]
train_epoch: 1043, loss: 0.4287, recall20: 0.0000 recall10: 0.0000 [39.0684]
train_epoch: 1044, loss: 0.4287, recall20: 0.0000 recall10: 0.0000 [39.0855]
train_epoch: 1045, loss: 0.4286, recall20: 0.0000 recall10: 0.0000 [39.1025]
train_epoch: 1046, loss: 0.4286, recall20: 0.0000 recall10: 0.0000 [39.1182]
train_epoch: 1047, loss: 0.4286, recall20: 0.0000 recall10: 0.0000 [39.1344]
train_epoch: 1048, loss: 0.4285, recall20: 0.0000 recall10: 0.0000 [39.1510]
train_epoch: 1049, loss: 0.4285, recall20: 0.0000 recall10: 0.0000 [39.1689]
train_epoch: 1050, loss: 0.4285, recall20: 0.0000 recall10: 0.0000 [39.1832]
train_epoch: 1051, loss: 0.4285, recall20: 0.0000 recall10: 0.0000 [39.1987]
train_epoch: 1052, loss: 0.4284, recall20: 0.0000 recall10: 0.0000 [39.2128]
train_epoch: 1053, loss: 0.4284, recall20: 0.0000 recall10: 0.0000 [39.2273]
train_epoch: 1054, loss: 0.4284, recall20: 0.0000 recall10: 0.0000 [39.2447]
train_epoch: 1055, loss: 0.4283, recall20: 0.0000 recall10: 0.0000 [39.2617]
train_epoch: 1056, loss: 0.4283, recall20: 0.0000 recall10: 0.0000 [39.2802]
train_epoch: 1057, loss: 0.4283, recall20: 0.0000 recall10: 0.0000 [39.3107]
train_epoch: 1058, loss: 0.4282, recall20: 0.0000 recall10: 0.0000 [39.3261]
train_epoch: 1059, loss: 0.4282, recall20: 0.0000 recall10: 0.0000 [39.3411]
train_epoch: 1060, loss: 0.4282, recall20: 0.0000 recall10: 0.0000 [39.3569]
train_epoch: 1061, loss: 0.4282, recall20: 0.0000 recall10: 0.0000 [39.3743]
train_epoch: 1062, loss: 0.4281, recall20: 0.0000 recall10: 0.0000 [39.3894]
train_epoch: 1063, loss: 0.4281, recall20: 0.0000 recall10: 0.0000 [39.4071]
train_epoch: 1064, loss: 0.4281, recall20: 0.0000 recall10: 0.0000 [39.4228]
train_epoch: 1065, loss: 0.4280, recall20: 0.0000 recall10: 0.0000 [39.4410]
train_epoch: 1066, loss: 0.4280, recall20: 0.0000 recall10: 0.0000 [39.4577]
train_epoch: 1067, loss: 0.4280, recall20: 0.0000 recall10: 0.0000 [39.4749]
train_epoch: 1068, loss: 0.4280, recall20: 0.0000 recall10: 0.0000 [39.4909]
train_epoch: 1069, loss: 0.4279, recall20: 0.0000 recall10: 0.0000 [39.5070]
train_epoch: 1070, loss: 0.4279, recall20: 0.0000 recall10: 0.0000 [39.5274]
train_epoch: 1071, loss: 0.4279, recall20: 0.0000 recall10: 0.0000 [39.5436]
train_epoch: 1072, loss: 0.4278, recall20: 0.0000 recall10: 0.0000 [39.5607]
train_epoch: 1073, loss: 0.4278, recall20: 0.0000 recall10: 0.0000 [39.5753]
train_epoch: 1074, loss: 0.4278, recall20: 0.0000 recall10: 0.0000 [39.5898]
train_epoch: 1075, loss: 0.4277, recall20: 0.0000 recall10: 0.0000 [39.6039]
train_epoch: 1076, loss: 0.4277, recall20: 0.0000 recall10: 0.0000 [39.6187]
train_epoch: 1077, loss: 0.4277, recall20: 0.0000 recall10: 0.0000 [39.6343]
train_epoch: 1078, loss: 0.4277, recall20: 0.0000 recall10: 0.0000 [39.6482]
train_epoch: 1079, loss: 0.4276, recall20: 0.0000 recall10: 0.0000 [39.6652]
train_epoch: 1080, loss: 0.4276, recall20: 0.0000 recall10: 0.0000 [39.6811]
train_epoch: 1081, loss: 0.4276, recall20: 0.0000 recall10: 0.0000 [39.6968]
train_epoch: 1082, loss: 0.4275, recall20: 0.0000 recall10: 0.0000 [39.7148]
train_epoch: 1083, loss: 0.4275, recall20: 0.0000 recall10: 0.0000 [39.7335]
train_epoch: 1084, loss: 0.4275, recall20: 0.0000 recall10: 0.0000 [39.7489]
train_epoch: 1085, loss: 0.4275, recall20: 0.0000 recall10: 0.0000 [39.7689]
train_epoch: 1086, loss: 0.4274, recall20: 0.0000 recall10: 0.0000 [39.7845]
train_epoch: 1087, loss: 0.4274, recall20: 0.0000 recall10: 0.0000 [39.8035]
train_epoch: 1088, loss: 0.4274, recall20: 0.0000 recall10: 0.0000 [39.8211]
train_epoch: 1089, loss: 0.4273, recall20: 0.0000 recall10: 0.0000 [39.8355]
train_epoch: 1090, loss: 0.4273, recall20: 0.0000 recall10: 0.0000 [39.8497]
train_epoch: 1091, loss: 0.4273, recall20: 0.0000 recall10: 0.0000 [39.8675]
train_epoch: 1092, loss: 0.4273, recall20: 0.0000 recall10: 0.0000 [39.8847]
train_epoch: 1093, loss: 0.4272, recall20: 0.0000 recall10: 0.0000 [39.9027]
train_epoch: 1094, loss: 0.4272, recall20: 0.0000 recall10: 0.0000 [39.9202]
train_epoch: 1095, loss: 0.4272, recall20: 0.0000 recall10: 0.0000 [39.9372]
