{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'i'}
train_epoch: 1001, loss: 0.3766, recall20: 0.0000 recall10: 0.0000 [31.8928]
train_epoch: 1002, loss: 0.3765, recall20: 0.0000 recall10: 0.0000 [31.9062]
train_epoch: 1003, loss: 0.3765, recall20: 0.0000 recall10: 0.0000 [31.9159]
train_epoch: 1004, loss: 0.3765, recall20: 0.0000 recall10: 0.0000 [31.9249]
train_epoch: 1005, loss: 0.3765, recall20: 0.0000 recall10: 0.0000 [31.9340]
train_epoch: 1006, loss: 0.3765, recall20: 0.0000 recall10: 0.0000 [31.9443]
train_epoch: 1007, loss: 0.3765, recall20: 0.0000 recall10: 0.0000 [31.9542]
train_epoch: 1008, loss: 0.3765, recall20: 0.0000 recall10: 0.0000 [31.9637]
train_epoch: 1009, loss: 0.3764, recall20: 0.0000 recall10: 0.0000 [31.9728]
train_epoch: 1010, loss: 0.3764, recall20: 0.0000 recall10: 0.0000 [31.9825]
train_epoch: 1011, loss: 0.3764, recall20: 0.0000 recall10: 0.0000 [31.9934]
train_epoch: 1012, loss: 0.3764, recall20: 0.0000 recall10: 0.0000 [32.0041]
train_epoch: 1013, loss: 0.3764, recall20: 0.0000 recall10: 0.0000 [32.0133]
train_epoch: 1014, loss: 0.3764, recall20: 0.0000 recall10: 0.0000 [32.0226]
train_epoch: 1015, loss: 0.3764, recall20: 0.0000 recall10: 0.0000 [32.0319]
train_epoch: 1016, loss: 0.3763, recall20: 0.0000 recall10: 0.0000 [32.0419]
train_epoch: 1017, loss: 0.3763, recall20: 0.0000 recall10: 0.0000 [32.0518]
train_epoch: 1018, loss: 0.3763, recall20: 0.0000 recall10: 0.0000 [32.0625]
train_epoch: 1019, loss: 0.3763, recall20: 0.0000 recall10: 0.0000 [32.0720]
train_epoch: 1020, loss: 0.3763, recall20: 0.0000 recall10: 0.0000 [32.0819]
train_epoch: 1021, loss: 0.3763, recall20: 0.0000 recall10: 0.0000 [32.0915]
train_epoch: 1022, loss: 0.3763, recall20: 0.0000 recall10: 0.0000 [32.1011]
train_epoch: 1023, loss: 0.3763, recall20: 0.0000 recall10: 0.0000 [32.1109]
train_epoch: 1024, loss: 0.3762, recall20: 0.0000 recall10: 0.0000 [32.1218]
train_epoch: 1025, loss: 0.3762, recall20: 0.0000 recall10: 0.0000 [32.1326]
train_epoch: 1026, loss: 0.3762, recall20: 0.0000 recall10: 0.0000 [32.1422]
train_epoch: 1027, loss: 0.3762, recall20: 0.0000 recall10: 0.0000 [32.1519]
train_epoch: 1028, loss: 0.3762, recall20: 0.0000 recall10: 0.0000 [32.1631]
train_epoch: 1029, loss: 0.3762, recall20: 0.0000 recall10: 0.0000 [32.1729]
train_epoch: 1030, loss: 0.3762, recall20: 0.0000 recall10: 0.0000 [32.1826]
train_epoch: 1031, loss: 0.3762, recall20: 0.0000 recall10: 0.0000 [32.1923]
train_epoch: 1032, loss: 0.3761, recall20: 0.0000 recall10: 0.0000 [32.2022]
train_epoch: 1033, loss: 0.3761, recall20: 0.0000 recall10: 0.0000 [32.2125]
train_epoch: 1034, loss: 0.3761, recall20: 0.0000 recall10: 0.0000 [32.2231]
train_epoch: 1035, loss: 0.3761, recall20: 0.0000 recall10: 0.0000 [32.2330]
train_epoch: 1036, loss: 0.3761, recall20: 0.0000 recall10: 0.0000 [32.2427]
train_epoch: 1037, loss: 0.3761, recall20: 0.0000 recall10: 0.0000 [32.2523]
train_epoch: 1038, loss: 0.3761, recall20: 0.0000 recall10: 0.0000 [32.2623]
train_epoch: 1039, loss: 0.3760, recall20: 0.0000 recall10: 0.0000 [32.2721]
train_epoch: 1040, loss: 0.3760, recall20: 0.0000 recall10: 0.0000 [32.2820]
train_epoch: 1041, loss: 0.3760, recall20: 0.0000 recall10: 0.0000 [32.2926]
train_epoch: 1042, loss: 0.3760, recall20: 0.0000 recall10: 0.0000 [32.3027]
train_epoch: 1043, loss: 0.3760, recall20: 0.0000 recall10: 0.0000 [32.3124]
train_epoch: 1044, loss: 0.3760, recall20: 0.0000 recall10: 0.0000 [32.3223]
train_epoch: 1045, loss: 0.3760, recall20: 0.0000 recall10: 0.0000 [32.3320]
train_epoch: 1046, loss: 0.3760, recall20: 0.0000 recall10: 0.0000 [32.3423]
train_epoch: 1047, loss: 0.3760, recall20: 0.0000 recall10: 0.0000 [32.3523]
train_epoch: 1048, loss: 0.3759, recall20: 0.0000 recall10: 0.0000 [32.3620]
train_epoch: 1049, loss: 0.3759, recall20: 0.0000 recall10: 0.0000 [32.3720]
train_epoch: 1050, loss: 0.3759, recall20: 0.0000 recall10: 0.0000 [32.3824]
train_epoch: 1051, loss: 0.3759, recall20: 0.0000 recall10: 0.0000 [32.3928]
train_epoch: 1052, loss: 0.3759, recall20: 0.0000 recall10: 0.0000 [32.4021]
train_epoch: 1053, loss: 0.3759, recall20: 0.0000 recall10: 0.0000 [32.4144]
train_epoch: 1054, loss: 0.3759, recall20: 0.0000 recall10: 0.0000 [32.4252]
train_epoch: 1055, loss: 0.3759, recall20: 0.0000 recall10: 0.0000 [32.4362]
train_epoch: 1056, loss: 0.3758, recall20: 0.0000 recall10: 0.0000 [32.4475]
train_epoch: 1057, loss: 0.3758, recall20: 0.0000 recall10: 0.0000 [32.4583]
train_epoch: 1058, loss: 0.3758, recall20: 0.0000 recall10: 0.0000 [32.4689]
train_epoch: 1059, loss: 0.3758, recall20: 0.0000 recall10: 0.0000 [32.4806]
train_epoch: 1060, loss: 0.3758, recall20: 0.0000 recall10: 0.0000 [32.4916]
train_epoch: 1061, loss: 0.3758, recall20: 0.0000 recall10: 0.0000 [32.5026]
train_epoch: 1062, loss: 0.3758, recall20: 0.0000 recall10: 0.0000 [32.5138]
train_epoch: 1063, loss: 0.3758, recall20: 0.0000 recall10: 0.0000 [32.5246]
train_epoch: 1064, loss: 0.3757, recall20: 0.0000 recall10: 0.0000 [32.5353]
train_epoch: 1065, loss: 0.3757, recall20: 0.0000 recall10: 0.0000 [32.5455]
train_epoch: 1066, loss: 0.3757, recall20: 0.0000 recall10: 0.0000 [32.5559]
train_epoch: 1067, loss: 0.3757, recall20: 0.0000 recall10: 0.0000 [32.5661]
train_epoch: 1068, loss: 0.3757, recall20: 0.0000 recall10: 0.0000 [32.5756]
train_epoch: 1069, loss: 0.3757, recall20: 0.0000 recall10: 0.0000 [32.5868]
train_epoch: 1070, loss: 0.3757, recall20: 0.0000 recall10: 0.0000 [32.5981]
train_epoch: 1071, loss: 0.3757, recall20: 0.0000 recall10: 0.0000 [32.6094]
train_epoch: 1072, loss: 0.3757, recall20: 0.0000 recall10: 0.0000 [32.6206]
train_epoch: 1073, loss: 0.3756, recall20: 0.0000 recall10: 0.0000 [32.6308]
