{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.4245, recall20: 0.0000 recall10: 0.0000 [52.7016]
train_epoch: 1002, loss: 0.4245, recall20: 0.0000 recall10: 0.0000 [52.7204]
train_epoch: 1003, loss: 0.4244, recall20: 0.0000 recall10: 0.0000 [52.7367]
train_epoch: 1004, loss: 0.4244, recall20: 0.0000 recall10: 0.0000 [52.7519]
train_epoch: 1005, loss: 0.4243, recall20: 0.0000 recall10: 0.0000 [52.7653]
train_epoch: 1006, loss: 0.4243, recall20: 0.0000 recall10: 0.0000 [52.7802]
train_epoch: 1007, loss: 0.4243, recall20: 0.0000 recall10: 0.0000 [52.7953]
train_epoch: 1008, loss: 0.4242, recall20: 0.0000 recall10: 0.0000 [52.8112]
train_epoch: 1009, loss: 0.4242, recall20: 0.0000 recall10: 0.0000 [52.8253]
train_epoch: 1010, loss: 0.4242, recall20: 0.0000 recall10: 0.0000 [52.8418]
train_epoch: 1011, loss: 0.4241, recall20: 0.0000 recall10: 0.0000 [52.8581]
train_epoch: 1012, loss: 0.4241, recall20: 0.0000 recall10: 0.0000 [52.8700]
train_epoch: 1013, loss: 0.4240, recall20: 0.0000 recall10: 0.0000 [52.8833]
train_epoch: 1014, loss: 0.4240, recall20: 0.0000 recall10: 0.0000 [52.8974]
train_epoch: 1015, loss: 0.4240, recall20: 0.0000 recall10: 0.0000 [52.9104]
train_epoch: 1016, loss: 0.4239, recall20: 0.0000 recall10: 0.0000 [52.9241]
train_epoch: 1017, loss: 0.4239, recall20: 0.0000 recall10: 0.0000 [52.9373]
train_epoch: 1018, loss: 0.4238, recall20: 0.0000 recall10: 0.0000 [52.9524]
train_epoch: 1019, loss: 0.4238, recall20: 0.0000 recall10: 0.0000 [52.9664]
train_epoch: 1020, loss: 0.4238, recall20: 0.0000 recall10: 0.0000 [52.9791]
train_epoch: 1021, loss: 0.4237, recall20: 0.0000 recall10: 0.0000 [52.9917]
train_epoch: 1022, loss: 0.4237, recall20: 0.0000 recall10: 0.0000 [53.0082]
train_epoch: 1023, loss: 0.4236, recall20: 0.0000 recall10: 0.0000 [53.0205]
train_epoch: 1024, loss: 0.4236, recall20: 0.0000 recall10: 0.0000 [53.0373]
train_epoch: 1025, loss: 0.4236, recall20: 0.0000 recall10: 0.0000 [53.0522]
train_epoch: 1026, loss: 0.4235, recall20: 0.0000 recall10: 0.0000 [53.0666]
train_epoch: 1027, loss: 0.4235, recall20: 0.0000 recall10: 0.0000 [53.0815]
train_epoch: 1028, loss: 0.4235, recall20: 0.0000 recall10: 0.0000 [53.0981]
train_epoch: 1029, loss: 0.4234, recall20: 0.0000 recall10: 0.0000 [53.1124]
train_epoch: 1030, loss: 0.4234, recall20: 0.0000 recall10: 0.0000 [53.1280]
train_epoch: 1031, loss: 0.4233, recall20: 0.0000 recall10: 0.0000 [53.1449]
train_epoch: 1032, loss: 0.4233, recall20: 0.0000 recall10: 0.0000 [53.1592]
train_epoch: 1033, loss: 0.4233, recall20: 0.0000 recall10: 0.0000 [53.1738]
train_epoch: 1034, loss: 0.4232, recall20: 0.0000 recall10: 0.0000 [53.1890]
train_epoch: 1035, loss: 0.4232, recall20: 0.0000 recall10: 0.0000 [53.2082]
train_epoch: 1036, loss: 0.4232, recall20: 0.0000 recall10: 0.0000 [53.2242]
train_epoch: 1037, loss: 0.4231, recall20: 0.0000 recall10: 0.0000 [53.2391]
train_epoch: 1038, loss: 0.4231, recall20: 0.0000 recall10: 0.0000 [53.2549]
train_epoch: 1039, loss: 0.4230, recall20: 0.0000 recall10: 0.0000 [53.2713]
train_epoch: 1040, loss: 0.4230, recall20: 0.0000 recall10: 0.0000 [53.2908]
train_epoch: 1041, loss: 0.4230, recall20: 0.0000 recall10: 0.0000 [53.3048]
train_epoch: 1042, loss: 0.4229, recall20: 0.0000 recall10: 0.0000 [53.3207]
train_epoch: 1043, loss: 0.4229, recall20: 0.0000 recall10: 0.0000 [53.3371]
train_epoch: 1044, loss: 0.4229, recall20: 0.0000 recall10: 0.0000 [53.3526]
