{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'concat', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.3725, recall20: 0.0000 recall10: 0.0000 [23.7831]
train_epoch: 1002, loss: 0.3724, recall20: 0.0000 recall10: 0.0000 [23.8124]
train_epoch: 1003, loss: 0.3724, recall20: 0.0000 recall10: 0.0000 [23.8398]
train_epoch: 1004, loss: 0.3724, recall20: 0.0000 recall10: 0.0000 [23.8640]
train_epoch: 1005, loss: 0.3723, recall20: 0.0000 recall10: 0.0000 [23.8892]
train_epoch: 1006, loss: 0.3723, recall20: 0.0000 recall10: 0.0000 [23.9143]
train_epoch: 1007, loss: 0.3722, recall20: 0.0000 recall10: 0.0000 [23.9395]
train_epoch: 1008, loss: 0.3722, recall20: 0.0000 recall10: 0.0000 [23.9675]
train_epoch: 1009, loss: 0.3722, recall20: 0.0000 recall10: 0.0000 [23.9943]
train_epoch: 1010, loss: 0.3721, recall20: 0.0000 recall10: 0.0000 [24.0197]
train_epoch: 1011, loss: 0.3721, recall20: 0.0000 recall10: 0.0000 [24.0437]
train_epoch: 1012, loss: 0.3721, recall20: 0.0000 recall10: 0.0000 [24.0668]
train_epoch: 1013, loss: 0.3720, recall20: 0.0000 recall10: 0.0000 [24.0922]
train_epoch: 1014, loss: 0.3720, recall20: 0.0000 recall10: 0.0000 [24.1189]
train_epoch: 1015, loss: 0.3720, recall20: 0.0000 recall10: 0.0000 [24.1431]
train_epoch: 1016, loss: 0.3719, recall20: 0.0000 recall10: 0.0000 [24.1668]
train_epoch: 1017, loss: 0.3719, recall20: 0.0000 recall10: 0.0000 [24.1906]
train_epoch: 1018, loss: 0.3718, recall20: 0.0000 recall10: 0.0000 [24.2172]
train_epoch: 1019, loss: 0.3718, recall20: 0.0000 recall10: 0.0000 [24.2422]
train_epoch: 1020, loss: 0.3718, recall20: 0.0000 recall10: 0.0000 [24.2669]
train_epoch: 1021, loss: 0.3717, recall20: 0.0000 recall10: 0.0000 [24.2958]
train_epoch: 1022, loss: 0.3717, recall20: 0.0000 recall10: 0.0000 [24.3221]
train_epoch: 1023, loss: 0.3717, recall20: 0.0000 recall10: 0.0000 [24.3475]
train_epoch: 1024, loss: 0.3716, recall20: 0.0000 recall10: 0.0000 [24.3724]
train_epoch: 1025, loss: 0.3716, recall20: 0.0000 recall10: 0.0000 [24.3979]
train_epoch: 1026, loss: 0.3716, recall20: 0.0000 recall10: 0.0000 [24.4229]
train_epoch: 1027, loss: 0.3715, recall20: 0.0000 recall10: 0.0000 [24.4480]
train_epoch: 1028, loss: 0.3715, recall20: 0.0000 recall10: 0.0000 [24.4733]
train_epoch: 1029, loss: 0.3714, recall20: 0.0000 recall10: 0.0000 [24.4975]
train_epoch: 1030, loss: 0.3714, recall20: 0.0000 recall10: 0.0000 [24.5224]
train_epoch: 1031, loss: 0.3714, recall20: 0.0000 recall10: 0.0000 [24.5480]
train_epoch: 1032, loss: 0.3713, recall20: 0.0000 recall10: 0.0000 [24.5723]
train_epoch: 1033, loss: 0.3713, recall20: 0.0000 recall10: 0.0000 [24.5967]
train_epoch: 1034, loss: 0.3713, recall20: 0.0000 recall10: 0.0000 [24.6219]
train_epoch: 1035, loss: 0.3712, recall20: 0.0000 recall10: 0.0000 [24.6466]
train_epoch: 1036, loss: 0.3712, recall20: 0.0000 recall10: 0.0000 [24.6715]
train_epoch: 1037, loss: 0.3712, recall20: 0.0000 recall10: 0.0000 [24.6972]
train_epoch: 1038, loss: 0.3711, recall20: 0.0000 recall10: 0.0000 [24.7262]
train_epoch: 1039, loss: 0.3711, recall20: 0.0000 recall10: 0.0000 [24.7503]
train_epoch: 1040, loss: 0.3711, recall20: 0.0000 recall10: 0.0000 [24.7749]
train_epoch: 1041, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [24.7993]
train_epoch: 1042, loss: 0.3710, recall20: 0.0000 recall10: 0.0000 [24.8236]
train_epoch: 1043, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [24.8469]
train_epoch: 1044, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [24.8700]
train_epoch: 1045, loss: 0.3709, recall20: 0.0000 recall10: 0.0000 [24.8935]
train_epoch: 1046, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [24.9172]
train_epoch: 1047, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [24.9409]
train_epoch: 1048, loss: 0.3708, recall20: 0.0000 recall10: 0.0000 [24.9644]
train_epoch: 1049, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [24.9880]
train_epoch: 1050, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [25.0120]
train_epoch: 1051, loss: 0.3707, recall20: 0.0000 recall10: 0.0000 [25.0367]
train_epoch: 1052, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [25.0621]
train_epoch: 1053, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [25.0869]
train_epoch: 1054, loss: 0.3706, recall20: 0.0000 recall10: 0.0000 [25.1112]
train_epoch: 1055, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [25.1369]
train_epoch: 1056, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [25.1633]
train_epoch: 1057, loss: 0.3705, recall20: 0.0000 recall10: 0.0000 [25.1918]
train_epoch: 1058, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [25.2202]
train_epoch: 1059, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [25.2450]
train_epoch: 1060, loss: 0.3704, recall20: 0.0000 recall10: 0.0000 [25.2721]
train_epoch: 1061, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [25.2959]
train_epoch: 1062, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [25.3213]
train_epoch: 1063, loss: 0.3703, recall20: 0.0000 recall10: 0.0000 [25.3469]
train_epoch: 1064, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [25.3707]
train_epoch: 1065, loss: 0.3702, recall20: 0.0000 recall10: 0.0000 [25.3947]
train_epoch: 1066, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [25.4188]
train_epoch: 1067, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [25.4428]
train_epoch: 1068, loss: 0.3701, recall20: 0.0000 recall10: 0.0000 [25.4668]
train_epoch: 1069, loss: 0.3700, recall20: 0.0000 recall10: 0.0000 [25.4903]
train_epoch: 1070, loss: 0.3700, recall20: 0.0000 recall10: 0.0000 [25.5139]
train_epoch: 1071, loss: 0.3700, recall20: 0.0000 recall10: 0.0000 [25.5377]
train_epoch: 1072, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [25.5636]
train_epoch: 1073, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [25.5879]
train_epoch: 1074, loss: 0.3699, recall20: 0.0000 recall10: 0.0000 [25.6173]
train_epoch: 1075, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [25.6427]
train_epoch: 1076, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [25.6666]
train_epoch: 1077, loss: 0.3698, recall20: 0.0000 recall10: 0.0000 [25.6929]
train_epoch: 1078, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [25.7204]
train_epoch: 1079, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [25.7451]
train_epoch: 1080, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [25.7721]
train_epoch: 1081, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [25.7960]
train_epoch: 1082, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [25.8207]
train_epoch: 1083, loss: 0.3696, recall20: 0.0000 recall10: 0.0000 [25.8454]
train_epoch: 1084, loss: 0.3695, recall20: 0.0000 recall10: 0.0000 [25.8703]
train_epoch: 1085, loss: 0.3695, recall20: 0.0000 recall10: 0.0000 [25.8950]
train_epoch: 1086, loss: 0.3695, recall20: 0.0000 recall10: 0.0000 [25.9186]
train_epoch: 1087, loss: 0.3694, recall20: 0.0000 recall10: 0.0000 [25.9421]
train_epoch: 1088, loss: 0.3694, recall20: 0.0000 recall10: 0.0000 [25.9656]
train_epoch: 1089, loss: 0.3694, recall20: 0.0000 recall10: 0.0000 [25.9907]
train_epoch: 1090, loss: 0.3693, recall20: 0.0000 recall10: 0.0000 [26.0156]
train_epoch: 1091, loss: 0.3693, recall20: 0.0000 recall10: 0.0000 [26.0398]
train_epoch: 1092, loss: 0.3693, recall20: 0.0000 recall10: 0.0000 [26.0628]
train_epoch: 1093, loss: 0.3692, recall20: 0.0000 recall10: 0.0000 [26.0878]
train_epoch: 1094, loss: 0.3692, recall20: 0.0000 recall10: 0.0000 [26.1161]
train_epoch: 1095, loss: 0.3692, recall20: 0.0000 recall10: 0.0000 [26.1427]
train_epoch: 1096, loss: 0.3691, recall20: 0.0000 recall10: 0.0000 [26.1696]
train_epoch: 1097, loss: 0.3691, recall20: 0.0000 recall10: 0.0000 [26.1960]
train_epoch: 1098, loss: 0.3691, recall20: 0.0000 recall10: 0.0000 [26.2207]
train_epoch: 1099, loss: 0.3690, recall20: 0.0000 recall10: 0.0000 [26.2439]
train_epoch: 1100, loss: 0.3690, recall20: 0.0000 recall10: 0.0000 [26.2668]
train_epoch: 1101, loss: 0.3690, recall20: 0.0000 recall10: 0.0000 [26.2901]
train_epoch: 1102, loss: 0.3689, recall20: 0.0000 recall10: 0.0000 [26.3131]
train_epoch: 1103, loss: 0.3689, recall20: 0.0000 recall10: 0.0000 [26.3360]
train_epoch: 1104, loss: 0.3689, recall20: 0.0000 recall10: 0.0000 [26.3586]
train_epoch: 1105, loss: 0.3688, recall20: 0.0000 recall10: 0.0000 [26.3812]
train_epoch: 1106, loss: 0.3688, recall20: 0.0000 recall10: 0.0000 [26.4036]
train_epoch: 1107, loss: 0.3688, recall20: 0.0000 recall10: 0.0000 [26.4260]
train_epoch: 1108, loss: 0.3687, recall20: 0.0000 recall10: 0.0000 [26.4484]
train_epoch: 1109, loss: 0.3687, recall20: 0.0000 recall10: 0.0000 [26.4709]
train_epoch: 1110, loss: 0.3687, recall20: 0.0000 recall10: 0.0000 [26.4936]
train_epoch: 1111, loss: 0.3686, recall20: 0.0000 recall10: 0.0000 [26.5161]
train_epoch: 1112, loss: 0.3686, recall20: 0.0000 recall10: 0.0000 [26.5388]
train_epoch: 1113, loss: 0.3686, recall20: 0.0000 recall10: 0.0000 [26.5616]
train_epoch: 1114, loss: 0.3685, recall20: 0.0000 recall10: 0.0000 [26.5850]
train_epoch: 1115, loss: 0.3685, recall20: 0.0000 recall10: 0.0000 [26.6090]
train_epoch: 1116, loss: 0.3685, recall20: 0.0000 recall10: 0.0000 [26.6332]
train_epoch: 1117, loss: 0.3684, recall20: 0.0000 recall10: 0.0000 [26.6571]
train_epoch: 1118, loss: 0.3684, recall20: 0.0000 recall10: 0.0000 [26.6817]
train_epoch: 1119, loss: 0.3684, recall20: 0.0000 recall10: 0.0000 [26.7064]
train_epoch: 1120, loss: 0.3683, recall20: 0.0000 recall10: 0.0000 [26.7318]
train_epoch: 1121, loss: 0.3683, recall20: 0.0000 recall10: 0.0000 [26.7580]
train_epoch: 1122, loss: 0.3683, recall20: 0.0000 recall10: 0.0000 [26.7830]
train_epoch: 1123, loss: 0.3683, recall20: 0.0000 recall10: 0.0000 [26.8106]
train_epoch: 1124, loss: 0.3682, recall20: 0.0000 recall10: 0.0000 [26.8373]
train_epoch: 1125, loss: 0.3682, recall20: 0.0000 recall10: 0.0000 [26.8622]
train_epoch: 1126, loss: 0.3682, recall20: 0.0000 recall10: 0.0000 [26.8886]
train_epoch: 1127, loss: 0.3681, recall20: 0.0000 recall10: 0.0000 [26.9132]
train_epoch: 1128, loss: 0.3681, recall20: 0.0000 recall10: 0.0000 [26.9397]
train_epoch: 1129, loss: 0.3681, recall20: 0.0000 recall10: 0.0000 [26.9652]
train_epoch: 1130, loss: 0.3680, recall20: 0.0000 recall10: 0.0000 [26.9915]
train_epoch: 1131, loss: 0.3680, recall20: 0.0000 recall10: 0.0000 [27.0173]
train_epoch: 1132, loss: 0.3680, recall20: 0.0000 recall10: 0.0000 [27.0418]
train_epoch: 1133, loss: 0.3679, recall20: 0.0000 recall10: 0.0000 [27.0672]
train_epoch: 1134, loss: 0.3679, recall20: 0.0000 recall10: 0.0000 [27.0917]
train_epoch: 1135, loss: 0.3679, recall20: 0.0000 recall10: 0.0000 [27.1165]
train_epoch: 1136, loss: 0.3678, recall20: 0.0000 recall10: 0.0000 [27.1421]
train_epoch: 1137, loss: 0.3678, recall20: 0.0000 recall10: 0.0000 [27.1664]
train_epoch: 1138, loss: 0.3678, recall20: 0.0000 recall10: 0.0000 [27.1901]
train_epoch: 1139, loss: 0.3677, recall20: 0.0000 recall10: 0.0000 [27.2140]
train_epoch: 1140, loss: 0.3677, recall20: 0.0000 recall10: 0.0000 [27.2378]
train_epoch: 1141, loss: 0.3677, recall20: 0.0000 recall10: 0.0000 [27.2620]
train_epoch: 1142, loss: 0.3676, recall20: 0.0000 recall10: 0.0000 [27.2866]
train_epoch: 1143, loss: 0.3676, recall20: 0.0000 recall10: 0.0000 [27.3102]
train_epoch: 1144, loss: 0.3676, recall20: 0.0000 recall10: 0.0000 [27.3335]
train_epoch: 1145, loss: 0.3675, recall20: 0.0000 recall10: 0.0000 [27.3579]
train_epoch: 1146, loss: 0.3675, recall20: 0.0000 recall10: 0.0000 [27.3826]
train_epoch: 1147, loss: 0.3675, recall20: 0.0000 recall10: 0.0000 [27.4071]
train_epoch: 1148, loss: 0.3675, recall20: 0.0000 recall10: 0.0000 [27.4314]
train_epoch: 1149, loss: 0.3674, recall20: 0.0000 recall10: 0.0000 [27.4562]
train_epoch: 1150, loss: 0.3674, recall20: 0.0000 recall10: 0.0000 [27.4811]
train_epoch: 1151, loss: 0.3674, recall20: 0.0000 recall10: 0.0000 [27.5079]
train_epoch: 1152, loss: 0.3673, recall20: 0.0000 recall10: 0.0000 [27.5329]
train_epoch: 1153, loss: 0.3673, recall20: 0.0000 recall10: 0.0000 [27.5581]
train_epoch: 1154, loss: 0.3673, recall20: 0.0000 recall10: 0.0000 [27.5831]
train_epoch: 1155, loss: 0.3672, recall20: 0.0000 recall10: 0.0000 [27.6068]
train_epoch: 1156, loss: 0.3672, recall20: 0.0000 recall10: 0.0000 [27.6315]
train_epoch: 1157, loss: 0.3672, recall20: 0.0000 recall10: 0.0000 [27.6560]
train_epoch: 1158, loss: 0.3671, recall20: 0.0000 recall10: 0.0000 [27.6806]
train_epoch: 1159, loss: 0.3671, recall20: 0.0000 recall10: 0.0000 [27.7071]
train_epoch: 1160, loss: 0.3671, recall20: 0.0000 recall10: 0.0000 [27.7346]
train_epoch: 1161, loss: 0.3670, recall20: 0.0000 recall10: 0.0000 [27.7613]
train_epoch: 1162, loss: 0.3670, recall20: 0.0000 recall10: 0.0000 [27.7878]
train_epoch: 1163, loss: 0.3670, recall20: 0.0000 recall10: 0.0000 [27.8124]
train_epoch: 1164, loss: 0.3670, recall20: 0.0000 recall10: 0.0000 [27.8419]
train_epoch: 1165, loss: 0.3669, recall20: 0.0000 recall10: 0.0000 [27.8672]
train_epoch: 1166, loss: 0.3669, recall20: 0.0000 recall10: 0.0000 [27.8929]
train_epoch: 1167, loss: 0.3669, recall20: 0.0000 recall10: 0.0000 [27.9179]
train_epoch: 1168, loss: 0.3668, recall20: 0.0000 recall10: 0.0000 [27.9421]
train_epoch: 1169, loss: 0.3668, recall20: 0.0000 recall10: 0.0000 [27.9669]
train_epoch: 1170, loss: 0.3668, recall20: 0.0000 recall10: 0.0000 [27.9961]
train_epoch: 1171, loss: 0.3667, recall20: 0.0000 recall10: 0.0000 [28.0231]
train_epoch: 1172, loss: 0.3667, recall20: 0.0000 recall10: 0.0000 [28.0499]
train_epoch: 1173, loss: 0.3667, recall20: 0.0000 recall10: 0.0000 [28.0761]
train_epoch: 1174, loss: 0.3666, recall20: 0.0000 recall10: 0.0000 [28.1009]
train_epoch: 1175, loss: 0.3666, recall20: 0.0000 recall10: 0.0000 [28.1270]
train_epoch: 1176, loss: 0.3666, recall20: 0.0000 recall10: 0.0000 [28.1519]
train_epoch: 1177, loss: 0.3666, recall20: 0.0000 recall10: 0.0000 [28.1765]
train_epoch: 1178, loss: 0.3665, recall20: 0.0000 recall10: 0.0000 [28.2013]
train_epoch: 1179, loss: 0.3665, recall20: 0.0000 recall10: 0.0000 [28.2261]
train_epoch: 1180, loss: 0.3665, recall20: 0.0000 recall10: 0.0000 [28.2516]
train_epoch: 1181, loss: 0.3664, recall20: 0.0000 recall10: 0.0000 [28.2761]
train_epoch: 1182, loss: 0.3664, recall20: 0.0000 recall10: 0.0000 [28.3021]
train_epoch: 1183, loss: 0.3664, recall20: 0.0000 recall10: 0.0000 [28.3291]
train_epoch: 1184, loss: 0.3663, recall20: 0.0000 recall10: 0.0000 [28.3549]
train_epoch: 1185, loss: 0.3663, recall20: 0.0000 recall10: 0.0000 [28.3816]
train_epoch: 1186, loss: 0.3663, recall20: 0.0000 recall10: 0.0000 [28.4080]
train_epoch: 1187, loss: 0.3662, recall20: 0.0000 recall10: 0.0000 [28.4353]
train_epoch: 1188, loss: 0.3662, recall20: 0.0000 recall10: 0.0000 [28.4616]
train_epoch: 1189, loss: 0.3662, recall20: 0.0000 recall10: 0.0000 [28.4879]
train_epoch: 1190, loss: 0.3662, recall20: 0.0000 recall10: 0.0000 [28.5112]
train_epoch: 1191, loss: 0.3661, recall20: 0.0000 recall10: 0.0000 [28.5357]
train_epoch: 1192, loss: 0.3661, recall20: 0.0000 recall10: 0.0000 [28.5632]
train_epoch: 1193, loss: 0.3661, recall20: 0.0000 recall10: 0.0000 [28.5885]
train_epoch: 1194, loss: 0.3660, recall20: 0.0000 recall10: 0.0000 [28.6147]
train_epoch: 1195, loss: 0.3660, recall20: 0.0000 recall10: 0.0000 [28.6415]
train_epoch: 1196, loss: 0.3660, recall20: 0.0000 recall10: 0.0000 [28.6668]
train_epoch: 1197, loss: 0.3659, recall20: 0.0000 recall10: 0.0000 [28.6906]
train_epoch: 1198, loss: 0.3659, recall20: 0.0000 recall10: 0.0000 [28.7146]
train_epoch: 1199, loss: 0.3659, recall20: 0.0000 recall10: 0.0000 [28.7383]
train_epoch: 1200, loss: 0.3659, recall20: 0.0000 recall10: 0.0000 [28.7616]
train_epoch: 1201, loss: 0.3658, recall20: 0.0000 recall10: 0.0000 [28.7860]
train_epoch: 1202, loss: 0.3658, recall20: 0.0000 recall10: 0.0000 [28.8106]
train_epoch: 1203, loss: 0.3658, recall20: 0.0000 recall10: 0.0000 [28.8349]
train_epoch: 1204, loss: 0.3657, recall20: 0.0000 recall10: 0.0000 [28.8597]
train_epoch: 1205, loss: 0.3657, recall20: 0.0000 recall10: 0.0000 [28.8857]
train_epoch: 1206, loss: 0.3657, recall20: 0.0000 recall10: 0.0000 [28.9119]
train_epoch: 1207, loss: 0.3656, recall20: 0.0000 recall10: 0.0000 [28.9366]
