{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'max', 'pred': 'h'}
train_epoch: 1001, loss: 0.5399, recall20: 0.0000 recall10: 0.0000 [9.1448]
train_epoch: 1002, loss: 0.5398, recall20: 0.0000 recall10: 0.0000 [9.1603]
train_epoch: 1003, loss: 0.5398, recall20: 0.0000 recall10: 0.0000 [9.1721]
train_epoch: 1004, loss: 0.5397, recall20: 0.0000 recall10: 0.0000 [9.1825]
train_epoch: 1005, loss: 0.5397, recall20: 0.0000 recall10: 0.0000 [9.1933]
train_epoch: 1006, loss: 0.5396, recall20: 0.0000 recall10: 0.0000 [9.2040]
train_epoch: 1007, loss: 0.5396, recall20: 0.0000 recall10: 0.0000 [9.2145]
train_epoch: 1008, loss: 0.5395, recall20: 0.0000 recall10: 0.0000 [9.2289]
train_epoch: 1009, loss: 0.5395, recall20: 0.0000 recall10: 0.0000 [9.2400]
train_epoch: 1010, loss: 0.5394, recall20: 0.0000 recall10: 0.0000 [9.2510]
train_epoch: 1011, loss: 0.5394, recall20: 0.0000 recall10: 0.0000 [9.2620]
train_epoch: 1012, loss: 0.5393, recall20: 0.0000 recall10: 0.0000 [9.2729]
train_epoch: 1013, loss: 0.5393, recall20: 0.0000 recall10: 0.0000 [9.2834]
train_epoch: 1014, loss: 0.5392, recall20: 0.0000 recall10: 0.0000 [9.2941]
train_epoch: 1015, loss: 0.5392, recall20: 0.0000 recall10: 0.0000 [9.3050]
train_epoch: 1016, loss: 0.5392, recall20: 0.0000 recall10: 0.0000 [9.3159]
train_epoch: 1017, loss: 0.5391, recall20: 0.0000 recall10: 0.0000 [9.3264]
train_epoch: 1018, loss: 0.5391, recall20: 0.0000 recall10: 0.0000 [9.3370]
train_epoch: 1019, loss: 0.5390, recall20: 0.0000 recall10: 0.0000 [9.3477]
train_epoch: 1020, loss: 0.5390, recall20: 0.0000 recall10: 0.0000 [9.3588]
train_epoch: 1021, loss: 0.5389, recall20: 0.0000 recall10: 0.0000 [9.3698]
train_epoch: 1022, loss: 0.5389, recall20: 0.0000 recall10: 0.0000 [9.3805]
train_epoch: 1023, loss: 0.5388, recall20: 0.0000 recall10: 0.0000 [9.3910]
train_epoch: 1024, loss: 0.5388, recall20: 0.0000 recall10: 0.0000 [9.4022]
train_epoch: 1025, loss: 0.5387, recall20: 0.0000 recall10: 0.0000 [9.4122]
train_epoch: 1026, loss: 0.5387, recall20: 0.0000 recall10: 0.0000 [9.4215]
train_epoch: 1027, loss: 0.5386, recall20: 0.0000 recall10: 0.0000 [9.4306]
train_epoch: 1028, loss: 0.5386, recall20: 0.0000 recall10: 0.0000 [9.4407]
train_epoch: 1029, loss: 0.5385, recall20: 0.0000 recall10: 0.0000 [9.4507]
train_epoch: 1030, loss: 0.5385, recall20: 0.0000 recall10: 0.0000 [9.4603]
train_epoch: 1031, loss: 0.5385, recall20: 0.0000 recall10: 0.0000 [9.4700]
train_epoch: 1032, loss: 0.5384, recall20: 0.0000 recall10: 0.0000 [9.4796]
train_epoch: 1033, loss: 0.5384, recall20: 0.0000 recall10: 0.0000 [9.4902]
train_epoch: 1034, loss: 0.5383, recall20: 0.0000 recall10: 0.0000 [9.5007]
train_epoch: 1035, loss: 0.5383, recall20: 0.0000 recall10: 0.0000 [9.5109]
train_epoch: 1036, loss: 0.5382, recall20: 0.0000 recall10: 0.0000 [9.5211]
train_epoch: 1037, loss: 0.5382, recall20: 0.0000 recall10: 0.0000 [9.5318]
train_epoch: 1038, loss: 0.5381, recall20: 0.0000 recall10: 0.0000 [9.5421]
train_epoch: 1039, loss: 0.5381, recall20: 0.0000 recall10: 0.0000 [9.5522]
train_epoch: 1040, loss: 0.5380, recall20: 0.0000 recall10: 0.0000 [9.5622]
train_epoch: 1041, loss: 0.5380, recall20: 0.0000 recall10: 0.0000 [9.5736]
train_epoch: 1042, loss: 0.5379, recall20: 0.0000 recall10: 0.0000 [9.5837]
train_epoch: 1043, loss: 0.5379, recall20: 0.0000 recall10: 0.0000 [9.5931]
train_epoch: 1044, loss: 0.5379, recall20: 0.0000 recall10: 0.0000 [9.6032]
train_epoch: 1045, loss: 0.5378, recall20: 0.0000 recall10: 0.0000 [9.6131]
train_epoch: 1046, loss: 0.5378, recall20: 0.0000 recall10: 0.0000 [9.6233]
train_epoch: 1047, loss: 0.5377, recall20: 0.0000 recall10: 0.0000 [9.6333]
train_epoch: 1048, loss: 0.5377, recall20: 0.0000 recall10: 0.0000 [9.6431]
train_epoch: 1049, loss: 0.5376, recall20: 0.0000 recall10: 0.0000 [9.6535]
train_epoch: 1050, loss: 0.5376, recall20: 0.0000 recall10: 0.0000 [9.6637]
train_epoch: 1051, loss: 0.5375, recall20: 0.0000 recall10: 0.0000 [9.6735]
train_epoch: 1052, loss: 0.5375, recall20: 0.0000 recall10: 0.0000 [9.6826]
train_epoch: 1053, loss: 0.5374, recall20: 0.0000 recall10: 0.0000 [9.6929]
train_epoch: 1054, loss: 0.5374, recall20: 0.0000 recall10: 0.0000 [9.7038]
