{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'max', 'pred': 'i'}
train_epoch: 1001, loss: 0.0088, recall20: 0.0000 recall10: 0.0000 [9.6090]
train_epoch: 1002, loss: 0.0088, recall20: 0.0000 recall10: 0.0000 [9.6216]
train_epoch: 1003, loss: 0.0088, recall20: 0.0000 recall10: 0.0000 [9.6326]
train_epoch: 1004, loss: 0.0088, recall20: 0.0000 recall10: 0.0000 [9.6432]
train_epoch: 1005, loss: 0.0088, recall20: 0.0000 recall10: 0.0000 [9.6539]
train_epoch: 1006, loss: 0.0088, recall20: 0.0000 recall10: 0.0000 [9.6652]
train_epoch: 1007, loss: 0.0087, recall20: 0.0000 recall10: 0.0000 [9.6768]
train_epoch: 1008, loss: 0.0087, recall20: 0.0000 recall10: 0.0000 [9.6887]
train_epoch: 1009, loss: 0.0087, recall20: 0.0000 recall10: 0.0000 [9.7010]
train_epoch: 1010, loss: 0.0087, recall20: 0.0000 recall10: 0.0000 [9.7133]
train_epoch: 1011, loss: 0.0087, recall20: 0.0000 recall10: 0.0000 [9.7256]
train_epoch: 1012, loss: 0.0087, recall20: 0.0000 recall10: 0.0000 [9.7374]
train_epoch: 1013, loss: 0.0087, recall20: 0.0000 recall10: 0.0000 [9.7494]
train_epoch: 1014, loss: 0.0087, recall20: 0.0000 recall10: 0.0000 [9.7629]
train_epoch: 1015, loss: 0.0086, recall20: 0.0000 recall10: 0.0000 [9.7747]
train_epoch: 1016, loss: 0.0086, recall20: 0.0000 recall10: 0.0000 [9.7866]
train_epoch: 1017, loss: 0.0086, recall20: 0.0000 recall10: 0.0000 [9.7981]
train_epoch: 1018, loss: 0.0086, recall20: 0.0000 recall10: 0.0000 [9.8095]
train_epoch: 1019, loss: 0.0086, recall20: 0.0000 recall10: 0.0000 [9.8202]
train_epoch: 1020, loss: 0.0086, recall20: 0.0000 recall10: 0.0000 [9.8306]
train_epoch: 1021, loss: 0.0085, recall20: 0.0000 recall10: 0.0000 [9.8416]
train_epoch: 1022, loss: 0.0085, recall20: 0.0000 recall10: 0.0000 [9.8528]
train_epoch: 1023, loss: 0.0085, recall20: 0.0000 recall10: 0.0000 [9.8647]
train_epoch: 1024, loss: 0.0085, recall20: 0.0000 recall10: 0.0000 [9.8765]
train_epoch: 1025, loss: 0.0085, recall20: 0.0000 recall10: 0.0000 [9.8880]
train_epoch: 1026, loss: 0.0085, recall20: 0.0000 recall10: 0.0000 [9.8995]
train_epoch: 1027, loss: 0.0084, recall20: 0.0000 recall10: 0.0000 [9.9116]
train_epoch: 1028, loss: 0.0084, recall20: 0.0000 recall10: 0.0000 [9.9239]
train_epoch: 1029, loss: 0.0084, recall20: 0.0000 recall10: 0.0000 [9.9362]
train_epoch: 1030, loss: 0.0084, recall20: 0.0000 recall10: 0.0000 [9.9486]
train_epoch: 1031, loss: 0.0084, recall20: 0.0000 recall10: 0.0000 [9.9616]
train_epoch: 1032, loss: 0.0084, recall20: 0.0000 recall10: 0.0000 [9.9739]
train_epoch: 1033, loss: 0.0084, recall20: 0.0000 recall10: 0.0000 [9.9860]
train_epoch: 1034, loss: 0.0083, recall20: 0.0000 recall10: 0.0000 [9.9971]
train_epoch: 1035, loss: 0.0083, recall20: 0.0000 recall10: 0.0000 [10.0082]
train_epoch: 1036, loss: 0.0083, recall20: 0.0000 recall10: 0.0000 [10.0224]
train_epoch: 1037, loss: 0.0083, recall20: 0.0000 recall10: 0.0000 [10.0352]
train_epoch: 1038, loss: 0.0083, recall20: 0.0000 recall10: 0.0000 [10.0500]
train_epoch: 1039, loss: 0.0083, recall20: 0.0000 recall10: 0.0000 [10.0611]
train_epoch: 1040, loss: 0.0083, recall20: 0.0000 recall10: 0.0000 [10.0716]
train_epoch: 1041, loss: 0.0082, recall20: 0.0000 recall10: 0.0000 [10.0819]
train_epoch: 1042, loss: 0.0082, recall20: 0.0000 recall10: 0.0000 [10.0927]
train_epoch: 1043, loss: 0.0082, recall20: 0.0000 recall10: 0.0000 [10.1037]
train_epoch: 1044, loss: 0.0082, recall20: 0.0000 recall10: 0.0000 [10.1143]
train_epoch: 1045, loss: 0.0082, recall20: 0.0000 recall10: 0.0000 [10.1247]
train_epoch: 1046, loss: 0.0082, recall20: 0.0000 recall10: 0.0000 [10.1352]
train_epoch: 1047, loss: 0.0082, recall20: 0.1917 recall10: 0.1060 [10.1840]
