{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'max', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.4158, recall20: 0.0000 recall10: 0.0000 [61.8046]
train_epoch: 1002, loss: 0.4158, recall20: 0.0000 recall10: 0.0000 [61.8353]
train_epoch: 1003, loss: 0.4157, recall20: 0.0000 recall10: 0.0000 [61.8473]
train_epoch: 1004, loss: 0.4157, recall20: 0.0000 recall10: 0.0000 [61.8584]
train_epoch: 1005, loss: 0.4156, recall20: 0.0000 recall10: 0.0000 [61.8693]
train_epoch: 1006, loss: 0.4156, recall20: 0.0000 recall10: 0.0000 [61.8806]
train_epoch: 1007, loss: 0.4155, recall20: 0.0000 recall10: 0.0000 [61.8920]
train_epoch: 1008, loss: 0.4155, recall20: 0.0000 recall10: 0.0000 [61.9028]
train_epoch: 1009, loss: 0.4154, recall20: 0.0000 recall10: 0.0000 [61.9138]
train_epoch: 1010, loss: 0.4154, recall20: 0.0000 recall10: 0.0000 [61.9258]
train_epoch: 1011, loss: 0.4153, recall20: 0.0000 recall10: 0.0000 [61.9379]
train_epoch: 1012, loss: 0.4153, recall20: 0.0000 recall10: 0.0000 [61.9501]
train_epoch: 1013, loss: 0.4152, recall20: 0.0000 recall10: 0.0000 [61.9628]
train_epoch: 1014, loss: 0.4152, recall20: 0.0000 recall10: 0.0000 [61.9738]
train_epoch: 1015, loss: 0.4151, recall20: 0.0000 recall10: 0.0000 [61.9844]
train_epoch: 1016, loss: 0.4151, recall20: 0.0000 recall10: 0.0000 [61.9953]
train_epoch: 1017, loss: 0.4150, recall20: 0.0000 recall10: 0.0000 [62.0065]
train_epoch: 1018, loss: 0.4150, recall20: 0.0000 recall10: 0.0000 [62.0173]
train_epoch: 1019, loss: 0.4149, recall20: 0.0000 recall10: 0.0000 [62.0277]
train_epoch: 1020, loss: 0.4149, recall20: 0.0000 recall10: 0.0000 [62.0384]
train_epoch: 1021, loss: 0.4148, recall20: 0.0000 recall10: 0.0000 [62.0493]
train_epoch: 1022, loss: 0.4148, recall20: 0.0000 recall10: 0.0000 [62.0598]
train_epoch: 1023, loss: 0.4147, recall20: 0.0000 recall10: 0.0000 [62.0702]
train_epoch: 1024, loss: 0.4147, recall20: 0.0000 recall10: 0.0000 [62.0811]
train_epoch: 1025, loss: 0.4146, recall20: 0.0000 recall10: 0.0000 [62.0917]
train_epoch: 1026, loss: 0.4146, recall20: 0.0000 recall10: 0.0000 [62.1025]
train_epoch: 1027, loss: 0.4145, recall20: 0.0000 recall10: 0.0000 [62.1134]
train_epoch: 1028, loss: 0.4145, recall20: 0.0000 recall10: 0.0000 [62.1278]
train_epoch: 1029, loss: 0.4144, recall20: 0.0000 recall10: 0.0000 [62.1403]
train_epoch: 1030, loss: 0.4144, recall20: 0.0000 recall10: 0.0000 [62.1515]
train_epoch: 1031, loss: 0.4143, recall20: 0.0000 recall10: 0.0000 [62.1636]
train_epoch: 1032, loss: 0.4143, recall20: 0.0000 recall10: 0.0000 [62.1749]
train_epoch: 1033, loss: 0.4142, recall20: 0.0000 recall10: 0.0000 [62.1870]
train_epoch: 1034, loss: 0.4142, recall20: 0.0000 recall10: 0.0000 [62.1986]
train_epoch: 1035, loss: 0.4141, recall20: 0.0000 recall10: 0.0000 [62.2104]
train_epoch: 1036, loss: 0.4141, recall20: 0.0000 recall10: 0.0000 [62.2223]
train_epoch: 1037, loss: 0.4140, recall20: 0.0000 recall10: 0.0000 [62.2333]
train_epoch: 1038, loss: 0.4140, recall20: 0.0000 recall10: 0.0000 [62.2438]
train_epoch: 1039, loss: 0.4139, recall20: 0.0000 recall10: 0.0000 [62.2555]
train_epoch: 1040, loss: 0.4139, recall20: 0.0000 recall10: 0.0000 [62.2676]
train_epoch: 1041, loss: 0.4138, recall20: 0.0000 recall10: 0.0000 [62.2789]
train_epoch: 1042, loss: 0.4138, recall20: 0.0000 recall10: 0.0000 [62.2935]
train_epoch: 1043, loss: 0.4137, recall20: 0.0000 recall10: 0.0000 [62.3048]
train_epoch: 1044, loss: 0.4137, recall20: 0.0000 recall10: 0.0000 [62.3168]
train_epoch: 1045, loss: 0.4136, recall20: 0.0000 recall10: 0.0000 [62.3307]
train_epoch: 1046, loss: 0.4136, recall20: 0.0000 recall10: 0.0000 [62.3430]
train_epoch: 1047, loss: 0.4135, recall20: 0.0000 recall10: 0.0000 [62.3553]
train_epoch: 1048, loss: 0.4135, recall20: 0.0000 recall10: 0.0000 [62.3667]
train_epoch: 1049, loss: 0.4134, recall20: 0.0000 recall10: 0.0000 [62.3793]
train_epoch: 1050, loss: 0.4134, recall20: 0.0000 recall10: 0.0000 [62.3912]
train_epoch: 1051, loss: 0.4134, recall20: 0.0000 recall10: 0.0000 [62.4028]
train_epoch: 1052, loss: 0.4133, recall20: 0.0000 recall10: 0.0000 [62.4162]
train_epoch: 1053, loss: 0.4132, recall20: 0.0000 recall10: 0.0000 [62.4301]
train_epoch: 1054, loss: 0.4132, recall20: 0.0000 recall10: 0.0000 [62.4419]
train_epoch: 1055, loss: 0.4132, recall20: 0.0000 recall10: 0.0000 [62.4543]
train_epoch: 1056, loss: 0.4131, recall20: 0.0000 recall10: 0.0000 [62.4660]
train_epoch: 1057, loss: 0.4131, recall20: 0.0000 recall10: 0.0000 [62.4787]
train_epoch: 1058, loss: 0.4130, recall20: 0.0000 recall10: 0.0000 [62.4918]
train_epoch: 1059, loss: 0.4130, recall20: 0.0000 recall10: 0.0000 [62.5029]
train_epoch: 1060, loss: 0.4129, recall20: 0.0000 recall10: 0.0000 [62.5139]
train_epoch: 1061, loss: 0.4129, recall20: 0.0000 recall10: 0.0000 [62.5255]
train_epoch: 1062, loss: 0.4128, recall20: 0.0000 recall10: 0.0000 [62.5381]
train_epoch: 1063, loss: 0.4128, recall20: 0.0000 recall10: 0.0000 [62.5510]
train_epoch: 1064, loss: 0.4127, recall20: 0.0000 recall10: 0.0000 [62.5671]
