{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'min', 'pred': 'h'}
train_epoch: 1001, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [77.3600]
train_epoch: 1002, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [77.4467]
train_epoch: 1003, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [77.5301]
train_epoch: 1004, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [77.6158]
train_epoch: 1005, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [77.6994]
train_epoch: 1006, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [77.7801]
train_epoch: 1007, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [77.8613]
train_epoch: 1008, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [77.9461]
train_epoch: 1009, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [78.0330]
train_epoch: 1010, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [78.1186]
train_epoch: 1011, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [78.2068]
train_epoch: 1012, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [78.2915]
train_epoch: 1013, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [78.3777]
train_epoch: 1014, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [78.4618]
train_epoch: 1015, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [78.5474]
train_epoch: 1016, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [78.6330]
train_epoch: 1017, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [78.7249]
train_epoch: 1018, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [78.8130]
train_epoch: 1019, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [78.9011]
train_epoch: 1020, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [78.9859]
train_epoch: 1021, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [79.0748]
train_epoch: 1022, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [79.1599]
train_epoch: 1023, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [79.2463]
train_epoch: 1024, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [79.3321]
train_epoch: 1025, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [79.4216]
train_epoch: 1026, loss: 0.0026, recall20: 0.0000 recall10: 0.0000 [79.5027]
train_epoch: 1027, loss: 0.0026, recall20: 0.0000 recall10: 0.0000 [79.5877]
train_epoch: 1028, loss: 0.0026, recall20: 0.0000 recall10: 0.0000 [79.6732]
train_epoch: 1029, loss: 0.0026, recall20: 0.0000 recall10: 0.0000 [79.7590]
train_epoch: 1030, loss: 0.0026, recall20: 0.0000 recall10: 0.0000 [79.8481]
train_epoch: 1031, loss: 0.0026, recall20: 0.0000 recall10: 0.0000 [79.9312]
train_epoch: 1032, loss: 0.0026, recall20: 0.0000 recall10: 0.0000 [80.0235]
train_epoch: 1033, loss: 0.0026, recall20: 0.0000 recall10: 0.0000 [80.1112]
train_epoch: 1034, loss: 0.0026, recall20: 0.0000 recall10: 0.0000 [80.1967]
train_epoch: 1035, loss: 0.0026, recall20: 0.0000 recall10: 0.0000 [80.2810]
