{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'min', 'pred': 'h'}
train_epoch: 1001, loss: 0.4413, recall20: 0.0000 recall10: 0.0000 [20.8913]
train_epoch: 1002, loss: 0.4413, recall20: 0.0000 recall10: 0.0000 [20.9255]
train_epoch: 1003, loss: 0.4412, recall20: 0.0000 recall10: 0.0000 [20.9513]
train_epoch: 1004, loss: 0.4412, recall20: 0.0000 recall10: 0.0000 [20.9771]
train_epoch: 1005, loss: 0.4411, recall20: 0.0000 recall10: 0.0000 [21.0041]
train_epoch: 1006, loss: 0.4411, recall20: 0.0000 recall10: 0.0000 [21.0309]
train_epoch: 1007, loss: 0.4410, recall20: 0.0000 recall10: 0.0000 [21.0600]
train_epoch: 1008, loss: 0.4410, recall20: 0.0000 recall10: 0.0000 [21.0867]
train_epoch: 1009, loss: 0.4410, recall20: 0.0000 recall10: 0.0000 [21.1120]
train_epoch: 1010, loss: 0.4409, recall20: 0.0000 recall10: 0.0000 [21.1369]
train_epoch: 1011, loss: 0.4409, recall20: 0.0000 recall10: 0.0000 [21.1614]
train_epoch: 1012, loss: 0.4408, recall20: 0.0000 recall10: 0.0000 [21.1869]
train_epoch: 1013, loss: 0.4408, recall20: 0.0000 recall10: 0.0000 [21.2125]
train_epoch: 1014, loss: 0.4407, recall20: 0.0000 recall10: 0.0000 [21.2377]
train_epoch: 1015, loss: 0.4407, recall20: 0.0000 recall10: 0.0000 [21.2630]
train_epoch: 1016, loss: 0.4406, recall20: 0.0000 recall10: 0.0000 [21.2882]
train_epoch: 1017, loss: 0.4406, recall20: 0.0000 recall10: 0.0000 [21.3152]
train_epoch: 1018, loss: 0.4406, recall20: 0.0000 recall10: 0.0000 [21.3414]
train_epoch: 1019, loss: 0.4405, recall20: 0.0000 recall10: 0.0000 [21.3673]
train_epoch: 1020, loss: 0.4405, recall20: 0.0000 recall10: 0.0000 [21.3922]
train_epoch: 1021, loss: 0.4404, recall20: 0.0000 recall10: 0.0000 [21.4194]
train_epoch: 1022, loss: 0.4404, recall20: 0.0000 recall10: 0.0000 [21.4456]
train_epoch: 1023, loss: 0.4403, recall20: 0.0000 recall10: 0.0000 [21.4721]
train_epoch: 1024, loss: 0.4403, recall20: 0.0000 recall10: 0.0000 [21.4992]
train_epoch: 1025, loss: 0.4402, recall20: 0.0000 recall10: 0.0000 [21.5253]
train_epoch: 1026, loss: 0.4402, recall20: 0.0000 recall10: 0.0000 [21.5514]
train_epoch: 1027, loss: 0.4402, recall20: 0.0000 recall10: 0.0000 [21.5779]
train_epoch: 1028, loss: 0.4401, recall20: 0.0000 recall10: 0.0000 [21.6029]
train_epoch: 1029, loss: 0.4401, recall20: 0.0000 recall10: 0.0000 [21.6288]
train_epoch: 1030, loss: 0.4400, recall20: 0.0000 recall10: 0.0000 [21.6541]
train_epoch: 1031, loss: 0.4400, recall20: 0.0000 recall10: 0.0000 [21.6789]
train_epoch: 1032, loss: 0.4399, recall20: 0.0000 recall10: 0.0000 [21.7042]
train_epoch: 1033, loss: 0.4399, recall20: 0.0000 recall10: 0.0000 [21.7314]
train_epoch: 1034, loss: 0.4399, recall20: 0.0000 recall10: 0.0000 [21.7602]
train_epoch: 1035, loss: 0.4398, recall20: 0.0000 recall10: 0.0000 [21.7857]
train_epoch: 1036, loss: 0.4398, recall20: 0.0000 recall10: 0.0000 [21.8124]
train_epoch: 1037, loss: 0.4397, recall20: 0.0000 recall10: 0.0000 [21.8380]
train_epoch: 1038, loss: 0.4397, recall20: 0.0000 recall10: 0.0000 [21.8645]
train_epoch: 1039, loss: 0.4396, recall20: 0.0000 recall10: 0.0000 [21.8903]
train_epoch: 1040, loss: 0.4396, recall20: 0.0000 recall10: 0.0000 [21.9140]
train_epoch: 1041, loss: 0.4396, recall20: 0.0000 recall10: 0.0000 [21.9372]
train_epoch: 1042, loss: 0.4395, recall20: 0.0000 recall10: 0.0000 [21.9628]
train_epoch: 1043, loss: 0.4395, recall20: 0.0000 recall10: 0.0000 [21.9870]
train_epoch: 1044, loss: 0.4394, recall20: 0.0000 recall10: 0.0000 [22.0124]
train_epoch: 1045, loss: 0.4394, recall20: 0.0000 recall10: 0.0000 [22.0375]
train_epoch: 1046, loss: 0.4394, recall20: 0.0000 recall10: 0.0000 [22.0642]
train_epoch: 1047, loss: 0.4393, recall20: 0.0000 recall10: 0.0000 [22.0914]
train_epoch: 1048, loss: 0.4393, recall20: 0.0000 recall10: 0.0000 [22.1176]
train_epoch: 1049, loss: 0.4392, recall20: 0.0000 recall10: 0.0000 [22.1430]
train_epoch: 1050, loss: 0.4392, recall20: 0.0000 recall10: 0.0000 [22.1688]
train_epoch: 1051, loss: 0.4391, recall20: 0.0000 recall10: 0.0000 [22.1943]
train_epoch: 1052, loss: 0.4391, recall20: 0.0000 recall10: 0.0000 [22.2213]
train_epoch: 1053, loss: 0.4391, recall20: 0.0000 recall10: 0.0000 [22.2485]
train_epoch: 1054, loss: 0.4390, recall20: 0.0000 recall10: 0.0000 [22.2744]
train_epoch: 1055, loss: 0.4390, recall20: 0.0000 recall10: 0.0000 [22.3004]
train_epoch: 1056, loss: 0.4389, recall20: 0.0000 recall10: 0.0000 [22.3270]
train_epoch: 1057, loss: 0.4389, recall20: 0.0000 recall10: 0.0000 [22.3544]
train_epoch: 1058, loss: 0.4389, recall20: 0.0000 recall10: 0.0000 [22.3815]
train_epoch: 1059, loss: 0.4388, recall20: 0.0000 recall10: 0.0000 [22.4063]
train_epoch: 1060, loss: 0.4388, recall20: 0.0000 recall10: 0.0000 [22.4313]
train_epoch: 1061, loss: 0.4387, recall20: 0.0000 recall10: 0.0000 [22.4570]
train_epoch: 1062, loss: 0.4387, recall20: 0.0000 recall10: 0.0000 [22.4820]
train_epoch: 1063, loss: 0.4387, recall20: 0.0000 recall10: 0.0000 [22.5053]
train_epoch: 1064, loss: 0.4386, recall20: 0.0000 recall10: 0.0000 [22.5281]
train_epoch: 1065, loss: 0.4386, recall20: 0.0000 recall10: 0.0000 [22.5521]
train_epoch: 1066, loss: 0.4385, recall20: 0.0000 recall10: 0.0000 [22.5772]
train_epoch: 1067, loss: 0.4385, recall20: 0.0000 recall10: 0.0000 [22.6021]
train_epoch: 1068, loss: 0.4385, recall20: 0.0000 recall10: 0.0000 [22.6269]
train_epoch: 1069, loss: 0.4384, recall20: 0.0000 recall10: 0.0000 [22.6518]
train_epoch: 1070, loss: 0.4384, recall20: 0.0000 recall10: 0.0000 [22.6767]
train_epoch: 1071, loss: 0.4383, recall20: 0.0000 recall10: 0.0000 [22.7029]
train_epoch: 1072, loss: 0.4383, recall20: 0.0000 recall10: 0.0000 [22.7314]
train_epoch: 1073, loss: 0.4382, recall20: 0.0000 recall10: 0.0000 [22.7557]
train_epoch: 1074, loss: 0.4382, recall20: 0.0000 recall10: 0.0000 [22.7810]
train_epoch: 1075, loss: 0.4382, recall20: 0.0000 recall10: 0.0000 [22.8063]
train_epoch: 1076, loss: 0.4381, recall20: 0.0000 recall10: 0.0000 [22.8424]
train_epoch: 1077, loss: 0.4381, recall20: 0.0000 recall10: 0.0000 [22.8664]
train_epoch: 1078, loss: 0.4381, recall20: 0.0000 recall10: 0.0000 [22.8914]
train_epoch: 1079, loss: 0.4380, recall20: 0.0000 recall10: 0.0000 [22.9158]
train_epoch: 1080, loss: 0.4380, recall20: 0.0000 recall10: 0.0000 [22.9399]
train_epoch: 1081, loss: 0.4379, recall20: 0.0000 recall10: 0.0000 [22.9658]
train_epoch: 1082, loss: 0.4379, recall20: 0.0000 recall10: 0.0000 [22.9904]
train_epoch: 1083, loss: 0.4379, recall20: 0.0000 recall10: 0.0000 [23.0177]
train_epoch: 1084, loss: 0.4378, recall20: 0.0000 recall10: 0.0000 [23.0433]
train_epoch: 1085, loss: 0.4378, recall20: 0.0000 recall10: 0.0000 [23.0689]
train_epoch: 1086, loss: 0.4377, recall20: 0.0000 recall10: 0.0000 [23.0960]
train_epoch: 1087, loss: 0.4377, recall20: 0.0000 recall10: 0.0000 [23.1217]
train_epoch: 1088, loss: 0.4377, recall20: 0.0000 recall10: 0.0000 [23.1461]
train_epoch: 1089, loss: 0.4376, recall20: 0.0000 recall10: 0.0000 [23.1704]
train_epoch: 1090, loss: 0.4376, recall20: 0.0000 recall10: 0.0000 [23.1950]
train_epoch: 1091, loss: 0.4375, recall20: 0.0000 recall10: 0.0000 [23.2236]
train_epoch: 1092, loss: 0.4375, recall20: 0.0000 recall10: 0.0000 [23.2501]
train_epoch: 1093, loss: 0.4375, recall20: 0.0000 recall10: 0.0000 [23.2759]
train_epoch: 1094, loss: 0.4374, recall20: 0.0000 recall10: 0.0000 [23.3035]
train_epoch: 1095, loss: 0.4374, recall20: 0.0000 recall10: 0.0000 [23.3324]
train_epoch: 1096, loss: 0.4373, recall20: 0.0000 recall10: 0.0000 [23.3599]
train_epoch: 1097, loss: 0.4373, recall20: 0.0000 recall10: 0.0000 [23.3856]
train_epoch: 1098, loss: 0.4373, recall20: 0.0000 recall10: 0.0000 [23.4116]
train_epoch: 1099, loss: 0.4372, recall20: 0.0000 recall10: 0.0000 [23.4382]
train_epoch: 1100, loss: 0.4372, recall20: 0.0000 recall10: 0.0000 [23.4655]
train_epoch: 1101, loss: 0.4372, recall20: 0.0000 recall10: 0.0000 [23.4922]
