{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'min', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.4110, recall20: 0.0000 recall10: 0.0000 [11.9627]
train_epoch: 1002, loss: 0.4109, recall20: 0.0000 recall10: 0.0000 [11.9783]
train_epoch: 1003, loss: 0.4109, recall20: 0.0000 recall10: 0.0000 [11.9917]
train_epoch: 1004, loss: 0.4108, recall20: 0.0000 recall10: 0.0000 [12.0047]
train_epoch: 1005, loss: 0.4108, recall20: 0.0000 recall10: 0.0000 [12.0187]
train_epoch: 1006, loss: 0.4108, recall20: 0.0000 recall10: 0.0000 [12.0321]
train_epoch: 1007, loss: 0.4107, recall20: 0.0000 recall10: 0.0000 [12.0456]
train_epoch: 1008, loss: 0.4107, recall20: 0.0000 recall10: 0.0000 [12.0595]
train_epoch: 1009, loss: 0.4106, recall20: 0.0000 recall10: 0.0000 [12.0739]
train_epoch: 1010, loss: 0.4106, recall20: 0.0000 recall10: 0.0000 [12.0876]
train_epoch: 1011, loss: 0.4106, recall20: 0.0000 recall10: 0.0000 [12.1016]
train_epoch: 1012, loss: 0.4105, recall20: 0.0000 recall10: 0.0000 [12.1158]
train_epoch: 1013, loss: 0.4105, recall20: 0.0000 recall10: 0.0000 [12.1286]
train_epoch: 1014, loss: 0.4104, recall20: 0.0000 recall10: 0.0000 [12.1445]
train_epoch: 1015, loss: 0.4104, recall20: 0.0000 recall10: 0.0000 [12.1596]
train_epoch: 1016, loss: 0.4103, recall20: 0.0000 recall10: 0.0000 [12.1716]
train_epoch: 1017, loss: 0.4103, recall20: 0.0000 recall10: 0.0000 [12.1842]
train_epoch: 1018, loss: 0.4103, recall20: 0.0000 recall10: 0.0000 [12.1980]
train_epoch: 1019, loss: 0.4102, recall20: 0.0000 recall10: 0.0000 [12.2125]
train_epoch: 1020, loss: 0.4102, recall20: 0.0000 recall10: 0.0000 [12.2262]
train_epoch: 1021, loss: 0.4101, recall20: 0.0000 recall10: 0.0000 [12.2400]
train_epoch: 1022, loss: 0.4101, recall20: 0.0000 recall10: 0.0000 [12.2556]
train_epoch: 1023, loss: 0.4100, recall20: 0.0000 recall10: 0.0000 [12.2701]
train_epoch: 1024, loss: 0.4100, recall20: 0.0000 recall10: 0.0000 [12.2848]
train_epoch: 1025, loss: 0.4100, recall20: 0.0000 recall10: 0.0000 [12.2988]
train_epoch: 1026, loss: 0.4099, recall20: 0.0000 recall10: 0.0000 [12.3128]
train_epoch: 1027, loss: 0.4099, recall20: 0.0000 recall10: 0.0000 [12.3276]
train_epoch: 1028, loss: 0.4098, recall20: 0.0000 recall10: 0.0000 [12.3452]
train_epoch: 1029, loss: 0.4098, recall20: 0.0000 recall10: 0.0000 [12.3586]
train_epoch: 1030, loss: 0.4098, recall20: 0.0000 recall10: 0.0000 [12.3714]
train_epoch: 1031, loss: 0.4097, recall20: 0.0000 recall10: 0.0000 [12.3835]
train_epoch: 1032, loss: 0.4097, recall20: 0.0000 recall10: 0.0000 [12.3967]
train_epoch: 1033, loss: 0.4096, recall20: 0.0000 recall10: 0.0000 [12.4099]
train_epoch: 1034, loss: 0.4096, recall20: 0.0000 recall10: 0.0000 [12.4233]
train_epoch: 1035, loss: 0.4095, recall20: 0.0000 recall10: 0.0000 [12.4374]
train_epoch: 1036, loss: 0.4095, recall20: 0.0000 recall10: 0.0000 [12.4504]
train_epoch: 1037, loss: 0.4095, recall20: 0.0000 recall10: 0.0000 [12.4629]
train_epoch: 1038, loss: 0.4094, recall20: 0.0000 recall10: 0.0000 [12.4755]
train_epoch: 1039, loss: 0.4094, recall20: 0.0000 recall10: 0.0000 [12.4884]
train_epoch: 1040, loss: 0.4093, recall20: 0.0000 recall10: 0.0000 [12.5002]
train_epoch: 1041, loss: 0.4093, recall20: 0.0000 recall10: 0.0000 [12.5136]
train_epoch: 1042, loss: 0.4093, recall20: 0.0000 recall10: 0.0000 [12.5281]
train_epoch: 1043, loss: 0.4092, recall20: 0.0000 recall10: 0.0000 [12.5421]
train_epoch: 1044, loss: 0.4092, recall20: 0.0000 recall10: 0.0000 [12.5548]
train_epoch: 1045, loss: 0.4091, recall20: 0.0000 recall10: 0.0000 [12.5698]
train_epoch: 1046, loss: 0.4091, recall20: 0.0000 recall10: 0.0000 [12.5826]
train_epoch: 1047, loss: 0.4090, recall20: 0.0000 recall10: 0.0000 [12.5954]
train_epoch: 1048, loss: 0.4090, recall20: 0.0000 recall10: 0.0000 [12.6082]
train_epoch: 1049, loss: 0.4090, recall20: 0.0000 recall10: 0.0000 [12.6220]
train_epoch: 1050, loss: 0.4089, recall20: 0.0000 recall10: 0.0000 [12.6370]
train_epoch: 1051, loss: 0.4089, recall20: 0.0000 recall10: 0.0000 [12.6491]
train_epoch: 1052, loss: 0.4088, recall20: 0.0000 recall10: 0.0000 [12.6611]
train_epoch: 1053, loss: 0.4088, recall20: 0.0000 recall10: 0.0000 [12.6734]
train_epoch: 1054, loss: 0.4088, recall20: 0.0000 recall10: 0.0000 [12.6856]
train_epoch: 1055, loss: 0.4087, recall20: 0.0000 recall10: 0.0000 [12.6978]
train_epoch: 1056, loss: 0.4087, recall20: 0.0000 recall10: 0.0000 [12.7114]
train_epoch: 1057, loss: 0.4086, recall20: 0.0000 recall10: 0.0000 [12.7274]
train_epoch: 1058, loss: 0.4086, recall20: 0.0000 recall10: 0.0000 [12.7398]
train_epoch: 1059, loss: 0.4086, recall20: 0.0000 recall10: 0.0000 [12.7515]
train_epoch: 1060, loss: 0.4085, recall20: 0.0000 recall10: 0.0000 [12.7639]
train_epoch: 1061, loss: 0.4085, recall20: 0.0000 recall10: 0.0000 [12.7764]
train_epoch: 1062, loss: 0.4084, recall20: 0.0000 recall10: 0.0000 [12.7889]
train_epoch: 1063, loss: 0.4084, recall20: 0.0000 recall10: 0.0000 [12.8011]
train_epoch: 1064, loss: 0.4083, recall20: 0.0000 recall10: 0.0000 [12.8130]
train_epoch: 1065, loss: 0.4083, recall20: 0.0000 recall10: 0.0000 [12.8267]
train_epoch: 1066, loss: 0.4083, recall20: 0.0000 recall10: 0.0000 [12.8394]
train_epoch: 1067, loss: 0.4082, recall20: 0.0000 recall10: 0.0000 [12.8518]
train_epoch: 1068, loss: 0.4082, recall20: 0.0000 recall10: 0.0000 [12.8643]
train_epoch: 1069, loss: 0.4081, recall20: 0.0000 recall10: 0.0000 [12.8764]
train_epoch: 1070, loss: 0.4081, recall20: 0.0000 recall10: 0.0000 [12.8884]
train_epoch: 1071, loss: 0.4081, recall20: 0.0000 recall10: 0.0000 [12.9006]
