{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'min', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.8634]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.8843]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.9018]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.9219]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.9404]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.9583]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.9787]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.9972]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.0168]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.0346]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.0534]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.0716]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.0898]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.1104]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.1287]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.1456]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.1672]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.1850]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.2029]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.2235]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.2407]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.2617]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.2795]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.2974]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.3180]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.3376]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.3558]
train_epoch: 1028, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.3731]
train_epoch: 1029, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.3920]
train_epoch: 1030, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.4091]
train_epoch: 1031, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.4325]
train_epoch: 1032, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.4518]
train_epoch: 1033, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.4932]
train_epoch: 1034, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.5122]
train_epoch: 1035, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.5337]
train_epoch: 1036, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.5549]
train_epoch: 1037, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.5746]
train_epoch: 1038, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.5944]
train_epoch: 1039, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.6136]
train_epoch: 1040, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.6308]
train_epoch: 1041, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.6519]
train_epoch: 1042, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.6728]
train_epoch: 1043, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.6938]
train_epoch: 1044, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.7144]
train_epoch: 1045, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.7346]
train_epoch: 1046, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.7544]
train_epoch: 1047, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [17.7710]
