{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'min', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0012, recall20: 0.0000 recall10: 0.0000 [11.6556]
train_epoch: 1002, loss: 0.0011, recall20: 0.0000 recall10: 0.0000 [11.6731]
train_epoch: 1003, loss: 0.0011, recall20: 0.0000 recall10: 0.0000 [11.6854]
train_epoch: 1004, loss: 0.0011, recall20: 0.0000 recall10: 0.0000 [11.6962]
train_epoch: 1005, loss: 0.0011, recall20: 0.0000 recall10: 0.0000 [11.7082]
train_epoch: 1006, loss: 0.0011, recall20: 0.0000 recall10: 0.0000 [11.7212]
train_epoch: 1007, loss: 0.0011, recall20: 0.0000 recall10: 0.0000 [11.7336]
train_epoch: 1008, loss: 0.0011, recall20: 0.0000 recall10: 0.0000 [11.7455]
train_epoch: 1009, loss: 0.0011, recall20: 0.0000 recall10: 0.0000 [11.7572]
train_epoch: 1010, loss: 0.0011, recall20: 0.0000 recall10: 0.0000 [11.7687]
train_epoch: 1011, loss: 0.0011, recall20: 0.0000 recall10: 0.0000 [11.7811]
train_epoch: 1012, loss: 0.0011, recall20: 0.0000 recall10: 0.0000 [11.7933]
train_epoch: 1013, loss: 0.0011, recall20: 0.0000 recall10: 0.0000 [11.8043]
train_epoch: 1014, loss: 0.0011, recall20: 0.0000 recall10: 0.0000 [11.8154]
train_epoch: 1015, loss: 0.0011, recall20: 0.0000 recall10: 0.0000 [11.8289]
train_epoch: 1016, loss: 0.0011, recall20: 0.0000 recall10: 0.0000 [11.8394]
train_epoch: 1017, loss: 0.0011, recall20: 0.0000 recall10: 0.0000 [11.8503]
train_epoch: 1018, loss: 0.0011, recall20: 0.0000 recall10: 0.0000 [11.8624]
train_epoch: 1019, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [11.8751]
train_epoch: 1020, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [11.8871]
train_epoch: 1021, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [11.8986]
train_epoch: 1022, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [11.9109]
train_epoch: 1023, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [11.9229]
train_epoch: 1024, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [11.9349]
train_epoch: 1025, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [11.9467]
train_epoch: 1026, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [11.9580]
train_epoch: 1027, loss: 0.0010, recall20: 0.0000 recall10: 0.0000 [11.9696]
