{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'h'}
train_epoch: 1001, loss: 0.0113, recall20: 0.0000 recall10: 0.0000 [68.5023]
train_epoch: 1002, loss: 0.0113, recall20: 0.0000 recall10: 0.0000 [68.5662]
train_epoch: 1003, loss: 0.0112, recall20: 0.0000 recall10: 0.0000 [68.6242]
train_epoch: 1004, loss: 0.0112, recall20: 0.0000 recall10: 0.0000 [68.6805]
train_epoch: 1005, loss: 0.0112, recall20: 0.0000 recall10: 0.0000 [68.7392]
train_epoch: 1006, loss: 0.0111, recall20: 0.0000 recall10: 0.0000 [68.7966]
train_epoch: 1007, loss: 0.0111, recall20: 0.0000 recall10: 0.0000 [68.8548]
train_epoch: 1008, loss: 0.0111, recall20: 0.0000 recall10: 0.0000 [68.9137]
train_epoch: 1009, loss: 0.0110, recall20: 0.0000 recall10: 0.0000 [68.9725]
train_epoch: 1010, loss: 0.0110, recall20: 0.0000 recall10: 0.0000 [69.0231]
train_epoch: 1011, loss: 0.0110, recall20: 0.0000 recall10: 0.0000 [69.0666]
train_epoch: 1012, loss: 0.0109, recall20: 0.0000 recall10: 0.0000 [69.1200]
train_epoch: 1013, loss: 0.0109, recall20: 0.0000 recall10: 0.0000 [69.1771]
train_epoch: 1014, loss: 0.0109, recall20: 0.0000 recall10: 0.0000 [69.2310]
train_epoch: 1015, loss: 0.0108, recall20: 0.0000 recall10: 0.0000 [69.2891]
train_epoch: 1016, loss: 0.0108, recall20: 0.0000 recall10: 0.0000 [69.3450]
train_epoch: 1017, loss: 0.0107, recall20: 0.0000 recall10: 0.0000 [69.4031]
train_epoch: 1018, loss: 0.0107, recall20: 0.0000 recall10: 0.0000 [69.4634]
train_epoch: 1019, loss: 0.0107, recall20: 0.0000 recall10: 0.0000 [69.5189]
train_epoch: 1020, loss: 0.0106, recall20: 0.0000 recall10: 0.0000 [69.5762]
train_epoch: 1021, loss: 0.0106, recall20: 0.0000 recall10: 0.0000 [69.6353]
train_epoch: 1022, loss: 0.0106, recall20: 0.0000 recall10: 0.0000 [69.6942]
train_epoch: 1023, loss: 0.0105, recall20: 0.0000 recall10: 0.0000 [69.7523]
train_epoch: 1024, loss: 0.0105, recall20: 0.0000 recall10: 0.0000 [69.8123]
train_epoch: 1025, loss: 0.0105, recall20: 0.0000 recall10: 0.0000 [69.8713]
train_epoch: 1026, loss: 0.0105, recall20: 0.0000 recall10: 0.0000 [69.9295]
train_epoch: 1027, loss: 0.0104, recall20: 0.0000 recall10: 0.0000 [69.9884]
train_epoch: 1028, loss: 0.0104, recall20: 0.0000 recall10: 0.0000 [70.0472]
train_epoch: 1029, loss: 0.0104, recall20: 0.0000 recall10: 0.0000 [70.1034]
train_epoch: 1030, loss: 0.0103, recall20: 0.0000 recall10: 0.0000 [70.1639]
train_epoch: 1031, loss: 0.0103, recall20: 0.0000 recall10: 0.0000 [70.2232]
train_epoch: 1032, loss: 0.0103, recall20: 0.0000 recall10: 0.0000 [70.2811]
train_epoch: 1033, loss: 0.0102, recall20: 0.0000 recall10: 0.0000 [70.3411]
train_epoch: 1034, loss: 0.0102, recall20: 0.0000 recall10: 0.0000 [70.3998]
train_epoch: 1035, loss: 0.0102, recall20: 0.0000 recall10: 0.0000 [70.4552]
train_epoch: 1036, loss: 0.0101, recall20: 0.0000 recall10: 0.0000 [70.5132]
train_epoch: 1037, loss: 0.0101, recall20: 0.0000 recall10: 0.0000 [70.5692]
train_epoch: 1038, loss: 0.0101, recall20: 0.0000 recall10: 0.0000 [70.6239]
train_epoch: 1039, loss: 0.0100, recall20: 0.0000 recall10: 0.0000 [70.6805]
train_epoch: 1040, loss: 0.0100, recall20: 0.0000 recall10: 0.0000 [70.7380]
train_epoch: 1041, loss: 0.0100, recall20: 0.0000 recall10: 0.0000 [70.7970]
train_epoch: 1042, loss: 0.0100, recall20: 0.0000 recall10: 0.0000 [70.8558]
train_epoch: 1043, loss: 0.0099, recall20: 0.0000 recall10: 0.0000 [70.9134]
train_epoch: 1044, loss: 0.0099, recall20: 0.0000 recall10: 0.0000 [70.9718]
