{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'i'}
train_epoch: 1001, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [20.0611]
train_epoch: 1002, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [20.1112]
train_epoch: 1003, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [20.1621]
train_epoch: 1004, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [20.2157]
train_epoch: 1005, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [20.2683]
train_epoch: 1006, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [20.3197]
train_epoch: 1007, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [20.3749]
train_epoch: 1008, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [20.4273]
train_epoch: 1009, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [20.4797]
train_epoch: 1010, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [20.5321]
train_epoch: 1011, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [20.6126]
train_epoch: 1012, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [20.6601]
train_epoch: 1013, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [20.7083]
train_epoch: 1014, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [20.7588]
train_epoch: 1015, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [20.8105]
train_epoch: 1016, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [20.8637]
train_epoch: 1017, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [20.9175]
train_epoch: 1018, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [20.9543]
train_epoch: 1019, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [21.0093]
train_epoch: 1020, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [21.0614]
train_epoch: 1021, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [21.1146]
train_epoch: 1022, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [21.1654]
train_epoch: 1023, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [21.2188]
train_epoch: 1024, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [21.2736]
train_epoch: 1025, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [21.3280]
train_epoch: 1026, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [21.3715]
train_epoch: 1027, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [21.4276]
train_epoch: 1028, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [21.4789]
train_epoch: 1029, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [21.5280]
train_epoch: 1030, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [21.5811]
train_epoch: 1031, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [21.6356]
train_epoch: 1032, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [21.6795]
train_epoch: 1033, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [21.7341]
train_epoch: 1034, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [21.7872]
train_epoch: 1035, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [21.8355]
train_epoch: 1036, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [21.8881]
train_epoch: 1037, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [21.9438]
train_epoch: 1038, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [21.9993]
train_epoch: 1039, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [22.0285]
train_epoch: 1040, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [22.0835]
train_epoch: 1041, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [22.1384]
train_epoch: 1042, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [22.1938]
train_epoch: 1043, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [22.2482]
train_epoch: 1044, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [22.3016]
train_epoch: 1045, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [22.3561]
train_epoch: 1046, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [22.4048]
train_epoch: 1047, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [22.4569]
train_epoch: 1048, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [22.5116]
train_epoch: 1049, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [22.5657]
train_epoch: 1050, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [22.6177]
train_epoch: 1051, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [22.6680]
train_epoch: 1052, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [22.7188]
train_epoch: 1053, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [22.7710]
train_epoch: 1054, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [22.8223]
train_epoch: 1055, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [22.8764]
train_epoch: 1056, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [22.9313]
train_epoch: 1057, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [22.9848]
train_epoch: 1058, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [23.0381]
train_epoch: 1059, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [23.0913]
train_epoch: 1060, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [23.1461]
train_epoch: 1061, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [23.1995]
train_epoch: 1062, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [23.2514]
train_epoch: 1063, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [23.3035]
train_epoch: 1064, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [23.3581]
train_epoch: 1065, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [23.4119]
train_epoch: 1066, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [23.4657]
train_epoch: 1067, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [23.5194]
train_epoch: 1068, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [23.5727]
train_epoch: 1069, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [23.6281]
train_epoch: 1070, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [23.6803]
train_epoch: 1071, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [23.7354]
train_epoch: 1072, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [23.7892]
train_epoch: 1073, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [23.8036]
train_epoch: 1074, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [23.8358]
train_epoch: 1075, loss: 0.0004, recall20: 0.0000 recall10: 0.0000 [23.8690]
