{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'mul', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.1423]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.2035]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.2644]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.3162]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.3779]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.4415]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.5026]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.5601]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.6212]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.6808]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.7442]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.7993]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.8589]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.9188]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [56.9834]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.0393]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.1010]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.1637]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.2204]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.2823]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.3458]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.4048]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.4668]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.5269]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.5873]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.6407]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.6970]
train_epoch: 1028, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.7587]
train_epoch: 1029, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.8175]
train_epoch: 1030, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.8787]
train_epoch: 1031, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.9379]
train_epoch: 1032, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [57.9954]
train_epoch: 1033, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.0606]
train_epoch: 1034, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.1238]
train_epoch: 1035, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.1913]
train_epoch: 1036, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.2554]
train_epoch: 1037, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.3155]
train_epoch: 1038, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.3720]
train_epoch: 1039, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.4361]
train_epoch: 1040, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.4946]
train_epoch: 1041, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.5530]
train_epoch: 1042, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.6191]
train_epoch: 1043, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.6799]
train_epoch: 1044, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.7379]
train_epoch: 1045, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.7940]
train_epoch: 1046, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.8459]
train_epoch: 1047, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.9033]
train_epoch: 1048, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [58.9648]
train_epoch: 1049, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.0243]
train_epoch: 1050, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.0852]
train_epoch: 1051, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.1414]
train_epoch: 1052, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.2080]
train_epoch: 1053, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.2711]
train_epoch: 1054, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.3363]
train_epoch: 1055, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.3919]
train_epoch: 1056, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.4518]
train_epoch: 1057, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.5114]
train_epoch: 1058, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.5619]
train_epoch: 1059, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.6226]
train_epoch: 1060, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.6830]
train_epoch: 1061, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.7482]
train_epoch: 1062, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.8039]
train_epoch: 1063, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.8669]
train_epoch: 1064, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.9260]
train_epoch: 1065, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [59.9886]
train_epoch: 1066, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.0498]
train_epoch: 1067, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.1024]
train_epoch: 1068, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.1557]
train_epoch: 1069, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.2142]
train_epoch: 1070, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.2651]
train_epoch: 1071, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.3206]
train_epoch: 1072, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.3806]
train_epoch: 1073, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.4444]
train_epoch: 1074, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.5100]
train_epoch: 1075, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.5746]
train_epoch: 1076, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.6396]
train_epoch: 1077, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.7007]
train_epoch: 1078, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.7633]
train_epoch: 1079, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.8267]
train_epoch: 1080, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.8902]
train_epoch: 1081, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [60.9536]
train_epoch: 1082, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.0127]
train_epoch: 1083, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.0793]
train_epoch: 1084, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.1361]
train_epoch: 1085, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.1978]
train_epoch: 1086, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.2623]
train_epoch: 1087, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.3201]
train_epoch: 1088, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.3802]
train_epoch: 1089, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.4439]
train_epoch: 1090, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.5094]
train_epoch: 1091, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.5736]
train_epoch: 1092, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.6356]
train_epoch: 1093, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.6963]
train_epoch: 1094, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.7583]
train_epoch: 1095, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.8215]
train_epoch: 1096, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.8829]
train_epoch: 1097, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [61.9454]
train_epoch: 1098, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.0059]
train_epoch: 1099, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.0683]
train_epoch: 1100, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.1320]
train_epoch: 1101, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.1994]
train_epoch: 1102, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.2632]
train_epoch: 1103, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.3263]
train_epoch: 1104, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.3874]
train_epoch: 1105, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.4481]
train_epoch: 1106, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.5128]
train_epoch: 1107, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.5790]
train_epoch: 1108, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.6377]
train_epoch: 1109, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.6909]
train_epoch: 1110, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.7529]
train_epoch: 1111, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.8138]
train_epoch: 1112, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.8732]
train_epoch: 1113, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.9363]
train_epoch: 1114, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [62.9955]
train_epoch: 1115, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.0588]
train_epoch: 1116, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.1205]
train_epoch: 1117, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.1843]
train_epoch: 1118, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.2463]
train_epoch: 1119, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.3105]
train_epoch: 1120, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.3748]
train_epoch: 1121, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.4353]
train_epoch: 1122, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.4987]
train_epoch: 1123, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.5604]
train_epoch: 1124, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.6272]
train_epoch: 1125, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.6905]
train_epoch: 1126, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.7524]
train_epoch: 1127, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.8123]
train_epoch: 1128, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.8719]
train_epoch: 1129, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.9366]
train_epoch: 1130, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [63.9966]
train_epoch: 1131, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.0565]
train_epoch: 1132, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.1182]
train_epoch: 1133, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.1823]
train_epoch: 1134, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.2463]
train_epoch: 1135, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.3032]
train_epoch: 1136, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.3650]
train_epoch: 1137, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.4258]
train_epoch: 1138, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.4881]
train_epoch: 1139, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.5502]
train_epoch: 1140, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.6083]
train_epoch: 1141, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.6709]
train_epoch: 1142, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.7311]
train_epoch: 1143, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.7872]
train_epoch: 1144, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.8474]
train_epoch: 1145, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.9097]
train_epoch: 1146, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [64.9763]
train_epoch: 1147, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.0377]
train_epoch: 1148, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.0936]
train_epoch: 1149, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.1565]
train_epoch: 1150, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.2177]
train_epoch: 1151, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.2812]
train_epoch: 1152, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.3381]
train_epoch: 1153, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.3925]
train_epoch: 1154, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.4519]
train_epoch: 1155, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.5146]
train_epoch: 1156, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.5724]
train_epoch: 1157, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.6335]
train_epoch: 1158, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.6963]
train_epoch: 1159, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.7600]
train_epoch: 1160, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.8234]
train_epoch: 1161, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.8802]
train_epoch: 1162, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [65.9431]
train_epoch: 1163, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.0029]
train_epoch: 1164, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.0651]
train_epoch: 1165, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.1264]
train_epoch: 1166, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.1882]
train_epoch: 1167, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.2513]
train_epoch: 1168, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.3092]
train_epoch: 1169, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.3694]
train_epoch: 1170, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.4343]
train_epoch: 1171, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.4911]
train_epoch: 1172, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.5545]
train_epoch: 1173, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.6182]
train_epoch: 1174, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.6820]
train_epoch: 1175, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.7490]
train_epoch: 1176, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.8083]
train_epoch: 1177, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.8684]
train_epoch: 1178, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.9303]
train_epoch: 1179, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [66.9942]
train_epoch: 1180, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.0524]
train_epoch: 1181, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.1204]
train_epoch: 1182, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.1799]
train_epoch: 1183, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.2386]
train_epoch: 1184, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.2989]
train_epoch: 1185, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.3663]
train_epoch: 1186, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.4279]
train_epoch: 1187, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.4928]
train_epoch: 1188, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.5509]
train_epoch: 1189, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.6153]
train_epoch: 1190, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.6726]
train_epoch: 1191, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.7326]
train_epoch: 1192, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.7900]
train_epoch: 1193, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.8452]
train_epoch: 1194, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.8992]
train_epoch: 1195, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [67.9612]
train_epoch: 1196, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.0200]
train_epoch: 1197, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [68.0815]
