{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'h'}
train_epoch: 1001, loss: 0.4425, recall20: 0.0000 recall10: 0.0000 [9.8309]
train_epoch: 1002, loss: 0.4425, recall20: 0.0000 recall10: 0.0000 [9.8461]
train_epoch: 1003, loss: 0.4424, recall20: 0.0000 recall10: 0.0000 [9.8606]
train_epoch: 1004, loss: 0.4424, recall20: 0.0000 recall10: 0.0000 [9.8729]
train_epoch: 1005, loss: 0.4423, recall20: 0.0000 recall10: 0.0000 [9.8846]
train_epoch: 1006, loss: 0.4423, recall20: 0.0000 recall10: 0.0000 [9.8953]
train_epoch: 1007, loss: 0.4422, recall20: 0.0000 recall10: 0.0000 [9.9053]
train_epoch: 1008, loss: 0.4422, recall20: 0.0000 recall10: 0.0000 [9.9151]
train_epoch: 1009, loss: 0.4421, recall20: 0.0000 recall10: 0.0000 [9.9249]
train_epoch: 1010, loss: 0.4421, recall20: 0.0000 recall10: 0.0000 [9.9355]
train_epoch: 1011, loss: 0.4420, recall20: 0.0000 recall10: 0.0000 [9.9457]
train_epoch: 1012, loss: 0.4420, recall20: 0.0000 recall10: 0.0000 [9.9561]
train_epoch: 1013, loss: 0.4419, recall20: 0.0000 recall10: 0.0000 [9.9662]
train_epoch: 1014, loss: 0.4419, recall20: 0.0000 recall10: 0.0000 [9.9770]
train_epoch: 1015, loss: 0.4419, recall20: 0.0000 recall10: 0.0000 [9.9881]
train_epoch: 1016, loss: 0.4418, recall20: 0.0000 recall10: 0.0000 [9.9983]
train_epoch: 1017, loss: 0.4418, recall20: 0.0000 recall10: 0.0000 [10.0083]
train_epoch: 1018, loss: 0.4417, recall20: 0.0000 recall10: 0.0000 [10.0196]
train_epoch: 1019, loss: 0.4417, recall20: 0.0000 recall10: 0.0000 [10.0303]
train_epoch: 1020, loss: 0.4416, recall20: 0.0000 recall10: 0.0000 [10.0411]
train_epoch: 1021, loss: 0.4416, recall20: 0.0000 recall10: 0.0000 [10.0512]
train_epoch: 1022, loss: 0.4415, recall20: 0.0000 recall10: 0.0000 [10.0612]
train_epoch: 1023, loss: 0.4415, recall20: 0.0000 recall10: 0.0000 [10.0714]
train_epoch: 1024, loss: 0.4414, recall20: 0.0000 recall10: 0.0000 [10.0817]
train_epoch: 1025, loss: 0.4414, recall20: 0.0000 recall10: 0.0000 [10.0919]
train_epoch: 1026, loss: 0.4413, recall20: 0.0000 recall10: 0.0000 [10.1027]
train_epoch: 1027, loss: 0.4413, recall20: 0.0000 recall10: 0.0000 [10.1181]
train_epoch: 1028, loss: 0.4412, recall20: 0.0000 recall10: 0.0000 [10.1286]
train_epoch: 1029, loss: 0.4412, recall20: 0.0000 recall10: 0.0000 [10.1383]
train_epoch: 1030, loss: 0.4411, recall20: 0.0000 recall10: 0.0000 [10.1479]
train_epoch: 1031, loss: 0.4411, recall20: 0.0000 recall10: 0.0000 [10.1574]
train_epoch: 1032, loss: 0.4410, recall20: 0.0000 recall10: 0.0000 [10.1681]
train_epoch: 1033, loss: 0.4410, recall20: 0.0000 recall10: 0.0000 [10.1785]
train_epoch: 1034, loss: 0.4409, recall20: 0.0000 recall10: 0.0000 [10.1883]
train_epoch: 1035, loss: 0.4409, recall20: 0.0000 recall10: 0.0000 [10.1984]
train_epoch: 1036, loss: 0.4408, recall20: 0.0000 recall10: 0.0000 [10.2096]
train_epoch: 1037, loss: 0.4408, recall20: 0.0000 recall10: 0.0000 [10.2243]
train_epoch: 1038, loss: 0.4407, recall20: 0.0000 recall10: 0.0000 [10.2356]
train_epoch: 1039, loss: 0.4407, recall20: 0.0000 recall10: 0.0000 [10.2470]
train_epoch: 1040, loss: 0.4406, recall20: 0.0000 recall10: 0.0000 [10.2581]
train_epoch: 1041, loss: 0.4406, recall20: 0.0000 recall10: 0.0000 [10.2684]
train_epoch: 1042, loss: 0.4406, recall20: 0.0000 recall10: 0.0000 [10.2782]
train_epoch: 1043, loss: 0.4405, recall20: 0.0000 recall10: 0.0000 [10.2886]
train_epoch: 1044, loss: 0.4405, recall20: 0.0000 recall10: 0.0000 [10.2998]
train_epoch: 1045, loss: 0.4404, recall20: 0.0000 recall10: 0.0000 [10.3104]
train_epoch: 1046, loss: 0.4404, recall20: 0.0000 recall10: 0.0000 [10.3209]
train_epoch: 1047, loss: 0.4403, recall20: 0.0000 recall10: 0.0000 [10.3345]
train_epoch: 1048, loss: 0.4403, recall20: 0.0000 recall10: 0.0000 [10.3450]
train_epoch: 1049, loss: 0.4402, recall20: 0.0000 recall10: 0.0000 [10.3553]
train_epoch: 1050, loss: 0.4402, recall20: 0.0000 recall10: 0.0000 [10.3677]
train_epoch: 1051, loss: 0.4401, recall20: 0.0000 recall10: 0.0000 [10.3793]
train_epoch: 1052, loss: 0.4401, recall20: 0.0000 recall10: 0.0000 [10.3900]
train_epoch: 1053, loss: 0.4400, recall20: 0.0000 recall10: 0.0000 [10.4004]
train_epoch: 1054, loss: 0.4400, recall20: 0.0000 recall10: 0.0000 [10.4111]
train_epoch: 1055, loss: 0.4399, recall20: 0.0000 recall10: 0.0000 [10.4215]
train_epoch: 1056, loss: 0.4399, recall20: 0.0000 recall10: 0.0000 [10.4319]
train_epoch: 1057, loss: 0.4398, recall20: 0.0000 recall10: 0.0000 [10.4431]
train_epoch: 1058, loss: 0.4398, recall20: 0.0000 recall10: 0.0000 [10.4537]
train_epoch: 1059, loss: 0.4397, recall20: 0.0000 recall10: 0.0000 [10.4638]
train_epoch: 1060, loss: 0.4397, recall20: 0.0000 recall10: 0.0000 [10.4738]
train_epoch: 1061, loss: 0.4397, recall20: 0.0000 recall10: 0.0000 [10.4836]
train_epoch: 1062, loss: 0.4396, recall20: 0.0000 recall10: 0.0000 [10.4938]
train_epoch: 1063, loss: 0.4396, recall20: 0.0000 recall10: 0.0000 [10.5035]
train_epoch: 1064, loss: 0.4395, recall20: 0.0000 recall10: 0.0000 [10.5137]
train_epoch: 1065, loss: 0.4395, recall20: 0.0000 recall10: 0.0000 [10.5239]
train_epoch: 1066, loss: 0.4394, recall20: 0.0000 recall10: 0.0000 [10.5334]
train_epoch: 1067, loss: 0.4394, recall20: 0.0000 recall10: 0.0000 [10.5434]
train_epoch: 1068, loss: 0.4393, recall20: 0.0000 recall10: 0.0000 [10.5540]
train_epoch: 1069, loss: 0.4393, recall20: 0.0000 recall10: 0.0000 [10.5643]
train_epoch: 1070, loss: 0.4392, recall20: 0.0000 recall10: 0.0000 [10.5740]
train_epoch: 1071, loss: 0.4392, recall20: 0.0000 recall10: 0.0000 [10.5839]
train_epoch: 1072, loss: 0.4391, recall20: 0.0000 recall10: 0.0000 [10.5943]
train_epoch: 1073, loss: 0.4391, recall20: 0.0000 recall10: 0.0000 [10.6049]
train_epoch: 1074, loss: 0.4390, recall20: 0.0000 recall10: 0.0000 [10.6158]
train_epoch: 1075, loss: 0.4390, recall20: 0.0000 recall10: 0.0000 [10.6268]
train_epoch: 1076, loss: 0.4390, recall20: 0.0000 recall10: 0.0000 [10.6412]
train_epoch: 1077, loss: 0.4389, recall20: 0.0000 recall10: 0.0000 [10.6523]
train_epoch: 1078, loss: 0.4389, recall20: 0.0000 recall10: 0.0000 [10.6635]
train_epoch: 1079, loss: 0.4388, recall20: 0.0000 recall10: 0.0000 [10.6742]
train_epoch: 1080, loss: 0.4388, recall20: 0.0000 recall10: 0.0000 [10.6840]
train_epoch: 1081, loss: 0.4387, recall20: 0.0000 recall10: 0.0000 [10.6943]
train_epoch: 1082, loss: 0.4387, recall20: 0.0000 recall10: 0.0000 [10.7045]
train_epoch: 1083, loss: 0.4386, recall20: 0.0000 recall10: 0.0000 [10.7141]
train_epoch: 1084, loss: 0.4386, recall20: 0.0000 recall10: 0.0000 [10.7245]
train_epoch: 1085, loss: 0.4385, recall20: 0.0000 recall10: 0.0000 [10.7343]
train_epoch: 1086, loss: 0.4385, recall20: 0.0000 recall10: 0.0000 [10.7441]
train_epoch: 1087, loss: 0.4384, recall20: 0.0000 recall10: 0.0000 [10.7547]
train_epoch: 1088, loss: 0.4384, recall20: 0.0000 recall10: 0.0000 [10.7649]
train_epoch: 1089, loss: 0.4384, recall20: 0.0000 recall10: 0.0000 [10.7745]
train_epoch: 1090, loss: 0.4383, recall20: 0.0000 recall10: 0.0000 [10.7839]
train_epoch: 1091, loss: 0.4383, recall20: 0.0000 recall10: 0.0000 [10.7934]
train_epoch: 1092, loss: 0.4382, recall20: 0.0000 recall10: 0.0000 [10.8032]
train_epoch: 1093, loss: 0.4382, recall20: 0.0000 recall10: 0.0000 [10.8136]
train_epoch: 1094, loss: 0.4381, recall20: 0.0000 recall10: 0.0000 [10.8237]
train_epoch: 1095, loss: 0.4381, recall20: 0.0000 recall10: 0.0000 [10.8334]
