{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'h'}
train_epoch: 1001, loss: 0.3781, recall20: 0.0000 recall10: 0.0000 [9.2545]
train_epoch: 1002, loss: 0.3781, recall20: 0.0000 recall10: 0.0000 [9.2667]
train_epoch: 1003, loss: 0.3781, recall20: 0.0000 recall10: 0.0000 [9.2765]
train_epoch: 1004, loss: 0.3780, recall20: 0.0000 recall10: 0.0000 [9.2868]
train_epoch: 1005, loss: 0.3780, recall20: 0.0000 recall10: 0.0000 [9.2971]
train_epoch: 1006, loss: 0.3780, recall20: 0.0000 recall10: 0.0000 [9.3114]
train_epoch: 1007, loss: 0.3780, recall20: 0.0000 recall10: 0.0000 [9.3219]
train_epoch: 1008, loss: 0.3780, recall20: 0.0000 recall10: 0.0000 [9.3315]
train_epoch: 1009, loss: 0.3780, recall20: 0.0000 recall10: 0.0000 [9.3416]
train_epoch: 1010, loss: 0.3780, recall20: 0.0000 recall10: 0.0000 [9.3526]
train_epoch: 1011, loss: 0.3780, recall20: 0.0000 recall10: 0.0000 [9.3636]
train_epoch: 1012, loss: 0.3780, recall20: 0.0000 recall10: 0.0000 [9.3753]
train_epoch: 1013, loss: 0.3779, recall20: 0.0000 recall10: 0.0000 [9.3868]
train_epoch: 1014, loss: 0.3779, recall20: 0.0000 recall10: 0.0000 [9.3967]
train_epoch: 1015, loss: 0.3779, recall20: 0.0000 recall10: 0.0000 [9.4069]
train_epoch: 1016, loss: 0.3779, recall20: 0.0000 recall10: 0.0000 [9.4169]
train_epoch: 1017, loss: 0.3779, recall20: 0.0000 recall10: 0.0000 [9.4294]
train_epoch: 1018, loss: 0.3779, recall20: 0.0000 recall10: 0.0000 [9.4389]
train_epoch: 1019, loss: 0.3779, recall20: 0.0000 recall10: 0.0000 [9.4488]
train_epoch: 1020, loss: 0.3779, recall20: 0.0000 recall10: 0.0000 [9.4592]
train_epoch: 1021, loss: 0.3779, recall20: 0.0000 recall10: 0.0000 [9.4691]
train_epoch: 1022, loss: 0.3779, recall20: 0.0000 recall10: 0.0000 [9.4787]
train_epoch: 1023, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [9.4887]
train_epoch: 1024, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [9.4982]
train_epoch: 1025, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [9.5085]
train_epoch: 1026, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [9.5189]
train_epoch: 1027, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [9.5287]
train_epoch: 1028, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [9.5381]
train_epoch: 1029, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [9.5478]
train_epoch: 1030, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [9.5577]
train_epoch: 1031, loss: 0.3778, recall20: 0.0000 recall10: 0.0000 [9.5677]
