{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'i'}
train_epoch: 1001, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [26.4161]
train_epoch: 1002, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [26.4694]
train_epoch: 1003, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [26.5206]
train_epoch: 1004, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [26.5722]
train_epoch: 1005, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [26.6228]
train_epoch: 1006, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [26.6766]
train_epoch: 1007, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [26.7325]
train_epoch: 1008, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [26.7748]
train_epoch: 1009, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [26.8284]
train_epoch: 1010, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [26.8804]
train_epoch: 1011, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [26.9248]
train_epoch: 1012, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [26.9804]
train_epoch: 1013, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [27.0330]
train_epoch: 1014, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [27.0789]
train_epoch: 1015, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [27.1299]
train_epoch: 1016, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [27.1832]
train_epoch: 1017, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [27.2318]
train_epoch: 1018, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [27.2762]
train_epoch: 1019, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [27.3300]
train_epoch: 1020, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [27.3831]
train_epoch: 1021, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [27.4349]
train_epoch: 1022, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [27.4848]
train_epoch: 1023, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [27.5324]
train_epoch: 1024, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [27.5791]
train_epoch: 1025, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [27.6330]
train_epoch: 1026, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [27.6832]
train_epoch: 1027, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [27.7369]
train_epoch: 1028, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [27.7896]
train_epoch: 1029, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [27.8435]
train_epoch: 1030, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [27.8944]
train_epoch: 1031, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [27.9460]
train_epoch: 1032, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [27.9979]
train_epoch: 1033, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [28.0506]
train_epoch: 1034, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [28.1026]
train_epoch: 1035, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [28.1552]
train_epoch: 1036, loss: 0.3697, recall20: 0.0000 recall10: 0.0000 [28.2081]
train_epoch: 1037, loss: 0.3697, recall20: 0.1400 recall10: 0.0809 [28.3282]
