{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mat'}, 'ifc': 'plus', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.3753, recall20: 0.0000 recall10: 0.0000 [10.7139]
train_epoch: 1002, loss: 0.3753, recall20: 0.0000 recall10: 0.0000 [10.7318]
train_epoch: 1003, loss: 0.3753, recall20: 0.0000 recall10: 0.0000 [10.7447]
train_epoch: 1004, loss: 0.3753, recall20: 0.0000 recall10: 0.0000 [10.7570]
train_epoch: 1005, loss: 0.3753, recall20: 0.0000 recall10: 0.0000 [10.7686]
train_epoch: 1006, loss: 0.3753, recall20: 0.0000 recall10: 0.0000 [10.7792]
train_epoch: 1007, loss: 0.3753, recall20: 0.0000 recall10: 0.0000 [10.7908]
train_epoch: 1008, loss: 0.3752, recall20: 0.0000 recall10: 0.0000 [10.8023]
train_epoch: 1009, loss: 0.3752, recall20: 0.0000 recall10: 0.0000 [10.8160]
train_epoch: 1010, loss: 0.3752, recall20: 0.0000 recall10: 0.0000 [10.8284]
train_epoch: 1011, loss: 0.3752, recall20: 0.0000 recall10: 0.0000 [10.8405]
train_epoch: 1012, loss: 0.3752, recall20: 0.0000 recall10: 0.0000 [10.8531]
train_epoch: 1013, loss: 0.3752, recall20: 0.0000 recall10: 0.0000 [10.8655]
train_epoch: 1014, loss: 0.3752, recall20: 0.0000 recall10: 0.0000 [10.8779]
train_epoch: 1015, loss: 0.3752, recall20: 0.0000 recall10: 0.0000 [10.8907]
train_epoch: 1016, loss: 0.3752, recall20: 0.0000 recall10: 0.0000 [10.9029]
train_epoch: 1017, loss: 0.3752, recall20: 0.0000 recall10: 0.0000 [10.9142]
train_epoch: 1018, loss: 0.3752, recall20: 0.0000 recall10: 0.0000 [10.9300]
train_epoch: 1019, loss: 0.3752, recall20: 0.0000 recall10: 0.0000 [10.9423]
train_epoch: 1020, loss: 0.3751, recall20: 0.0000 recall10: 0.0000 [10.9537]
train_epoch: 1021, loss: 0.3751, recall20: 0.0000 recall10: 0.0000 [10.9653]
train_epoch: 1022, loss: 0.3751, recall20: 0.0000 recall10: 0.0000 [10.9773]
train_epoch: 1023, loss: 0.3751, recall20: 0.0000 recall10: 0.0000 [10.9897]
train_epoch: 1024, loss: 0.3751, recall20: 0.0000 recall10: 0.0000 [11.0019]
train_epoch: 1025, loss: 0.3751, recall20: 0.0000 recall10: 0.0000 [11.0143]
train_epoch: 1026, loss: 0.3751, recall20: 0.0000 recall10: 0.0000 [11.0262]
train_epoch: 1027, loss: 0.3751, recall20: 0.0000 recall10: 0.0000 [11.0381]
train_epoch: 1028, loss: 0.3751, recall20: 0.0000 recall10: 0.0000 [11.0501]
train_epoch: 1029, loss: 0.3751, recall20: 0.0000 recall10: 0.0000 [11.0619]
train_epoch: 1030, loss: 0.3750, recall20: 0.0000 recall10: 0.0000 [11.0736]
train_epoch: 1031, loss: 0.3750, recall20: 0.0000 recall10: 0.0000 [11.0870]
train_epoch: 1032, loss: 0.3750, recall20: 0.0000 recall10: 0.0000 [11.1024]
train_epoch: 1033, loss: 0.3750, recall20: 0.0000 recall10: 0.0000 [11.1141]
train_epoch: 1034, loss: 0.3750, recall20: 0.0000 recall10: 0.0000 [11.1260]
train_epoch: 1035, loss: 0.3750, recall20: 0.0000 recall10: 0.0000 [11.1377]
train_epoch: 1036, loss: 0.3749, recall20: 0.0000 recall10: 0.0000 [11.1499]
train_epoch: 1037, loss: 0.3749, recall20: 0.0000 recall10: 0.0000 [11.1620]
train_epoch: 1038, loss: 0.3749, recall20: 0.0695 recall10: 0.0427 [11.2263]
