{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'concat', 'pred': 'h'}
train_epoch: 1001, loss: 0.4026, recall20: 0.0000 recall10: 0.0000 [36.1909]
train_epoch: 1002, loss: 0.4026, recall20: 0.0000 recall10: 0.0000 [36.2542]
train_epoch: 1003, loss: 0.4026, recall20: 0.0000 recall10: 0.0000 [36.3147]
train_epoch: 1004, loss: 0.4025, recall20: 0.0000 recall10: 0.0000 [36.3753]
train_epoch: 1005, loss: 0.4025, recall20: 0.0000 recall10: 0.0000 [36.4345]
train_epoch: 1006, loss: 0.4025, recall20: 0.0000 recall10: 0.0000 [36.4934]
train_epoch: 1007, loss: 0.4024, recall20: 0.0000 recall10: 0.0000 [36.5549]
train_epoch: 1008, loss: 0.4024, recall20: 0.0000 recall10: 0.0000 [36.6146]
train_epoch: 1009, loss: 0.4023, recall20: 0.0000 recall10: 0.0000 [36.6752]
train_epoch: 1010, loss: 0.4023, recall20: 0.0000 recall10: 0.0000 [36.7355]
train_epoch: 1011, loss: 0.4023, recall20: 0.0000 recall10: 0.0000 [36.7937]
train_epoch: 1012, loss: 0.4022, recall20: 0.0000 recall10: 0.0000 [36.8540]
train_epoch: 1013, loss: 0.4022, recall20: 0.0000 recall10: 0.0000 [36.9164]
train_epoch: 1014, loss: 0.4022, recall20: 0.0000 recall10: 0.0000 [36.9765]
train_epoch: 1015, loss: 0.4021, recall20: 0.0000 recall10: 0.0000 [37.0343]
train_epoch: 1016, loss: 0.4021, recall20: 0.0000 recall10: 0.0000 [37.0925]
train_epoch: 1017, loss: 0.4020, recall20: 0.0000 recall10: 0.0000 [37.1541]
train_epoch: 1018, loss: 0.4020, recall20: 0.0000 recall10: 0.0000 [37.2129]
train_epoch: 1019, loss: 0.4020, recall20: 0.0000 recall10: 0.0000 [37.2724]
train_epoch: 1020, loss: 0.4019, recall20: 0.0000 recall10: 0.0000 [37.3330]
train_epoch: 1021, loss: 0.4019, recall20: 0.0000 recall10: 0.0000 [37.3935]
train_epoch: 1022, loss: 0.4019, recall20: 0.0000 recall10: 0.0000 [37.4541]
train_epoch: 1023, loss: 0.4018, recall20: 0.0000 recall10: 0.0000 [37.5142]
train_epoch: 1024, loss: 0.4018, recall20: 0.0000 recall10: 0.0000 [37.5771]
train_epoch: 1025, loss: 0.4018, recall20: 0.0000 recall10: 0.0000 [37.6367]
train_epoch: 1026, loss: 0.4017, recall20: 0.0000 recall10: 0.0000 [37.6978]
train_epoch: 1027, loss: 0.4017, recall20: 0.0000 recall10: 0.0000 [37.7570]
train_epoch: 1028, loss: 0.4016, recall20: 0.0000 recall10: 0.0000 [37.8170]
train_epoch: 1029, loss: 0.4016, recall20: 0.0000 recall10: 0.0000 [37.8758]
train_epoch: 1030, loss: 0.4016, recall20: 0.0000 recall10: 0.0000 [37.9381]
train_epoch: 1031, loss: 0.4015, recall20: 0.0000 recall10: 0.0000 [37.9939]
train_epoch: 1032, loss: 0.4015, recall20: 0.0000 recall10: 0.0000 [38.0495]
train_epoch: 1033, loss: 0.4015, recall20: 0.0000 recall10: 0.0000 [38.1106]
train_epoch: 1034, loss: 0.4014, recall20: 0.0000 recall10: 0.0000 [38.1727]
train_epoch: 1035, loss: 0.4014, recall20: 0.0000 recall10: 0.0000 [38.2319]
train_epoch: 1036, loss: 0.4014, recall20: 0.0000 recall10: 0.0000 [38.2932]
train_epoch: 1037, loss: 0.4013, recall20: 0.0000 recall10: 0.0000 [38.3525]
train_epoch: 1038, loss: 0.4013, recall20: 0.0000 recall10: 0.0000 [38.4141]
train_epoch: 1039, loss: 0.4012, recall20: 0.0000 recall10: 0.0000 [38.4723]
train_epoch: 1040, loss: 0.4012, recall20: 0.0000 recall10: 0.0000 [38.5340]
train_epoch: 1041, loss: 0.4012, recall20: 0.0000 recall10: 0.0000 [38.5927]
train_epoch: 1042, loss: 0.4011, recall20: 0.0000 recall10: 0.0000 [38.6499]
train_epoch: 1043, loss: 0.4011, recall20: 0.0000 recall10: 0.0000 [38.7074]
train_epoch: 1044, loss: 0.4011, recall20: 0.0000 recall10: 0.0000 [38.7690]
