{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'concat', 'pred': 'i'}
train_epoch: 1001, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [114.3489]
train_epoch: 1002, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [114.4707]
train_epoch: 1003, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [114.5905]
train_epoch: 1004, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [114.7091]
train_epoch: 1005, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [114.8286]
train_epoch: 1006, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [114.9484]
train_epoch: 1007, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [115.0678]
train_epoch: 1008, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [115.1877]
train_epoch: 1009, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [115.3069]
train_epoch: 1010, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [115.4265]
train_epoch: 1011, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [115.5460]
train_epoch: 1012, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [115.6659]
train_epoch: 1013, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [115.7855]
train_epoch: 1014, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [115.9057]
train_epoch: 1015, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [116.0253]
train_epoch: 1016, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [116.1452]
train_epoch: 1017, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [116.2646]
train_epoch: 1018, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [116.3842]
train_epoch: 1019, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [116.5039]
train_epoch: 1020, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [116.6233]
train_epoch: 1021, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [116.7433]
train_epoch: 1022, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [116.8643]
train_epoch: 1023, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [116.9839]
train_epoch: 1024, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [117.1039]
train_epoch: 1025, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [117.2238]
train_epoch: 1026, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [117.3431]
train_epoch: 1027, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [117.4624]
train_epoch: 1028, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [117.5824]
train_epoch: 1029, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [117.7018]
train_epoch: 1030, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [117.8216]
train_epoch: 1031, loss: 0.3584, recall20: 0.0000 recall10: 0.0000 [117.9417]
