{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'concat', 'pred': 'i'}
train_epoch: 1001, loss: 0.4192, recall20: 0.0000 recall10: 0.0000 [45.6662]
train_epoch: 1002, loss: 0.4191, recall20: 0.0000 recall10: 0.0000 [45.7272]
train_epoch: 1003, loss: 0.4191, recall20: 0.0000 recall10: 0.0000 [45.7840]
train_epoch: 1004, loss: 0.4190, recall20: 0.0000 recall10: 0.0000 [45.8432]
train_epoch: 1005, loss: 0.4190, recall20: 0.0000 recall10: 0.0000 [45.9024]
train_epoch: 1006, loss: 0.4190, recall20: 0.0000 recall10: 0.0000 [45.9597]
train_epoch: 1007, loss: 0.4189, recall20: 0.0000 recall10: 0.0000 [46.0182]
train_epoch: 1008, loss: 0.4189, recall20: 0.0000 recall10: 0.0000 [46.0756]
train_epoch: 1009, loss: 0.4189, recall20: 0.0000 recall10: 0.0000 [46.1341]
train_epoch: 1010, loss: 0.4188, recall20: 0.0000 recall10: 0.0000 [46.1930]
train_epoch: 1011, loss: 0.4188, recall20: 0.0000 recall10: 0.0000 [46.2514]
train_epoch: 1012, loss: 0.4187, recall20: 0.0000 recall10: 0.0000 [46.3093]
train_epoch: 1013, loss: 0.4187, recall20: 0.0000 recall10: 0.0000 [46.3685]
train_epoch: 1014, loss: 0.4187, recall20: 0.0000 recall10: 0.0000 [46.4274]
train_epoch: 1015, loss: 0.4186, recall20: 0.0000 recall10: 0.0000 [46.4855]
train_epoch: 1016, loss: 0.4186, recall20: 0.0000 recall10: 0.0000 [46.5424]
train_epoch: 1017, loss: 0.4185, recall20: 0.0000 recall10: 0.0000 [46.6001]
train_epoch: 1018, loss: 0.4185, recall20: 0.0000 recall10: 0.0000 [46.6566]
train_epoch: 1019, loss: 0.4185, recall20: 0.0000 recall10: 0.0000 [46.7135]
train_epoch: 1020, loss: 0.4184, recall20: 0.0000 recall10: 0.0000 [46.7690]
train_epoch: 1021, loss: 0.4184, recall20: 0.0000 recall10: 0.0000 [46.8264]
train_epoch: 1022, loss: 0.4183, recall20: 0.0000 recall10: 0.0000 [46.8823]
train_epoch: 1023, loss: 0.4183, recall20: 0.0000 recall10: 0.0000 [46.9401]
train_epoch: 1024, loss: 0.4183, recall20: 0.0000 recall10: 0.0000 [46.9977]
train_epoch: 1025, loss: 0.4182, recall20: 0.0000 recall10: 0.0000 [47.0549]
train_epoch: 1026, loss: 0.4182, recall20: 0.0000 recall10: 0.0000 [47.1127]
train_epoch: 1027, loss: 0.4181, recall20: 0.0000 recall10: 0.0000 [47.1725]
train_epoch: 1028, loss: 0.4181, recall20: 0.0000 recall10: 0.0000 [47.2299]
train_epoch: 1029, loss: 0.4181, recall20: 0.0000 recall10: 0.0000 [47.2877]
train_epoch: 1030, loss: 0.4180, recall20: 0.0000 recall10: 0.0000 [47.3420]
train_epoch: 1031, loss: 0.4180, recall20: 0.0000 recall10: 0.0000 [47.3997]
train_epoch: 1032, loss: 0.4179, recall20: 0.0000 recall10: 0.0000 [47.4562]
train_epoch: 1033, loss: 0.4179, recall20: 0.0000 recall10: 0.0000 [47.5144]
train_epoch: 1034, loss: 0.4179, recall20: 0.0000 recall10: 0.0000 [47.5722]
train_epoch: 1035, loss: 0.4178, recall20: 0.0000 recall10: 0.0000 [47.6278]
train_epoch: 1036, loss: 0.4178, recall20: 0.0000 recall10: 0.0000 [47.6845]
train_epoch: 1037, loss: 0.4178, recall20: 0.0000 recall10: 0.0000 [47.7426]
train_epoch: 1038, loss: 0.4177, recall20: 0.0000 recall10: 0.0000 [47.8007]
train_epoch: 1039, loss: 0.4177, recall20: 0.0000 recall10: 0.0000 [47.8586]
train_epoch: 1040, loss: 0.4176, recall20: 0.0000 recall10: 0.0000 [47.9177]
train_epoch: 1041, loss: 0.4176, recall20: 0.0000 recall10: 0.0000 [47.9722]
train_epoch: 1042, loss: 0.4176, recall20: 0.0000 recall10: 0.0000 [48.0282]
train_epoch: 1043, loss: 0.4175, recall20: 0.0000 recall10: 0.0000 [48.0869]
train_epoch: 1044, loss: 0.4175, recall20: 0.0000 recall10: 0.0000 [48.1448]
train_epoch: 1045, loss: 0.4175, recall20: 0.0000 recall10: 0.0000 [48.2036]
train_epoch: 1046, loss: 0.4174, recall20: 0.0000 recall10: 0.0000 [48.2607]
train_epoch: 1047, loss: 0.4174, recall20: 0.0000 recall10: 0.0000 [48.3169]
train_epoch: 1048, loss: 0.4173, recall20: 0.0000 recall10: 0.0000 [48.3740]
train_epoch: 1049, loss: 0.4173, recall20: 0.0000 recall10: 0.0000 [48.4297]
train_epoch: 1050, loss: 0.4173, recall20: 0.0000 recall10: 0.0000 [48.4856]
train_epoch: 1051, loss: 0.4172, recall20: 0.0000 recall10: 0.0000 [48.5430]
train_epoch: 1052, loss: 0.4172, recall20: 0.0000 recall10: 0.0000 [48.5947]
train_epoch: 1053, loss: 0.4171, recall20: 0.0000 recall10: 0.0000 [48.6523]
train_epoch: 1054, loss: 0.4171, recall20: 0.0000 recall10: 0.0000 [48.7112]
train_epoch: 1055, loss: 0.4171, recall20: 0.0000 recall10: 0.0000 [48.7680]
train_epoch: 1056, loss: 0.4170, recall20: 0.0000 recall10: 0.0000 [48.8279]
train_epoch: 1057, loss: 0.4170, recall20: 0.0000 recall10: 0.0000 [48.8842]
train_epoch: 1058, loss: 0.4170, recall20: 0.0000 recall10: 0.0000 [48.9426]
train_epoch: 1059, loss: 0.4169, recall20: 0.0000 recall10: 0.0000 [48.9989]
train_epoch: 1060, loss: 0.4169, recall20: 0.0000 recall10: 0.0000 [49.0544]
train_epoch: 1061, loss: 0.4168, recall20: 0.0000 recall10: 0.0000 [49.1108]
train_epoch: 1062, loss: 0.4168, recall20: 0.0000 recall10: 0.0000 [49.1692]
train_epoch: 1063, loss: 0.4168, recall20: 0.0000 recall10: 0.0000 [49.2286]
train_epoch: 1064, loss: 0.4167, recall20: 0.0000 recall10: 0.0000 [49.2858]
train_epoch: 1065, loss: 0.4167, recall20: 0.0000 recall10: 0.0000 [49.3401]
train_epoch: 1066, loss: 0.4167, recall20: 0.0000 recall10: 0.0000 [49.3932]
train_epoch: 1067, loss: 0.4166, recall20: 0.0000 recall10: 0.0000 [49.4492]
train_epoch: 1068, loss: 0.4166, recall20: 0.0000 recall10: 0.0000 [49.5067]
train_epoch: 1069, loss: 0.4166, recall20: 0.0000 recall10: 0.0000 [49.5648]
train_epoch: 1070, loss: 0.4165, recall20: 0.0000 recall10: 0.0000 [49.6239]
train_epoch: 1071, loss: 0.4165, recall20: 0.0000 recall10: 0.0000 [49.6814]
train_epoch: 1072, loss: 0.4164, recall20: 0.0000 recall10: 0.0000 [49.7365]
train_epoch: 1073, loss: 0.4164, recall20: 0.0000 recall10: 0.0000 [49.7927]
train_epoch: 1074, loss: 0.4164, recall20: 0.0000 recall10: 0.0000 [49.8490]
train_epoch: 1075, loss: 0.4163, recall20: 0.0000 recall10: 0.0000 [49.9056]
train_epoch: 1076, loss: 0.4163, recall20: 0.0000 recall10: 0.0000 [49.9606]
train_epoch: 1077, loss: 0.4163, recall20: 0.0000 recall10: 0.0000 [50.0177]
train_epoch: 1078, loss: 0.4162, recall20: 0.0000 recall10: 0.0000 [50.0767]
train_epoch: 1079, loss: 0.4162, recall20: 0.0000 recall10: 0.0000 [50.1366]
train_epoch: 1080, loss: 0.4161, recall20: 0.0000 recall10: 0.0000 [50.1926]
train_epoch: 1081, loss: 0.4161, recall20: 0.0000 recall10: 0.0000 [50.2497]
train_epoch: 1082, loss: 0.4161, recall20: 0.0000 recall10: 0.0000 [50.3092]
train_epoch: 1083, loss: 0.4160, recall20: 0.0000 recall10: 0.0000 [50.3667]
train_epoch: 1084, loss: 0.4160, recall20: 0.0000 recall10: 0.0000 [50.4223]
train_epoch: 1085, loss: 0.4160, recall20: 0.0000 recall10: 0.0000 [50.4789]
train_epoch: 1086, loss: 0.4159, recall20: 0.0000 recall10: 0.0000 [50.5359]
train_epoch: 1087, loss: 0.4159, recall20: 0.0000 recall10: 0.0000 [50.5908]
train_epoch: 1088, loss: 0.4159, recall20: 0.0000 recall10: 0.0000 [50.6478]
train_epoch: 1089, loss: 0.4158, recall20: 0.0000 recall10: 0.0000 [50.7052]
train_epoch: 1090, loss: 0.4158, recall20: 0.0000 recall10: 0.0000 [50.7645]
train_epoch: 1091, loss: 0.4157, recall20: 0.0000 recall10: 0.0000 [50.8217]
train_epoch: 1092, loss: 0.4157, recall20: 0.0000 recall10: 0.0000 [50.8771]
train_epoch: 1093, loss: 0.4157, recall20: 0.0000 recall10: 0.0000 [50.9332]
train_epoch: 1094, loss: 0.4156, recall20: 0.0000 recall10: 0.0000 [50.9899]
train_epoch: 1095, loss: 0.4156, recall20: 0.0000 recall10: 0.0000 [51.0446]
train_epoch: 1096, loss: 0.4156, recall20: 0.0000 recall10: 0.0000 [51.1026]
train_epoch: 1097, loss: 0.4155, recall20: 0.0000 recall10: 0.0000 [51.1604]
train_epoch: 1098, loss: 0.4155, recall20: 0.0000 recall10: 0.0000 [51.2186]
train_epoch: 1099, loss: 0.4155, recall20: 0.0000 recall10: 0.0000 [51.2783]
train_epoch: 1100, loss: 0.4154, recall20: 0.0000 recall10: 0.0000 [51.3338]
train_epoch: 1101, loss: 0.4154, recall20: 0.0000 recall10: 0.0000 [51.3925]
train_epoch: 1102, loss: 0.4154, recall20: 0.0000 recall10: 0.0000 [51.4517]
train_epoch: 1103, loss: 0.4153, recall20: 0.0000 recall10: 0.0000 [51.5074]
train_epoch: 1104, loss: 0.4153, recall20: 0.0000 recall10: 0.0000 [51.5656]
train_epoch: 1105, loss: 0.4152, recall20: 0.0000 recall10: 0.0000 [51.6253]
train_epoch: 1106, loss: 0.4152, recall20: 0.0000 recall10: 0.0000 [51.6845]
train_epoch: 1107, loss: 0.4152, recall20: 0.0000 recall10: 0.0000 [51.7426]
train_epoch: 1108, loss: 0.4151, recall20: 0.0000 recall10: 0.0000 [51.7990]
train_epoch: 1109, loss: 0.4151, recall20: 0.0000 recall10: 0.0000 [51.8593]
train_epoch: 1110, loss: 0.4151, recall20: 0.0000 recall10: 0.0000 [51.9112]
train_epoch: 1111, loss: 0.4150, recall20: 0.0000 recall10: 0.0000 [51.9710]
train_epoch: 1112, loss: 0.4150, recall20: 0.0000 recall10: 0.0000 [52.0285]
train_epoch: 1113, loss: 0.4150, recall20: 0.0000 recall10: 0.0000 [52.0863]
train_epoch: 1114, loss: 0.4149, recall20: 0.0000 recall10: 0.0000 [52.1438]
train_epoch: 1115, loss: 0.4149, recall20: 0.0000 recall10: 0.0000 [52.2017]
train_epoch: 1116, loss: 0.4149, recall20: 0.0000 recall10: 0.0000 [52.2597]
train_epoch: 1117, loss: 0.4148, recall20: 0.0000 recall10: 0.0000 [52.3176]
train_epoch: 1118, loss: 0.4148, recall20: 0.0000 recall10: 0.0000 [52.3757]
train_epoch: 1119, loss: 0.4148, recall20: 0.0000 recall10: 0.0000 [52.4333]
train_epoch: 1120, loss: 0.4147, recall20: 0.0000 recall10: 0.0000 [52.4915]
train_epoch: 1121, loss: 0.4147, recall20: 0.0000 recall10: 0.0000 [52.5498]
train_epoch: 1122, loss: 0.4147, recall20: 0.0000 recall10: 0.0000 [52.6080]
train_epoch: 1123, loss: 0.4146, recall20: 0.0000 recall10: 0.0000 [52.6654]
train_epoch: 1124, loss: 0.4146, recall20: 0.0000 recall10: 0.0000 [52.7226]
train_epoch: 1125, loss: 0.4145, recall20: 0.0000 recall10: 0.0000 [52.7807]
train_epoch: 1126, loss: 0.4145, recall20: 0.0000 recall10: 0.0000 [52.8366]
train_epoch: 1127, loss: 0.4145, recall20: 0.0000 recall10: 0.0000 [52.8923]
train_epoch: 1128, loss: 0.4144, recall20: 0.0000 recall10: 0.0000 [52.9502]
train_epoch: 1129, loss: 0.4144, recall20: 0.0000 recall10: 0.0000 [53.0085]
train_epoch: 1130, loss: 0.4144, recall20: 0.0000 recall10: 0.0000 [53.0668]
train_epoch: 1131, loss: 0.4143, recall20: 0.0000 recall10: 0.0000 [53.1263]
train_epoch: 1132, loss: 0.4143, recall20: 0.0000 recall10: 0.0000 [53.1839]
train_epoch: 1133, loss: 0.4143, recall20: 0.0000 recall10: 0.0000 [53.2407]
train_epoch: 1134, loss: 0.4142, recall20: 0.0000 recall10: 0.0000 [53.2980]
train_epoch: 1135, loss: 0.4142, recall20: 0.0000 recall10: 0.0000 [53.3576]
train_epoch: 1136, loss: 0.4142, recall20: 0.0000 recall10: 0.0000 [53.4165]
train_epoch: 1137, loss: 0.4141, recall20: 0.0000 recall10: 0.0000 [53.4754]
train_epoch: 1138, loss: 0.4141, recall20: 0.0000 recall10: 0.0000 [53.5327]
train_epoch: 1139, loss: 0.4141, recall20: 0.0000 recall10: 0.0000 [53.5893]
train_epoch: 1140, loss: 0.4140, recall20: 0.0000 recall10: 0.0000 [53.6447]
train_epoch: 1141, loss: 0.4140, recall20: 0.0000 recall10: 0.0000 [53.7025]
train_epoch: 1142, loss: 0.4140, recall20: 0.0000 recall10: 0.0000 [53.7610]
train_epoch: 1143, loss: 0.4139, recall20: 0.0000 recall10: 0.0000 [53.8188]
train_epoch: 1144, loss: 0.4139, recall20: 0.0000 recall10: 0.0000 [53.8776]
train_epoch: 1145, loss: 0.4139, recall20: 0.0000 recall10: 0.0000 [53.9375]
train_epoch: 1146, loss: 0.4138, recall20: 0.0000 recall10: 0.0000 [53.9943]
train_epoch: 1147, loss: 0.4138, recall20: 0.0000 recall10: 0.0000 [54.0508]
