{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'concat', 'pred': 'i'}
train_epoch: 1001, loss: 0.3435, recall20: 0.0000 recall10: 0.0000 [30.1677]
train_epoch: 1002, loss: 0.3435, recall20: 0.0000 recall10: 0.0000 [30.2003]
train_epoch: 1003, loss: 0.3435, recall20: 0.0000 recall10: 0.0000 [30.2294]
train_epoch: 1004, loss: 0.3435, recall20: 0.0000 recall10: 0.0000 [30.2598]
train_epoch: 1005, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [30.2910]
train_epoch: 1006, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [30.3206]
train_epoch: 1007, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [30.3523]
train_epoch: 1008, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [30.3828]
train_epoch: 1009, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [30.4134]
train_epoch: 1010, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [30.4441]
train_epoch: 1011, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [30.4754]
train_epoch: 1012, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [30.5056]
train_epoch: 1013, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [30.5355]
train_epoch: 1014, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [30.5655]
train_epoch: 1015, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [30.5955]
train_epoch: 1016, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [30.6249]
train_epoch: 1017, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [30.6550]
train_epoch: 1018, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [30.6859]
train_epoch: 1019, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [30.7172]
train_epoch: 1020, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [30.7484]
train_epoch: 1021, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [30.7784]
train_epoch: 1022, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [30.8081]
train_epoch: 1023, loss: 0.3434, recall20: 0.0000 recall10: 0.0000 [30.8395]
train_epoch: 1024, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [30.8692]
train_epoch: 1025, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [30.8986]
train_epoch: 1026, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [30.9287]
train_epoch: 1027, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [30.9591]
train_epoch: 1028, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [30.9907]
train_epoch: 1029, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [31.0227]
train_epoch: 1030, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [31.0541]
train_epoch: 1031, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [31.0878]
train_epoch: 1032, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [31.1195]
train_epoch: 1033, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [31.1544]
train_epoch: 1034, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [31.1901]
train_epoch: 1035, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [31.2233]
train_epoch: 1036, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [31.2564]
train_epoch: 1037, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [31.2893]
train_epoch: 1038, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [31.3200]
train_epoch: 1039, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [31.3503]
train_epoch: 1040, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [31.3816]
train_epoch: 1041, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [31.4135]
train_epoch: 1042, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [31.4453]
train_epoch: 1043, loss: 0.3433, recall20: 0.0000 recall10: 0.0000 [31.4778]
train_epoch: 1044, loss: 0.3432, recall20: 0.0000 recall10: 0.0000 [31.5091]
train_epoch: 1045, loss: 0.3432, recall20: 0.0000 recall10: 0.0000 [31.5414]
train_epoch: 1046, loss: 0.3432, recall20: 0.0000 recall10: 0.0000 [31.5742]
train_epoch: 1047, loss: 0.3432, recall20: 0.0000 recall10: 0.0000 [31.6066]
train_epoch: 1048, loss: 0.3432, recall20: 0.0000 recall10: 0.0000 [31.6383]
train_epoch: 1049, loss: 0.3432, recall20: 0.0000 recall10: 0.0000 [31.6708]
train_epoch: 1050, loss: 0.3432, recall20: 0.0000 recall10: 0.0000 [31.7026]
train_epoch: 1051, loss: 0.3432, recall20: 0.0000 recall10: 0.0000 [31.7354]
train_epoch: 1052, loss: 0.3432, recall20: 0.0000 recall10: 0.0000 [31.7676]
train_epoch: 1053, loss: 0.3432, recall20: 0.0000 recall10: 0.0000 [31.8004]
train_epoch: 1054, loss: 0.3432, recall20: 0.0000 recall10: 0.0000 [31.8333]
train_epoch: 1055, loss: 0.3432, recall20: 0.0000 recall10: 0.0000 [31.8665]
train_epoch: 1056, loss: 0.3432, recall20: 0.0000 recall10: 0.0000 [31.9000]
train_epoch: 1057, loss: 0.3432, recall20: 0.0000 recall10: 0.0000 [31.9336]
train_epoch: 1058, loss: 0.3432, recall20: 0.0000 recall10: 0.0000 [31.9684]
train_epoch: 1059, loss: 0.3432, recall20: 0.0000 recall10: 0.0000 [32.0017]
train_epoch: 1060, loss: 0.3432, recall20: 0.0000 recall10: 0.0000 [32.0344]
train_epoch: 1061, loss: 0.3432, recall20: 0.0000 recall10: 0.0000 [32.0676]
train_epoch: 1062, loss: 0.3432, recall20: 0.0000 recall10: 0.0000 [32.0998]
train_epoch: 1063, loss: 0.3432, recall20: 0.0000 recall10: 0.0000 [32.1315]
train_epoch: 1064, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [32.1653]
train_epoch: 1065, loss: 0.3431, recall20: 0.0000 recall10: 0.0000 [32.2000]
