{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'concat', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.4026, recall20: 0.0000 recall10: 0.0000 [12.8910]
train_epoch: 1002, loss: 0.4026, recall20: 0.0000 recall10: 0.0000 [12.9063]
train_epoch: 1003, loss: 0.4025, recall20: 0.0000 recall10: 0.0000 [12.9193]
train_epoch: 1004, loss: 0.4025, recall20: 0.0000 recall10: 0.0000 [12.9328]
train_epoch: 1005, loss: 0.4024, recall20: 0.0000 recall10: 0.0000 [12.9459]
train_epoch: 1006, loss: 0.4024, recall20: 0.0000 recall10: 0.0000 [12.9589]
train_epoch: 1007, loss: 0.4023, recall20: 0.0000 recall10: 0.0000 [12.9722]
train_epoch: 1008, loss: 0.4023, recall20: 0.0000 recall10: 0.0000 [12.9853]
train_epoch: 1009, loss: 0.4023, recall20: 0.0000 recall10: 0.0000 [12.9985]
train_epoch: 1010, loss: 0.4022, recall20: 0.0000 recall10: 0.0000 [13.0116]
train_epoch: 1011, loss: 0.4022, recall20: 0.0000 recall10: 0.0000 [13.0283]
train_epoch: 1012, loss: 0.4021, recall20: 0.0000 recall10: 0.0000 [13.0419]
train_epoch: 1013, loss: 0.4021, recall20: 0.0000 recall10: 0.0000 [13.0553]
train_epoch: 1014, loss: 0.4020, recall20: 0.0000 recall10: 0.0000 [13.0699]
train_epoch: 1015, loss: 0.4020, recall20: 0.0000 recall10: 0.0000 [13.0841]
train_epoch: 1016, loss: 0.4019, recall20: 0.0000 recall10: 0.0000 [13.1020]
train_epoch: 1017, loss: 0.4019, recall20: 0.0000 recall10: 0.0000 [13.1156]
train_epoch: 1018, loss: 0.4018, recall20: 0.0000 recall10: 0.0000 [13.1292]
train_epoch: 1019, loss: 0.4018, recall20: 0.0000 recall10: 0.0000 [13.1426]
train_epoch: 1020, loss: 0.4017, recall20: 0.0000 recall10: 0.0000 [13.1559]
train_epoch: 1021, loss: 0.4017, recall20: 0.0000 recall10: 0.0000 [13.1694]
train_epoch: 1022, loss: 0.4017, recall20: 0.0000 recall10: 0.0000 [13.1832]
train_epoch: 1023, loss: 0.4016, recall20: 0.0000 recall10: 0.0000 [13.1966]
train_epoch: 1024, loss: 0.4016, recall20: 0.0000 recall10: 0.0000 [13.2097]
train_epoch: 1025, loss: 0.4015, recall20: 0.0000 recall10: 0.0000 [13.2230]
train_epoch: 1026, loss: 0.4015, recall20: 0.0000 recall10: 0.0000 [13.2371]
train_epoch: 1027, loss: 0.4014, recall20: 0.0000 recall10: 0.0000 [13.2507]
train_epoch: 1028, loss: 0.4014, recall20: 0.0000 recall10: 0.0000 [13.2641]
train_epoch: 1029, loss: 0.4013, recall20: 0.0000 recall10: 0.0000 [13.2775]
train_epoch: 1030, loss: 0.4013, recall20: 0.0000 recall10: 0.0000 [13.2913]
train_epoch: 1031, loss: 0.4012, recall20: 0.0000 recall10: 0.0000 [13.3048]
train_epoch: 1032, loss: 0.4012, recall20: 0.0000 recall10: 0.0000 [13.3179]
train_epoch: 1033, loss: 0.4011, recall20: 0.0000 recall10: 0.0000 [13.3309]
train_epoch: 1034, loss: 0.4011, recall20: 0.0000 recall10: 0.0000 [13.3441]
train_epoch: 1035, loss: 0.4011, recall20: 0.0000 recall10: 0.0000 [13.3577]
train_epoch: 1036, loss: 0.4010, recall20: 0.0000 recall10: 0.0000 [13.3713]
train_epoch: 1037, loss: 0.4010, recall20: 0.0000 recall10: 0.0000 [13.3854]
train_epoch: 1038, loss: 0.4009, recall20: 0.0000 recall10: 0.0000 [13.3984]
train_epoch: 1039, loss: 0.4009, recall20: 0.0000 recall10: 0.0000 [13.4113]
train_epoch: 1040, loss: 0.4008, recall20: 0.0000 recall10: 0.0000 [13.4241]
train_epoch: 1041, loss: 0.4008, recall20: 0.0000 recall10: 0.0000 [13.4371]
train_epoch: 1042, loss: 0.4007, recall20: 0.0000 recall10: 0.0000 [13.4498]
train_epoch: 1043, loss: 0.4007, recall20: 0.0000 recall10: 0.0000 [13.4630]
train_epoch: 1044, loss: 0.4006, recall20: 0.0000 recall10: 0.0000 [13.4758]
train_epoch: 1045, loss: 0.4006, recall20: 0.0000 recall10: 0.0000 [13.4885]
train_epoch: 1046, loss: 0.4005, recall20: 0.0000 recall10: 0.0000 [13.5012]
train_epoch: 1047, loss: 0.4005, recall20: 0.0000 recall10: 0.0000 [13.5136]
train_epoch: 1048, loss: 0.4005, recall20: 0.0000 recall10: 0.0000 [13.5261]
