{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'concat', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [14.1467]
train_epoch: 1002, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [14.1691]
train_epoch: 1003, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [14.1855]
train_epoch: 1004, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [14.2022]
train_epoch: 1005, loss: 0.0029, recall20: 0.0000 recall10: 0.0000 [14.2178]
train_epoch: 1006, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [14.2326]
train_epoch: 1007, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [14.2492]
train_epoch: 1008, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [14.2650]
train_epoch: 1009, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [14.2809]
train_epoch: 1010, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [14.2963]
train_epoch: 1011, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [14.3125]
train_epoch: 1012, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [14.3286]
train_epoch: 1013, loss: 0.0028, recall20: 0.0000 recall10: 0.0000 [14.3434]
train_epoch: 1014, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [14.3595]
train_epoch: 1015, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [14.3756]
train_epoch: 1016, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [14.3914]
train_epoch: 1017, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [14.4069]
train_epoch: 1018, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [14.4227]
train_epoch: 1019, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [14.4390]
train_epoch: 1020, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [14.4548]
train_epoch: 1021, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [14.4723]
train_epoch: 1022, loss: 0.0027, recall20: 0.0000 recall10: 0.0000 [14.4879]
train_epoch: 1023, loss: 0.0026, recall20: 0.0000 recall10: 0.0000 [14.5023]
train_epoch: 1024, loss: 0.0027, recall20: 0.1485 recall10: 0.0862 [14.5703]
