{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'max', 'pred': 'h'}
train_epoch: 1001, loss: 0.6481, recall20: 0.0000 recall10: 0.0000 [11.0900]
train_epoch: 1002, loss: 0.6480, recall20: 0.0000 recall10: 0.0000 [11.1048]
train_epoch: 1003, loss: 0.6480, recall20: 0.0000 recall10: 0.0000 [11.1173]
train_epoch: 1004, loss: 0.6479, recall20: 0.0000 recall10: 0.0000 [11.1300]
train_epoch: 1005, loss: 0.6479, recall20: 0.0000 recall10: 0.0000 [11.1426]
train_epoch: 1006, loss: 0.6478, recall20: 0.0000 recall10: 0.0000 [11.1548]
train_epoch: 1007, loss: 0.6478, recall20: 0.0000 recall10: 0.0000 [11.1673]
train_epoch: 1008, loss: 0.6477, recall20: 0.0000 recall10: 0.0000 [11.1802]
train_epoch: 1009, loss: 0.6477, recall20: 0.0000 recall10: 0.0000 [11.1940]
train_epoch: 1010, loss: 0.6477, recall20: 0.0000 recall10: 0.0000 [11.2065]
train_epoch: 1011, loss: 0.6476, recall20: 0.0000 recall10: 0.0000 [11.2196]
train_epoch: 1012, loss: 0.6476, recall20: 0.0000 recall10: 0.0000 [11.2324]
train_epoch: 1013, loss: 0.6475, recall20: 0.0000 recall10: 0.0000 [11.2449]
train_epoch: 1014, loss: 0.6475, recall20: 0.0000 recall10: 0.0000 [11.2586]
train_epoch: 1015, loss: 0.6474, recall20: 0.0000 recall10: 0.0000 [11.2722]
train_epoch: 1016, loss: 0.6474, recall20: 0.0000 recall10: 0.0000 [11.2852]
train_epoch: 1017, loss: 0.6473, recall20: 0.0000 recall10: 0.0000 [11.2991]
train_epoch: 1018, loss: 0.6473, recall20: 0.0000 recall10: 0.0000 [11.3112]
train_epoch: 1019, loss: 0.6473, recall20: 0.0000 recall10: 0.0000 [11.3227]
train_epoch: 1020, loss: 0.6472, recall20: 0.0000 recall10: 0.0000 [11.3345]
train_epoch: 1021, loss: 0.6472, recall20: 0.0000 recall10: 0.0000 [11.3459]
train_epoch: 1022, loss: 0.6471, recall20: 0.0000 recall10: 0.0000 [11.3578]
train_epoch: 1023, loss: 0.6471, recall20: 0.0000 recall10: 0.0000 [11.3696]
train_epoch: 1024, loss: 0.6470, recall20: 0.0000 recall10: 0.0000 [11.3816]
train_epoch: 1025, loss: 0.6470, recall20: 0.0000 recall10: 0.0000 [11.3937]
train_epoch: 1026, loss: 0.6469, recall20: 0.0000 recall10: 0.0000 [11.4055]
train_epoch: 1027, loss: 0.6469, recall20: 0.0000 recall10: 0.0000 [11.4173]
train_epoch: 1028, loss: 0.6469, recall20: 0.0000 recall10: 0.0000 [11.4296]
train_epoch: 1029, loss: 0.6468, recall20: 0.0000 recall10: 0.0000 [11.4419]
train_epoch: 1030, loss: 0.6468, recall20: 0.0000 recall10: 0.0000 [11.4532]
train_epoch: 1031, loss: 0.6467, recall20: 0.0000 recall10: 0.0000 [11.4698]
train_epoch: 1032, loss: 0.6467, recall20: 0.0000 recall10: 0.0000 [11.4826]
train_epoch: 1033, loss: 0.6466, recall20: 0.0000 recall10: 0.0000 [11.4951]
train_epoch: 1034, loss: 0.6466, recall20: 0.0000 recall10: 0.0000 [11.5077]
train_epoch: 1035, loss: 0.6465, recall20: 0.0000 recall10: 0.0000 [11.5199]
train_epoch: 1036, loss: 0.6465, recall20: 0.0000 recall10: 0.0000 [11.5320]
train_epoch: 1037, loss: 0.6465, recall20: 0.0000 recall10: 0.0000 [11.5439]
train_epoch: 1038, loss: 0.6464, recall20: 0.0000 recall10: 0.0000 [11.5565]
train_epoch: 1039, loss: 0.6464, recall20: 0.0000 recall10: 0.0000 [11.5715]
train_epoch: 1040, loss: 0.6463, recall20: 0.0000 recall10: 0.0000 [11.5834]
train_epoch: 1041, loss: 0.6463, recall20: 0.0000 recall10: 0.0000 [11.5954]
train_epoch: 1042, loss: 0.6462, recall20: 0.0000 recall10: 0.0000 [11.6080]
train_epoch: 1043, loss: 0.6462, recall20: 0.0000 recall10: 0.0000 [11.6200]
train_epoch: 1044, loss: 0.6461, recall20: 0.0000 recall10: 0.0000 [11.6321]
train_epoch: 1045, loss: 0.6461, recall20: 0.0000 recall10: 0.0000 [11.6434]
train_epoch: 1046, loss: 0.6461, recall20: 0.0000 recall10: 0.0000 [11.6581]
train_epoch: 1047, loss: 0.6460, recall20: 0.0000 recall10: 0.0000 [11.6706]
train_epoch: 1048, loss: 0.6460, recall20: 0.0000 recall10: 0.0000 [11.6838]
train_epoch: 1049, loss: 0.6459, recall20: 0.0000 recall10: 0.0000 [11.6962]
train_epoch: 1050, loss: 0.6459, recall20: 0.0000 recall10: 0.0000 [11.7090]
train_epoch: 1051, loss: 0.6458, recall20: 0.0000 recall10: 0.0000 [11.7212]
train_epoch: 1052, loss: 0.6458, recall20: 0.0000 recall10: 0.0000 [11.7330]
train_epoch: 1053, loss: 0.6457, recall20: 0.0000 recall10: 0.0000 [11.7447]
train_epoch: 1054, loss: 0.6457, recall20: 0.0000 recall10: 0.0000 [11.7571]
train_epoch: 1055, loss: 0.6456, recall20: 0.0000 recall10: 0.0000 [11.7697]
train_epoch: 1056, loss: 0.6456, recall20: 0.0000 recall10: 0.0000 [11.7828]
train_epoch: 1057, loss: 0.6455, recall20: 0.0000 recall10: 0.0000 [11.7955]
train_epoch: 1058, loss: 0.6455, recall20: 0.0000 recall10: 0.0000 [11.8083]
train_epoch: 1059, loss: 0.6455, recall20: 0.0000 recall10: 0.0000 [11.8208]
train_epoch: 1060, loss: 0.6454, recall20: 0.0000 recall10: 0.0000 [11.8336]
train_epoch: 1061, loss: 0.6454, recall20: 0.0000 recall10: 0.0000 [11.8461]
train_epoch: 1062, loss: 0.6453, recall20: 0.0000 recall10: 0.0000 [11.8587]
train_epoch: 1063, loss: 0.6453, recall20: 0.0000 recall10: 0.0000 [11.8709]
train_epoch: 1064, loss: 0.6452, recall20: 0.0000 recall10: 0.0000 [11.8838]
train_epoch: 1065, loss: 0.6452, recall20: 0.0000 recall10: 0.0000 [11.8970]
train_epoch: 1066, loss: 0.6451, recall20: 0.0000 recall10: 0.0000 [11.9092]
train_epoch: 1067, loss: 0.6451, recall20: 0.0000 recall10: 0.0000 [11.9211]
train_epoch: 1068, loss: 0.6450, recall20: 0.0000 recall10: 0.0000 [11.9336]
train_epoch: 1069, loss: 0.6450, recall20: 0.0000 recall10: 0.0000 [11.9464]
train_epoch: 1070, loss: 0.6449, recall20: 0.0000 recall10: 0.0000 [11.9597]
train_epoch: 1071, loss: 0.6449, recall20: 0.0000 recall10: 0.0000 [11.9736]
train_epoch: 1072, loss: 0.6449, recall20: 0.0000 recall10: 0.0000 [11.9860]
train_epoch: 1073, loss: 0.6448, recall20: 0.0000 recall10: 0.0000 [11.9976]
train_epoch: 1074, loss: 0.6448, recall20: 0.0000 recall10: 0.0000 [12.0099]
train_epoch: 1075, loss: 0.6447, recall20: 0.0000 recall10: 0.0000 [12.0225]
train_epoch: 1076, loss: 0.6447, recall20: 0.0000 recall10: 0.0000 [12.0360]
train_epoch: 1077, loss: 0.6446, recall20: 0.0000 recall10: 0.0000 [12.0480]
train_epoch: 1078, loss: 0.6446, recall20: 0.0000 recall10: 0.0000 [12.0598]
train_epoch: 1079, loss: 0.6445, recall20: 0.0000 recall10: 0.0000 [12.0714]
train_epoch: 1080, loss: 0.6445, recall20: 0.0000 recall10: 0.0000 [12.0831]
train_epoch: 1081, loss: 0.6444, recall20: 0.0000 recall10: 0.0000 [12.0949]
train_epoch: 1082, loss: 0.6444, recall20: 0.0000 recall10: 0.0000 [12.1068]
train_epoch: 1083, loss: 0.6444, recall20: 0.0000 recall10: 0.0000 [12.1188]
train_epoch: 1084, loss: 0.6443, recall20: 0.0000 recall10: 0.0000 [12.1303]
train_epoch: 1085, loss: 0.6443, recall20: 0.0000 recall10: 0.0000 [12.1424]
train_epoch: 1086, loss: 0.6442, recall20: 0.0000 recall10: 0.0000 [12.1547]
train_epoch: 1087, loss: 0.6442, recall20: 0.0000 recall10: 0.0000 [12.1669]
train_epoch: 1088, loss: 0.6441, recall20: 0.0000 recall10: 0.0000 [12.1795]
train_epoch: 1089, loss: 0.6441, recall20: 0.0000 recall10: 0.0000 [12.1918]
train_epoch: 1090, loss: 0.6440, recall20: 0.0000 recall10: 0.0000 [12.2046]
train_epoch: 1091, loss: 0.6440, recall20: 0.0000 recall10: 0.0000 [12.2172]
