{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'max', 'pred': 'i'}
train_epoch: 1001, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [56.6690]
train_epoch: 1002, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [56.7249]
train_epoch: 1003, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [56.7790]
train_epoch: 1004, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [56.8342]
train_epoch: 1005, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [56.8931]
train_epoch: 1006, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [56.9472]
train_epoch: 1007, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [57.0051]
train_epoch: 1008, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [57.0643]
train_epoch: 1009, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [57.1221]
train_epoch: 1010, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [57.1774]
train_epoch: 1011, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [57.2305]
train_epoch: 1012, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [57.2886]
train_epoch: 1013, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [57.3430]
train_epoch: 1014, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [57.4004]
train_epoch: 1015, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [57.4546]
train_epoch: 1016, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [57.5088]
train_epoch: 1017, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [57.5665]
train_epoch: 1018, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [57.6252]
train_epoch: 1019, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [57.6827]
train_epoch: 1020, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [57.7393]
train_epoch: 1021, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [57.7986]
train_epoch: 1022, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [57.8564]
train_epoch: 1023, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [57.9132]
train_epoch: 1024, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [57.9724]
train_epoch: 1025, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [58.0325]
train_epoch: 1026, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [58.0863]
train_epoch: 1027, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [58.1428]
train_epoch: 1028, loss: 0.0007, recall20: 0.0000 recall10: 0.0000 [58.1997]
train_epoch: 1029, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [58.2352]
train_epoch: 1030, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [58.2729]
train_epoch: 1031, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [58.3276]
train_epoch: 1032, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [58.3781]
train_epoch: 1033, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [58.4327]
train_epoch: 1034, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [58.4867]
train_epoch: 1035, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [58.5391]
train_epoch: 1036, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [58.5927]
train_epoch: 1037, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [58.6476]
train_epoch: 1038, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [58.7040]
train_epoch: 1039, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [58.7524]
train_epoch: 1040, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [58.8036]
train_epoch: 1041, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [58.8586]
train_epoch: 1042, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [58.9136]
train_epoch: 1043, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [58.9683]
train_epoch: 1044, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [59.0261]
train_epoch: 1045, loss: 0.0006, recall20: 0.0000 recall10: 0.0000 [59.0816]
