{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'max', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [114.0232]
train_epoch: 1002, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [114.1687]
train_epoch: 1003, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [114.3126]
train_epoch: 1004, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [114.4566]
train_epoch: 1005, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [114.6015]
train_epoch: 1006, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [114.7446]
train_epoch: 1007, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [114.8892]
train_epoch: 1008, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [115.0329]
train_epoch: 1009, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [115.1779]
train_epoch: 1010, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [115.3209]
train_epoch: 1011, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [115.4645]
train_epoch: 1012, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [115.6088]
train_epoch: 1013, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [115.7529]
train_epoch: 1014, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [115.8971]
train_epoch: 1015, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [116.0404]
train_epoch: 1016, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [116.1843]
train_epoch: 1017, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [116.3286]
train_epoch: 1018, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [116.4726]
train_epoch: 1019, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [116.6317]
train_epoch: 1020, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [116.7753]
train_epoch: 1021, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [116.9190]
train_epoch: 1022, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [117.0636]
train_epoch: 1023, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [117.2073]
train_epoch: 1024, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [117.3492]
train_epoch: 1025, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [117.4935]
train_epoch: 1026, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [117.6376]
train_epoch: 1027, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [117.7813]
train_epoch: 1028, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [117.9250]
train_epoch: 1029, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [118.0687]
train_epoch: 1030, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [118.2131]
train_epoch: 1031, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [118.3559]
train_epoch: 1032, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [118.4994]
train_epoch: 1033, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [118.6424]
train_epoch: 1034, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [118.7868]
train_epoch: 1035, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [118.9307]
train_epoch: 1036, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [119.0754]
train_epoch: 1037, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [119.2196]
train_epoch: 1038, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [119.3640]
train_epoch: 1039, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [119.5084]
train_epoch: 1040, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [119.6522]
train_epoch: 1041, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [119.7963]
train_epoch: 1042, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [119.9394]
train_epoch: 1043, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [120.0826]
train_epoch: 1044, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [120.2265]
train_epoch: 1045, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [120.3706]
train_epoch: 1046, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [120.5148]
train_epoch: 1047, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [120.6582]
train_epoch: 1048, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [120.8024]
train_epoch: 1049, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [120.9466]
train_epoch: 1050, loss: 0.0001, recall20: 0.0000 recall10: 0.0000 [121.0893]
