{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'max', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.6763, recall20: 0.0000 recall10: 0.0000 [41.0355]
train_epoch: 1002, loss: 0.6763, recall20: 0.0000 recall10: 0.0000 [41.1028]
train_epoch: 1003, loss: 0.6763, recall20: 0.0000 recall10: 0.0000 [41.1685]
train_epoch: 1004, loss: 0.6763, recall20: 0.0000 recall10: 0.0000 [41.2331]
train_epoch: 1005, loss: 0.6762, recall20: 0.0000 recall10: 0.0000 [41.2998]
train_epoch: 1006, loss: 0.6762, recall20: 0.0000 recall10: 0.0000 [41.3562]
train_epoch: 1007, loss: 0.6762, recall20: 0.0000 recall10: 0.0000 [41.4230]
train_epoch: 1008, loss: 0.6761, recall20: 0.0000 recall10: 0.0000 [41.4662]
train_epoch: 1009, loss: 0.6761, recall20: 0.0000 recall10: 0.0000 [41.5362]
train_epoch: 1010, loss: 0.6761, recall20: 0.0000 recall10: 0.0000 [41.5973]
train_epoch: 1011, loss: 0.6760, recall20: 0.0000 recall10: 0.0000 [41.6620]
train_epoch: 1012, loss: 0.6760, recall20: 0.0000 recall10: 0.0000 [41.7253]
train_epoch: 1013, loss: 0.6760, recall20: 0.0000 recall10: 0.0000 [41.7871]
train_epoch: 1014, loss: 0.6760, recall20: 0.0000 recall10: 0.0000 [41.8516]
train_epoch: 1015, loss: 0.6759, recall20: 0.0000 recall10: 0.0000 [41.9133]
train_epoch: 1016, loss: 0.6759, recall20: 0.0000 recall10: 0.0000 [41.9794]
train_epoch: 1017, loss: 0.6759, recall20: 0.0000 recall10: 0.0000 [42.0438]
train_epoch: 1018, loss: 0.6758, recall20: 0.0000 recall10: 0.0000 [42.1083]
train_epoch: 1019, loss: 0.6758, recall20: 0.0000 recall10: 0.0000 [42.1735]
train_epoch: 1020, loss: 0.6758, recall20: 0.0000 recall10: 0.0000 [42.2394]
train_epoch: 1021, loss: 0.6758, recall20: 0.0000 recall10: 0.0000 [42.3034]
train_epoch: 1022, loss: 0.6757, recall20: 0.0000 recall10: 0.0000 [42.3670]
train_epoch: 1023, loss: 0.6757, recall20: 0.0000 recall10: 0.0000 [42.4318]
train_epoch: 1024, loss: 0.6757, recall20: 0.0000 recall10: 0.0000 [42.4990]
train_epoch: 1025, loss: 0.6756, recall20: 0.0000 recall10: 0.0000 [42.5658]
train_epoch: 1026, loss: 0.6756, recall20: 0.0000 recall10: 0.0000 [42.6269]
train_epoch: 1027, loss: 0.6756, recall20: 0.0000 recall10: 0.0000 [42.6928]
train_epoch: 1028, loss: 0.6756, recall20: 0.0000 recall10: 0.0000 [42.7570]
train_epoch: 1029, loss: 0.6755, recall20: 0.0000 recall10: 0.0000 [42.8203]
train_epoch: 1030, loss: 0.6755, recall20: 0.0000 recall10: 0.0000 [42.8861]
train_epoch: 1031, loss: 0.6755, recall20: 0.0000 recall10: 0.0000 [42.9476]
train_epoch: 1032, loss: 0.6754, recall20: 0.0000 recall10: 0.0000 [43.0109]
train_epoch: 1033, loss: 0.6754, recall20: 0.0000 recall10: 0.0000 [43.0736]
train_epoch: 1034, loss: 0.6754, recall20: 0.0000 recall10: 0.0000 [43.1366]
train_epoch: 1035, loss: 0.6753, recall20: 0.0000 recall10: 0.0000 [43.1976]
train_epoch: 1036, loss: 0.6753, recall20: 0.0000 recall10: 0.0000 [43.2607]
train_epoch: 1037, loss: 0.6753, recall20: 0.0000 recall10: 0.0000 [43.3174]
train_epoch: 1038, loss: 0.6753, recall20: 0.0000 recall10: 0.0000 [43.3832]
train_epoch: 1039, loss: 0.6752, recall20: 0.0000 recall10: 0.0000 [43.4485]
train_epoch: 1040, loss: 0.6752, recall20: 0.0000 recall10: 0.0000 [43.5119]
train_epoch: 1041, loss: 0.6752, recall20: 0.0000 recall10: 0.0000 [43.5756]
train_epoch: 1042, loss: 0.6751, recall20: 0.0000 recall10: 0.0000 [43.6401]
train_epoch: 1043, loss: 0.6751, recall20: 0.0000 recall10: 0.0000 [43.7039]
train_epoch: 1044, loss: 0.6751, recall20: 0.0000 recall10: 0.0000 [43.7690]
