{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'max', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [15.9140]
train_epoch: 1002, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [15.9349]
train_epoch: 1003, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [15.9519]
train_epoch: 1004, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [15.9694]
train_epoch: 1005, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [15.9858]
train_epoch: 1006, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.0021]
train_epoch: 1007, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.0206]
train_epoch: 1008, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.0385]
train_epoch: 1009, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.0556]
train_epoch: 1010, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.0731]
train_epoch: 1011, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.0907]
train_epoch: 1012, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.1073]
train_epoch: 1013, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.1244]
train_epoch: 1014, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.1422]
train_epoch: 1015, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.1599]
train_epoch: 1016, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.1770]
train_epoch: 1017, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.1946]
train_epoch: 1018, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.2123]
train_epoch: 1019, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.2294]
train_epoch: 1020, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.2463]
train_epoch: 1021, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.2626]
train_epoch: 1022, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.2806]
train_epoch: 1023, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.2984]
train_epoch: 1024, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.3144]
train_epoch: 1025, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.3330]
train_epoch: 1026, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.3492]
train_epoch: 1027, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.3653]
train_epoch: 1028, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.3841]
train_epoch: 1029, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.4005]
train_epoch: 1030, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.4176]
train_epoch: 1031, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.4335]
train_epoch: 1032, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.4498]
train_epoch: 1033, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.4665]
train_epoch: 1034, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.4824]
train_epoch: 1035, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.4993]
train_epoch: 1036, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.5164]
train_epoch: 1037, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.5329]
train_epoch: 1038, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.5502]
train_epoch: 1039, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.5663]
train_epoch: 1040, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.5831]
train_epoch: 1041, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.6001]
train_epoch: 1042, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.6167]
train_epoch: 1043, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.6328]
train_epoch: 1044, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.6505]
train_epoch: 1045, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.6671]
train_epoch: 1046, loss: 0.0000, recall20: 0.0000 recall10: 0.0000 [16.6838]
