{'cf': 'rr', 'emb': {'u': 'mlp', 'i': 'mlp'}, 'ifc': 'max', 'pred': 'mlp'}
train_epoch: 1001, loss: 0.3830, recall20: 0.0000 recall10: 0.0000 [87.4722]
train_epoch: 1002, loss: 0.3830, recall20: 0.0000 recall10: 0.0000 [87.5063]
train_epoch: 1003, loss: 0.3829, recall20: 0.0000 recall10: 0.0000 [87.5371]
train_epoch: 1004, loss: 0.3829, recall20: 0.0000 recall10: 0.0000 [87.5681]
train_epoch: 1005, loss: 0.3829, recall20: 0.0000 recall10: 0.0000 [87.6012]
train_epoch: 1006, loss: 0.3828, recall20: 0.0000 recall10: 0.0000 [87.6326]
train_epoch: 1007, loss: 0.3828, recall20: 0.0000 recall10: 0.0000 [87.6625]
train_epoch: 1008, loss: 0.3827, recall20: 0.0000 recall10: 0.0000 [87.6939]
train_epoch: 1009, loss: 0.3827, recall20: 0.0000 recall10: 0.0000 [87.7262]
train_epoch: 1010, loss: 0.3826, recall20: 0.0000 recall10: 0.0000 [87.7563]
train_epoch: 1011, loss: 0.3826, recall20: 0.0000 recall10: 0.0000 [87.7842]
train_epoch: 1012, loss: 0.3825, recall20: 0.0000 recall10: 0.0000 [87.8154]
train_epoch: 1013, loss: 0.3825, recall20: 0.0000 recall10: 0.0000 [87.8454]
train_epoch: 1014, loss: 0.3824, recall20: 0.0000 recall10: 0.0000 [87.8760]
train_epoch: 1015, loss: 0.3824, recall20: 0.0000 recall10: 0.0000 [87.9063]
train_epoch: 1016, loss: 0.3824, recall20: 0.0000 recall10: 0.0000 [87.9357]
train_epoch: 1017, loss: 0.3823, recall20: 0.0000 recall10: 0.0000 [87.9655]
train_epoch: 1018, loss: 0.3823, recall20: 0.0000 recall10: 0.0000 [87.9992]
train_epoch: 1019, loss: 0.3822, recall20: 0.0000 recall10: 0.0000 [88.0325]
train_epoch: 1020, loss: 0.3822, recall20: 0.0000 recall10: 0.0000 [88.0669]
train_epoch: 1021, loss: 0.3821, recall20: 0.0000 recall10: 0.0000 [88.0994]
train_epoch: 1022, loss: 0.3821, recall20: 0.0000 recall10: 0.0000 [88.1298]
train_epoch: 1023, loss: 0.3820, recall20: 0.0000 recall10: 0.0000 [88.1612]
train_epoch: 1024, loss: 0.3820, recall20: 0.0000 recall10: 0.0000 [88.1913]
train_epoch: 1025, loss: 0.3819, recall20: 0.0000 recall10: 0.0000 [88.2252]
train_epoch: 1026, loss: 0.3819, recall20: 0.0000 recall10: 0.0000 [88.2573]
train_epoch: 1027, loss: 0.3819, recall20: 0.0000 recall10: 0.0000 [88.2896]
